Grupo_edad,Año, Hombre, Mujer
,,,
 Menores de 1 año,2000,221,160
,,,
 Menores de 1 año,2001,186,154
,,,
 Menores de 1 año,2002,227,155
,,,
 Menores de 1 año,2003,177,134
,,,
 Menores de 1 año,2004,188,135
,,,
 Menores de 1 año,2005,156,139
,,,
 Menores de 1 año,2006,185,129
,,,
 Menores de 1 año,2007,150,96
,,,
 Menores de 1 año,2008,170,126
,,,
 Menores de 1 año,2009,131,99
,,,
 Menores de 1 año,2010,154,103
,,,
 Menores de 1 año,2011,148,117
,,,
 Menores de 1 año,2012,123,131
,,,
 Menores de 1 año,2013,133,120
,,,
 Menores de 1 año,2014,169,112
,,,
 Menores de 1 año,2015,135,101
,,,
 Menores de 1 año,2016,144,110
,,,
 Menores de 1 año,2017,153,117
,,,
 Menores de 1 año,2018,121,110
,,,
 Menores de 1 año,2019,152,109
,,,
 Menores de 1 año,2020,123,88
,,,
 Menores de 1 año,2021,112,108
,,,
 Menores de 1 año,2022,106,87
,,,
 Menores de 1 año,2023,115,84
,,,
 1-4 años,2000,30,39
,,,
 1-4 años,2001,36,22
,,,
 1-4 años,2002,42,37
,,,
 1-4 años,2003,39,36
,,,
 1-4 años,2004,30,29
,,,
 1-4 años,2005,31,27
,,,
 1-4 años,2006,31,21
,,,
 1-4 años,2007,37,26
,,,
 1-4 años,2008,24,22
,,,
 1-4 años,2009,26,26
,,,
 1-4 años,2010,33,17
,,,
 1-4 años,2011,26,24
,,,
 1-4 años,2012,40,37
,,,
 1-4 años,2013,23,18
,,,
 1-4 años,2014,20,13
,,,
 1-4 años,2015,21,25
,,,
 1-4 años,2016,20,20
,,,
 1-4 años,2017,24,23
,,,
 1-4 años,2018,24,21
,,,
 1-4 años,2019,30,20
,,,
 1-4 años,2020,26,15
,,,
 1-4 años,2021,17,21
,,,
 1-4 años,2022,22,24
,,,
 1-4 años,2023,19,19
,,,
 5-9 años,2000,23,16
,,,
 5-9 años,2001,18,13
,,,
 5-9 años,2002,20,14
,,,
 5-9 años,2003,28,15
,,,
 5-9 años,2004,24,12
,,,
 5-9 años,2005,24,12
,,,
 5-9 años,2006,18,17
,,,
 5-9 años,2007,22,11
,,,
 5-9 años,2008,25,14
,,,
 5-9 años,2009,20,15
,,,
 5-9 años,2010,30,20
,,,
 5-9 años,2011,14,12
,,,
 5-9 años,2012,13,15
,,,
 5-9 años,2013,15,11
,,,
 5-9 años,2014,19,11
,,,
 5-9 años,2015,9,8
,,,
 5-9 años,2016,10,7
,,,
 5-9 años,2017,12,10
,,,
 5-9 años,2018,19,9
,,,
 5-9 años,2019,17,20
,,,
 5-9 años,2020,15,12
,,,
 5-9 años,2021,17,7
,,,
 5-9 años,2022,13,11
,,,
 5-9 años,2023,16,9
,,,
 10-14 años,2000,25,14
,,,
 10-14 años,2001,18,10
,,,
 10-14 años,2002,26,18
,,,
 10-14 años,2003,16,19
,,,
 10-14 años,2004,34,10
,,,
 10-14 años,2005,21,12
,,,
 10-14 años,2006,24,17
,,,
 10-14 años,2007,26,21
,,,
 10-14 años,2008,28,21
,,,
 10-14 años,2009,30,13
,,,
 10-14 años,2010,18,11
,,,
 10-14 años,2011,28,20
,,,
 10-14 años,2012,17,19
,,,
 10-14 años,2013,25,14
,,,
 10-14 años,2014,17,18
,,,
 10-14 años,2015,24,24
,,,
 10-14 años,2016,20,13
,,,
 10-14 años,2017,15,8
,,,
 10-14 años,2018,24,7
,,,
 10-14 años,2019,20,11
,,,
