Grupo_edad,Año, Hombre, Mujer
,,,
 Menores de 1 año,2000,86,70
,,,
 Menores de 1 año,2001,106,65
,,,
 Menores de 1 año,2002,89,58
,,,
 Menores de 1 año,2003,99,77
,,,
 Menores de 1 año,2004,77,64
,,,
 Menores de 1 año,2005,88,66
,,,
 Menores de 1 año,2006,92,54
,,,
 Menores de 1 año,2007,87,65
,,,
 Menores de 1 año,2008,69,72
,,,
 Menores de 1 año,2009,73,76
,,,
 Menores de 1 año,2010,73,61
,,,
 Menores de 1 año,2011,71,51
,,,
 Menores de 1 año,2012,66,68
,,,
 Menores de 1 año,2013,82,57
,,,
 Menores de 1 año,2014,77,58
,,,
 Menores de 1 año,2015,69,55
,,,
 Menores de 1 año,2016,63,52
,,,
 Menores de 1 año,2017,76,71
,,,
 Menores de 1 año,2018,81,52
,,,
 Menores de 1 año,2019,72,43
,,,
 Menores de 1 año,2020,75,45
,,,
 Menores de 1 año,2021,65,52
,,,
 Menores de 1 año,2022,63,49
,,,
 Menores de 1 año,2023,40,42
,,,
 1-4 años,2000,15,15
,,,
 1-4 años,2001,24,10
,,,
 1-4 años,2002,14,14
,,,
 1-4 años,2003,16,16
,,,
 1-4 años,2004,20,10
,,,
 1-4 años,2005,19,13
,,,
 1-4 años,2006,11,15
,,,
 1-4 años,2007,21,12
,,,
 1-4 años,2008,14,19
,,,
 1-4 años,2009,23,15
,,,
 1-4 años,2010,16,11
,,,
 1-4 años,2011,12,13
,,,
 1-4 años,2012,13,14
,,,
 1-4 años,2013,17,9
,,,
 1-4 años,2014,9,6
,,,
 1-4 años,2015,17,12
,,,
 1-4 años,2016,11,8
,,,
 1-4 años,2017,14,13
,,,
 1-4 años,2018,15,17
,,,
 1-4 años,2019,8,11
,,,
 1-4 años,2020,11,9
,,,
 1-4 años,2021,8,10
,,,
 1-4 años,2022,10,12
,,,
 1-4 años,2023,9,13
,,,
 5-9 años,2000,14,3
,,,
 5-9 años,2001,18,4
,,,
 5-9 años,2002,6,6
,,,
 5-9 años,2003,17,5
,,,
 5-9 años,2004,10,3
,,,
 5-9 años,2005,18,6
,,,
 5-9 años,2006,9,6
,,,
 5-9 años,2007,5,7
,,,
 5-9 años,2008,9,9
,,,
 5-9 años,2009,4,8
,,,
 5-9 años,2010,7,6
,,,
 5-9 años,2011,11,7
,,,
 5-9 años,2012,8,9
,,,
 5-9 años,2013,11,7
,,,
 5-9 años,2014,8,2
,,,
 5-9 años,2015,8,3
,,,
 5-9 años,2016,11,7
,,,
 5-9 años,2017,11,7
,,,
 5-9 años,2018,9,9
,,,
 5-9 años,2019,9,3
,,,
 5-9 años,2020,9,4
,,,
 5-9 años,2021,8,6
,,,
 5-9 años,2022,5,4
,,,
 5-9 años,2023,7,3
,,,
 10-14 años,2000,11,6
,,,
 10-14 años,2001,7,6
,,,
 10-14 años,2002,11,7
,,,
 10-14 años,2003,5,7
,,,
 10-14 años,2004,11,7
,,,
 10-14 años,2005,11,9
,,,
 10-14 años,2006,6,6
,,,
 10-14 años,2007,11,9
,,,
 10-14 años,2008,9,8
,,,
 10-14 años,2009,9,6
,,,
 10-14 años,2010,6,2
,,,
 10-14 años,2011,10,8
,,,
 10-14 años,2012,12,4
,,,
 10-14 años,2013,6,8
,,,
 10-14 años,2014,6,6
,,,
 10-14 años,2015,15,10
,,,
 10-14 años,2016,10,6
,,,
 10-14 años,2017,7,5
,,,
 10-14 años,2018,6,7
,,,
 10-14 años,2019,9,3
,,,
 10-14 años,2020,6,3
,,,
 10-14 años,2021,10,10
,,,
 10-14 años,2022,14,12
,,,
 10-14 años,2023,8,7
,,,
 15-19 años,2000,16,8
,,,
 15-19 años,2001,23,8
,,,
 15-19 años,2002,21,7
,,,
 15-19 años,2003,21,11
,,,
 15-19 años,2004,17,6
,,,
 15-19 años,2005,21,7
,,,
 15-19 años,2006,24,12
,,,
 15-19 años,2007,32,16
,,,
 15-19 años,2008,33,16
,,,
 15-19 años,2009,28,13
,,,
 15-19 años,2010,18,10
,,,
 15-19 años,2011,20,12
,,,
 15-19 años,2012,21,8
,,,
 15-19 años,2013,23,7
,,,
 15-19 años,2014,28,6
,,,
 15-19 años,2015,26,8
,,,
 15-19 años,2016,40,12
,,,
 15-19 años,2017,60,19
,,,
 15-19 años,2018,25,13
,,,
 15-19 años,2019,24,9
,,,
 15-19 años,2020,20,20
,,,
 15-19 años,2021,19,18
,,,
 15-19 años,2022,22,10
,,,
 15-19 años,2023,25,19
,,,
 20-24 años,2000,42,10
,,,
 20-24 años,2001,38,6
,,,
 20-24 años,2002,28,13
,,,
 20-24 años,2003,35,9
,,,
 20-24 años,2004,32,11
,,,
 20-24 años,2005,38,12
,,,
 20-24 años,2006,40,15
,,,
 20-24 años,2007,56,13
,,,
 20-24 años,2008,59,24
,,,
 20-24 años,2009,28,8
,,,
 20-24 años,2010,55,11
,,,
 20-24 años,2011,42,10
,,,
 20-24 años,2012,36,11
,,,
 20-24 años,2013,39,16
,,,
 20-24 años,2014,46,22
,,,
 20-24 años,2015,61,18
,,,
 20-24 años,2016,57,14
,,,
 20-24 años,2017,134,22
,,,
 20-24 años,2018,65,14
,,,
 20-24 años,2019,48,17
,,,
 20-24 años,2020,38,16
,,,
 20-24 años,2021,68,26
,,,
 20-24 años,2022,45,13
,,,
 20-24 años,2023,41,15
,,,
 25-29 años,2000,34,10
,,,
 25-29 años,2001,27,10
,,,
 25-29 años,2002,42,19
,,,
 25-29 años,2003,53,10
,,,
 25-29 años,2004,41,18
,,,
 25-29 años,2005,55,21
,,,
 25-29 años,2006,49,11
,,,
 25-29 años,2007,58,19
,,,
 25-29 años,2008,64,20
,,,
 25-29 años,2009,55,18
,,,
 25-29 años,2010,50,10
,,,
 25-29 años,2011,34,22
,,,
 25-29 años,2012,59,17
,,,
 25-29 años,2013,45,15
,,,
 25-29 años,2014,69,20
,,,
 25-29 años,2015,69,18
,,,
 25-29 años,2016,103,17
,,,
 25-29 años,2017,134,22
,,,
 25-29 años,2018,62,27
,,,
 25-29 años,2019,57,28
,,,
 25-29 años,2020,59,22
,,,
 25-29 años,2021,91,34
,,,
 25-29 años,2022,83,24
,,,
 25-29 años,2023,70,16
,,,
 30-34 años,2000,34,11
,,,
 30-34 años,2001,46,14
,,,
 30-34 años,2002,57,17
,,,
 30-34 años,2003,35,16
,,,
 30-34 años,2004,40,14
,,,
 30-34 años,2005,54,9
,,,
 30-34 años,2006,52,21
,,,
 30-34 años,2007,67,22
,,,
 30-34 años,2008,61,14
,,,
 30-34 años,2009,45,14
,,,
 30-34 años,2010,56,16
,,,
 30-34 años,2011,53,19
,,,
 30-34 años,2012,66,20
,,,
 30-34 años,2013,39,26
,,,
 30-34 años,2014,72,12
,,,
 30-34 años,2015,84,24
,,,
 30-34 años,2016,83,19
,,,
 30-34 años,2017,155,30
,,,
