Grupo_edad,Año, Hombre, Mujer
,,,
 Menores de 1 año,2000,600,502
,,,
 Menores de 1 año,2001,639,423
,,,
 Menores de 1 año,2002,555,419
,,,
 Menores de 1 año,2003,524,390
,,,
 Menores de 1 año,2004,551,409
,,,
 Menores de 1 año,2005,512,391
,,,
 Menores de 1 año,2006,497,370
,,,
 Menores de 1 año,2007,499,384
,,,
 Menores de 1 año,2008,444,372
,,,
 Menores de 1 año,2009,473,342
,,,
 Menores de 1 año,2010,454,352
,,,
 Menores de 1 año,2011,467,357
,,,
 Menores de 1 año,2012,406,344
,,,
 Menores de 1 año,2013,374,294
,,,
 Menores de 1 año,2014,337,233
,,,
 Menores de 1 año,2015,318,272
,,,
 Menores de 1 año,2016,308,252
,,,
 Menores de 1 año,2017,313,241
,,,
 Menores de 1 año,2018,276,248
,,,
 Menores de 1 año,2019,284,243
,,,
 Menores de 1 año,2020,293,216
,,,
 Menores de 1 año,2021,247,199
,,,
 Menores de 1 año,2022,267,210
,,,
 Menores de 1 año,2023,228,191
,,,
 1-4 años,2000,82,71
,,,
 1-4 años,2001,85,77
,,,
 1-4 años,2002,95,63
,,,
 1-4 años,2003,85,63
,,,
 1-4 años,2004,92,84
,,,
 1-4 años,2005,88,73
,,,
 1-4 años,2006,80,65
,,,
 1-4 años,2007,103,57
,,,
 1-4 años,2008,87,72
,,,
 1-4 años,2009,92,77
,,,
 1-4 años,2010,93,82
,,,
 1-4 años,2011,67,57
,,,
 1-4 años,2012,68,60
,,,
 1-4 años,2013,74,44
,,,
 1-4 años,2014,59,67
,,,
 1-4 años,2015,76,53
,,,
 1-4 años,2016,60,49
,,,
 1-4 años,2017,66,49
,,,
 1-4 años,2018,56,49
,,,
 1-4 años,2019,60,46
,,,
 1-4 años,2020,69,57
,,,
 1-4 años,2021,46,44
,,,
 1-4 años,2022,42,51
,,,
 1-4 años,2023,50,32
,,,
 5-9 años,2000,52,42
,,,
 5-9 años,2001,52,32
,,,
 5-9 años,2002,53,44
,,,
 5-9 años,2003,47,36
,,,
 5-9 años,2004,49,38
,,,
 5-9 años,2005,62,43
,,,
 5-9 años,2006,54,41
,,,
 5-9 años,2007,41,33
,,,
 5-9 años,2008,44,31
,,,
 5-9 años,2009,41,29
,,,
 5-9 años,2010,38,39
,,,
 5-9 años,2011,42,30
,,,
 5-9 años,2012,46,30
,,,
 5-9 años,2013,41,24
,,,
 5-9 años,2014,30,37
,,,
 5-9 años,2015,32,32
,,,
 5-9 años,2016,25,21
,,,
 5-9 años,2017,39,29
,,,
 5-9 años,2018,41,28
,,,
 5-9 años,2019,36,31
,,,
 5-9 años,2020,59,35
,,,
 5-9 años,2021,37,28
,,,
 5-9 años,2022,38,31
,,,
 5-9 años,2023,39,28
,,,
 10-14 años,2000,43,29
,,,
 10-14 años,2001,46,28
,,,
 10-14 años,2002,39,31
,,,
 10-14 años,2003,54,38
,,,
 10-14 años,2004,47,32
,,,
 10-14 años,2005,42,47
,,,
 10-14 años,2006,64,38
,,,
 10-14 años,2007,56,28
,,,
 10-14 años,2008,56,33
,,,
 10-14 años,2009,77,42
,,,
 10-14 años,2010,51,33
,,,
 10-14 años,2011,57,33
,,,
 10-14 años,2012,60,34
,,,
 10-14 años,2013,52,27
,,,
 10-14 años,2014,47,25
,,,
 10-14 años,2015,49,35
,,,
 10-14 años,2016,45,29
,,,
 10-14 años,2017,42,35
,,,
