Grupo_edad,Año, Hombre, Mujer
,,,
 Menores de 1 año,2000,104,81
,,,
 Menores de 1 año,2001,92,82
,,,
 Menores de 1 año,2002,116,72
,,,
 Menores de 1 año,2003,108,107
,,,
 Menores de 1 año,2004,130,82
,,,
 Menores de 1 año,2005,97,74
,,,
 Menores de 1 año,2006,87,65
,,,
 Menores de 1 año,2007,73,51
,,,
 Menores de 1 año,2008,96,71
,,,
 Menores de 1 año,2009,86,75
,,,
 Menores de 1 año,2010,110,68
,,,
 Menores de 1 año,2011,145,91
,,,
 Menores de 1 año,2012,158,110
,,,
 Menores de 1 año,2013,139,105
,,,
 Menores de 1 año,2014,114,86
,,,
 Menores de 1 año,2015,148,116
,,,
 Menores de 1 año,2016,127,89
,,,
 Menores de 1 año,2017,108,89
,,,
 Menores de 1 año,2018,104,74
,,,
 Menores de 1 año,2019,114,89
,,,
 Menores de 1 año,2020,83,64
,,,
 Menores de 1 año,2021,87,60
,,,
 Menores de 1 año,2022,92,65
,,,
 Menores de 1 año,2023,88,64
,,,
 1-4 años,2000,13,10
,,,
 1-4 años,2001,17,14
,,,
 1-4 años,2002,16,14
,,,
 1-4 años,2003,22,20
,,,
 1-4 años,2004,22,23
,,,
 1-4 años,2005,23,14
,,,
 1-4 años,2006,11,10
,,,
 1-4 años,2007,13,12
,,,
 1-4 años,2008,17,14
,,,
 1-4 años,2009,17,17
,,,
 1-4 años,2010,25,13
,,,
 1-4 años,2011,18,18
,,,
 1-4 años,2012,18,23
,,,
 1-4 años,2013,21,15
,,,
 1-4 años,2014,17,17
,,,
 1-4 años,2015,24,15
,,,
 1-4 años,2016,30,14
,,,
 1-4 años,2017,25,9
,,,
 1-4 años,2018,18,17
,,,
 1-4 años,2019,13,18
,,,
 1-4 años,2020,14,12
,,,
 1-4 años,2021,17,15
,,,
 1-4 años,2022,23,18
,,,
 1-4 años,2023,14,15
,,,
 5-9 años,2000,22,11
,,,
 5-9 años,2001,13,5
,,,
 5-9 años,2002,15,2
,,,
 5-9 años,2003,9,7
,,,
 5-9 años,2004,10,10
,,,
 5-9 años,2005,10,5
,,,
 5-9 años,2006,8,10
,,,
 5-9 años,2007,14,12
,,,
 5-9 años,2008,10,7
,,,
 5-9 años,2009,9,11
,,,
 5-9 años,2010,7,6
,,,
 5-9 años,2011,6,11
,,,
 5-9 años,2012,11,10
,,,
 5-9 años,2013,10,7
,,,
 5-9 años,2014,11,8
,,,
 5-9 años,2015,11,8
,,,
 5-9 años,2016,7,10
,,,
 5-9 años,2017,2,9
,,,
 5-9 años,2018,8,3
,,,
 5-9 años,2019,14,9
,,,
 5-9 años,2020,11,10
,,,
 5-9 años,2021,6,9
,,,
 5-9 años,2022,12,9
,,,
 5-9 años,2023,16,11
,,,
 10-14 años,2000,15,6
,,,
 10-14 años,2001,12,14
,,,
 10-14 años,2002,13,7
,,,
 10-14 años,2003,17,11
,,,
 10-14 años,2004,14,8
,,,
 10-14 años,2005,12,12
,,,
 10-14 años,2006,22,8
,,,
 10-14 años,2007,13,10
,,,
 10-14 años,2008,10,15
,,,
 10-14 años,2009,17,13
,,,
 10-14 años,2010,18,4
,,,
 10-14 años,2011,15,11
,,,
 10-14 años,2012,15,14
,,,
 10-14 años,2013,13,9
,,,
 10-14 años,2014,8,10
,,,
 10-14 años,2015,15,7
,,,
 10-14 años,2016,15,5
,,,
 10-14 años,2017,5,13
,,,
 10-14 años,2018,16,9
,,,
 10-14 años,2019,13,12
,,,
 10-14 años,2020,15,11
,,,
 10-14 años,2021,6,7
,,,
 10-14 años,2022,12,9
,,,
 10-14 años,2023,21,12
,,,
 15-19 años,2000,22,11
,,,
 15-19 años,2001,33,10
,,,
 15-19 años,2002,39,13
,,,
 15-19 años,2003,35,12
,,,
 15-19 años,2004,38,20
,,,
 15-19 años,2005,23,19
,,,
 15-19 años,2006,34,14
,,,
 15-19 años,2007,35,5
,,,
 15-19 años,2008,41,12
,,,
 15-19 años,2009,36,13
,,,
 15-19 años,2010,31,7
,,,
 15-19 años,2011,44,12
,,,
 15-19 años,2012,32,12
,,,
 15-19 años,2013,38,18
,,,
 15-19 años,2014,32,22
,,,
 15-19 años,2015,45,17
,,,
 15-19 años,2016,28,17
,,,
 15-19 años,2017,49,10
,,,
 15-19 años,2018,42,16
,,,
 15-19 años,2019,34,15
,,,
 15-19 años,2020,37,18
,,,
 15-19 años,2021,51,22
,,,
 15-19 años,2022,31,4
,,,
 15-19 años,2023,53,21
,,,
 20-24 años,2000,54,18
,,,
 20-24 años,2001,45,16
,,,
 20-24 años,2002,58,26
,,,
 20-24 años,2003,54,13
,,,
 20-24 años,2004,49,17
,,,
 20-24 años,2005,55,25
,,,
 20-24 años,2006,53,21
,,,
 20-24 años,2007,51,12
,,,
 20-24 años,2008,59,12
,,,
 20-24 años,2009,64,37
,,,
 20-24 años,2010,44,12
,,,
 20-24 años,2011,54,26
,,,
 20-24 años,2012,74,23
,,,
 20-24 años,2013,52,19
,,,
 20-24 años,2014,61,26
,,,
 20-24 años,2015,69,19
,,,
 20-24 años,2016,68,14
,,,
 20-24 años,2017,75,22
,,,
 20-24 años,2018,64,22
,,,
 20-24 años,2019,63,14
,,,
 20-24 años,2020,61,29
,,,
 20-24 años,2021,66,18
,,,
 20-24 años,2022,58,22
,,,
 20-24 años,2023,67,23
,,,
 25-29 años,2000,68,19
,,,
 25-29 años,2001,41,14
,,,
 25-29 años,2002,53,12
,,,
 25-29 años,2003,61,16
,,,
 25-29 años,2004,47,18
,,,
 25-29 años,2005,57,19
,,,
 25-29 años,2006,50,19
,,,
 25-29 años,2007,61,26
,,,
 25-29 años,2008,67,16
,,,
 25-29 años,2009,71,22
,,,
 25-29 años,2010,76,21
,,,
 25-29 años,2011,62,21
,,,
 25-29 años,2012,60,24
,,,
 25-29 años,2013,69,33
,,,
 25-29 años,2014,74,29
,,,
 25-29 años,2015,75,27
,,,
 25-29 años,2016,69,29
,,,
 25-29 años,2017,68,25
,,,
 25-29 años,2018,75,28
,,,
 25-29 años,2019,80,25
,,,
 25-29 años,2020,84,28
,,,
 25-29 años,2021,96,32
,,,
 25-29 años,2022,94,35
,,,
 25-29 años,2023,85,31
,,,
 30-34 años,2000,43,27
,,,
 30-34 años,2001,59,17
,,,
 30-34 años,2002,65,27
,,,
 30-34 años,2003,58,21
,,,
 30-34 años,2004,66,23
,,,
 30-34 años,2005,56,14
,,,
 30-34 años,2006,65,24
,,,
 30-34 años,2007,59,30
,,,
 30-34 años,2008,66,21
,,,
 30-34 años,2009,77,29
,,,
 30-34 años,2010,72,31
,,,
 30-34 años,2011,77,24
,,,
 30-34 años,2012,84,22
,,,
 30-34 años,2013,66,30
,,,
 30-34 años,2014,74,37
,,,
 30-34 años,2015,64,32
,,,
 30-34 años,2016,70,41
,,,
 30-34 años,2017,93,33
,,,
 30-34 años,2018,81,33
,,,
 30-34 años,2019,78,39
,,,
 30-34 años,2020,93,54
,,,
 30-34 años,2021,121,62
,,,
 30-34 años,2022,125,35
,,,
 30-34 años,2023,110,25
,,,
 35-39 años,2000,69,27
,,,
 35-39 años,2001,48,27
,,,
 35-39 años,2002,62,21
,,,
 35-39 años,2003,56,29
,,,
 35-39 años,2004,56,26
,,,
 35-39 años,2005,58,39
,,,
 35-39 años,2006,62,26
,,,
 35-39 años,2007,81,34
,,,
 35-39 años,2008,77,29
,,,
 35-39 años,2009,90,37
,,,
 35-39 años,2010,65,33
,,,
 35-39 años,2011,76,32
,,,
 35-39 años,2012,92,32
,,,
 35-39 años,2013,91,36
,,,
 35-39 años,2014,83,39
,,,
 35-39 años,2015,89,38
,,,
 35-39 años,2016,91,46
,,,
 35-39 años,2017,87,25
,,,
 35-39 años,2018,90,41
,,,
 35-39 años,2019,96,28
,,,
 35-39 años,2020,117,56
,,,
 35-39 años,2021,146,61
,,,
 35-39 años,2022,110,68
,,,
 35-39 años,2023,111,45
,,,
 40-44 años,2000,79,32
,,,
 40-44 años,2001,55,31
,,,
 40-44 años,2002,63,33
,,,
 40-44 años,2003,62,31
,,,
 40-44 años,2004,69,27
,,,
 40-44 años,2005,60,25
,,,
 40-44 años,2006,71,43
,,,
 40-44 años,2007,63,30
,,,
 40-44 años,2008,76,28
,,,
 40-44 años,2009,79,41
,,,
 40-44 años,2010,92,37
,,,
 40-44 años,2011,102,41
,,,
 40-44 años,2012,108,35
,,,
 40-44 años,2013,83,40
,,,
 40-44 años,2014,89,45
,,,
 40-44 años,2015,87,57
,,,
 40-44 años,2016,118,53
,,,
 40-44 años,2017,88,43
,,,
 40-44 años,2018,121,57
,,,
 40-44 años,2019,120,63
,,,
 40-44 años,2020,144,76
,,,
 40-44 años,2021,139,96
,,,
 40-44 años,2022,134,75
,,,
 40-44 años,2023,123,66
,,,
 45-49 años,2000,80,34
,,,
 45-49 años,2001,87,38
,,,
 45-49 años,2002,85,38
,,,
 45-49 años,2003,90,53
,,,
 45-49 años,2004,82,41
,,,
 45-49 años,2005,88,49
,,,
 45-49 años,2006,84,54
,,,
 45-49 años,2007,93,50
,,,
 45-49 años,2008,101,60
,,,
 45-49 años,2009,111,53
,,,
 45-49 años,2010,100,46
,,,
 45-49 años,2011,101,49
,,,
 45-49 años,2012,97,64
,,,
 45-49 años,2013,100,63
,,,
 45-49 años,2014,116,71
,,,
 45-49 años,2015,142,76
,,,
 45-49 años,2016,142,72
,,,
 45-49 años,2017,107,70
,,,
 45-49 años,2018,129,75
,,,
 45-49 años,2019,126,105
,,,
 45-49 años,2020,220,128
,,,
 45-49 años,2021,203,146
,,,
 45-49 años,2022,164,96
,,,
 45-49 años,2023,174,91
,,,
 50-54 años,2000,76,34
,,,
 50-54 años,2001,89,62
,,,
 50-54 años,2002,79,56
,,,
 50-54 años,2003,96,43
,,,
 50-54 años,2004,75,54
,,,
 50-54 años,2005,110,50
,,,
 50-54 años,2006,105,69
,,,
 50-54 años,2007,100,72
,,,
 50-54 años,2008,109,65
,,,
 50-54 años,2009,108,81
,,,
 50-54 años,2010,126,72
,,,
 50-54 años,2011,133,72
,,,
 50-54 años,2012,125,69
,,,
 50-54 años,2013,156,79
,,,
 50-54 años,2014,125,96
,,,
 50-54 años,2015,139,96
,,,
 50-54 años,2016,161,119
,,,
 50-54 años,2017,148,100
,,,
 50-54 años,2018,135,111
,,,
 50-54 años,2019,169,104
,,,
 50-54 años,2020,294,187
,,,
 50-54 años,2021,262,194
,,,
 50-54 años,2022,185,116
,,,
 50-54 años,2023,171,109
,,,
 55-59 años,2000,72,55
,,,
 55-59 años,2001,86,65
,,,
 55-59 años,2002,101,66
,,,
 55-59 años,2003,90,70
,,,
 55-59 años,2004,98,57
,,,
 55-59 años,2005,108,91
,,,
 55-59 años,2006,97,85
,,,
 55-59 años,2007,100,97
,,,
 55-59 años,2008,123,104
,,,
 55-59 años,2009,133,87
,,,
 55-59 años,2010,151,94
,,,
 55-59 años,2011,106,93
,,,
 55-59 años,2012,168,111
,,,
 55-59 años,2013,177,98
,,,
 55-59 años,2014,174,129
,,,
 55-59 años,2015,155,126
,,,
 55-59 años,2016,207,129
,,,
 55-59 años,2017,188,160
,,,
 55-59 años,2018,197,135
,,,
 55-59 años,2019,225,133
,,,
 55-59 años,2020,371,244
,,,
 55-59 años,2021,330,257
,,,
 55-59 años,2022,206,173
,,,
 55-59 años,2023,231,155
,,,
 60-64 años,2000,110,83
,,,
 60-64 años,2001,88,78
,,,
 60-64 años,2002,99,96
,,,
 60-64 años,2003,129,67
,,,
 60-64 años,2004,108,110
,,,
 60-64 años,2005,128,99
,,,
 60-64 años,2006,136,95
,,,
 60-64 años,2007,122,93
,,,
 60-64 años,2008,138,98
,,,
 60-64 años,2009,162,114
,,,
 60-64 años,2010,140,126
,,,
 60-64 años,2011,166,104
,,,
 60-64 años,2012,146,105
,,,
 60-64 años,2013,145,142
,,,
 60-64 años,2014,181,126
,,,
 60-64 años,2015,218,154
,,,
 60-64 años,2016,212,156
,,,
 60-64 años,2017,220,165
,,,
 60-64 años,2018,231,182
,,,
 60-64 años,2019,233,163
,,,
 60-64 años,2020,408,337
,,,
 60-64 años,2021,360,316
,,,
 60-64 años,2022,265,207
,,,
 60-64 años,2023,280,199
,,,
 65-69 años,2000,94,83
,,,
 65-69 años,2001,104,66
,,,
 65-69 años,2002,107,101
,,,
 65-69 años,2003,116,90
,,,
 65-69 años,2004,138,104
,,,
 65-69 años,2005,146,90
,,,
 65-69 años,2006,123,111
,,,
 65-69 años,2007,135,116
,,,
 65-69 años,2008,152,150
,,,
 65-69 años,2009,176,135
,,,
 65-69 años,2010,168,124
,,,
 65-69 años,2011,116,123
,,,
 65-69 años,2012,172,141
,,,
 65-69 años,2013,167,154
,,,
 65-69 años,2014,198,148
,,,
 65-69 años,2015,198,174
,,,
 65-69 años,2016,240,190
,,,
 65-69 años,2017,199,173
,,,
 65-69 años,2018,214,178
,,,
 65-69 años,2019,259,190
,,,
 65-69 años,2020,451,353
,,,
 65-69 años,2021,443,345
,,,
 65-69 años,2022,301,245
,,,
 65-69 años,2023,262,220
,,,
 70-74 años,2000,118,97
,,,
 70-74 años,2001,134,94
,,,
 70-74 años,2002,160,123
,,,
 70-74 años,2003,139,114
,,,
 70-74 años,2004,152,121
,,,
 70-74 años,2005,161,122
,,,
 70-74 años,2006,149,131
,,,
 70-74 años,2007,181,139
,,,
 70-74 años,2008,186,133
,,,
 70-74 años,2009,174,153
,,,
 70-74 años,2010,190,172
,,,
 70-74 años,2011,150,160
,,,
 70-74 años,2012,203,170
,,,
 70-74 años,2013,185,155
,,,
 70-74 años,2014,211,182
,,,
 70-74 años,2015,216,200
,,,
 70-74 años,2016,237,205
,,,
 70-74 años,2017,226,214
,,,
 70-74 años,2018,263,188
,,,
 70-74 años,2019,272,234
,,,
 70-74 años,2020,483,305
,,,
 70-74 años,2021,438,350
,,,
 70-74 años,2022,309,265
,,,
 70-74 años,2023,313,254
,,,
 75-79 años,2000,125,119
,,,
 75-79 años,2001,132,105
,,,
 75-79 años,2002,137,119
,,,
 75-79 años,2003,133,129
,,,
 75-79 años,2004,167,136
,,,
 75-79 años,2005,160,143
,,,
 75-79 años,2006,172,163
,,,
 75-79 años,2007,162,159
,,,
 75-79 años,2008,204,181
,,,
 75-79 años,2009,198,184
,,,
 75-79 años,2010,200,186
,,,
 75-79 años,2011,209,168
,,,
 75-79 años,2012,231,163
,,,
 75-79 años,2013,229,187
,,,
 75-79 años,2014,212,216
,,,
 75-79 años,2015,269,221
,,,
 75-79 años,2016,258,215
,,,
 75-79 años,2017,225,229
,,,
 75-79 años,2018,267,221
,,,
 75-79 años,2019,249,222
,,,
 75-79 años,2020,458,333
,,,
 75-79 años,2021,447,311
,,,
 75-79 años,2022,299,247
,,,
 75-79 años,2023,331,248
,,,
 80-84 años,2000,109,120
,,,
 80-84 años,2001,125,112
,,,
 80-84 años,2002,139,119
,,,
 80-84 años,2003,162,128
,,,
 80-84 años,2004,143,140
,,,
 80-84 años,2005,183,145
,,,
 80-84 años,2006,167,147
,,,
 80-84 años,2007,169,154
,,,
 80-84 años,2008,200,173
,,,
 80-84 años,2009,163,175
,,,
 80-84 años,2010,231,184
,,,
 80-84 años,2011,223,180
,,,
 80-84 años,2012,197,186
,,,
 80-84 años,2013,234,207
,,,
 80-84 años,2014,235,202
,,,
 80-84 años,2015,233,232
,,,
 80-84 años,2016,310,234
,,,
 80-84 años,2017,236,204
,,,
 80-84 años,2018,258,227
,,,
 80-84 años,2019,281,247
,,,
 80-84 años,2020,456,341
,,,
 80-84 años,2021,445,362
,,,
 80-84 años,2022,294,270
,,,
 80-84 años,2023,282,274
,,,
 85 años y más,2000,180,166
,,,
 85 años y más,2001,177,167
,,,
 85 años y más,2002,205,168
,,,
 85 años y más,2003,218,192
,,,
 85 años y más,2004,227,212
,,,
 85 años y más,2005,222,205
,,,
 85 años y más,2006,247,224
,,,
 85 años y más,2007,273,262
,,,
 85 años y más,2008,308,252
,,,
 85 años y más,2009,273,300
,,,
 85 años y más,2010,359,345
,,,
 85 años y más,2011,322,347
,,,
 85 años y más,2012,319,311
,,,
 85 años y más,2013,371,362
,,,
 85 años y más,2014,367,353
,,,
 85 años y más,2015,436,442
,,,
 85 años y más,2016,448,410
,,,
 85 años y más,2017,449,436
,,,
 85 años y más,2018,461,441
,,,
 85 años y más,2019,483,484
,,,
 85 años y más,2020,628,531
,,,
 85 años y más,2021,615,561
,,,
 85 años y más,2022,467,544
,,,
 85 años y más,2023,455,533
