Grupo_edad,Año, Hombre, Mujer
,,,
 Menores de 1 año,2000,709,502
,,,
 Menores de 1 año,2001,716,543
,,,
 Menores de 1 año,2002,707,563
,,,
 Menores de 1 año,2003,672,503
,,,
 Menores de 1 año,2004,538,417
,,,
 Menores de 1 año,2005,576,493
,,,
 Menores de 1 año,2006,625,469
,,,
 Menores de 1 año,2007,622,426
,,,
 Menores de 1 año,2008,566,486
,,,
 Menores de 1 año,2009,606,471
,,,
 Menores de 1 año,2010,521,399
,,,
 Menores de 1 año,2011,577,413
,,,
 Menores de 1 año,2012,520,385
,,,
 Menores de 1 año,2013,590,434
,,,
 Menores de 1 año,2014,518,405
,,,
 Menores de 1 año,2015,525,411
,,,
 Menores de 1 año,2016,477,362
,,,
 Menores de 1 año,2017,527,366
,,,
 Menores de 1 año,2018,414,372
,,,
 Menores de 1 año,2019,471,369
,,,
 Menores de 1 año,2020,423,304
,,,
 Menores de 1 año,2021,408,331
,,,
 Menores de 1 año,2022,390,300
,,,
 Menores de 1 año,2023,384,320
,,,
 1-4 años,2000,118,97
,,,
 1-4 años,2001,126,103
,,,
 1-4 años,2002,105,82
,,,
 1-4 años,2003,123,114
,,,
 1-4 años,2004,103,87
,,,
 1-4 años,2005,109,90
,,,
 1-4 años,2006,123,108
,,,
 1-4 años,2007,112,92
,,,
 1-4 años,2008,114,104
,,,
 1-4 años,2009,109,93
,,,
 1-4 años,2010,115,76
,,,
 1-4 años,2011,111,94
,,,
 1-4 años,2012,107,107
,,,
 1-4 años,2013,111,86
,,,
 1-4 años,2014,106,101
,,,
 1-4 años,2015,95,99
,,,
 1-4 años,2016,92,99
,,,
 1-4 años,2017,109,95
,,,
 1-4 años,2018,103,77
,,,
 1-4 años,2019,85,84
,,,
 1-4 años,2020,97,69
,,,
 1-4 años,2021,107,69
,,,
 1-4 años,2022,101,74
,,,
 1-4 años,2023,108,100
,,,
 5-9 años,2000,67,47
,,,
 5-9 años,2001,70,33
,,,
 5-9 años,2002,73,48
,,,
 5-9 años,2003,60,62
,,,
 5-9 años,2004,57,51
,,,
 5-9 años,2005,53,46
,,,
 5-9 años,2006,55,47
,,,
 5-9 años,2007,58,44
,,,
 5-9 años,2008,68,55
,,,
 5-9 años,2009,70,42
,,,
 5-9 años,2010,69,42
,,,
 5-9 años,2011,55,46
,,,
 5-9 años,2012,84,45
,,,
 5-9 años,2013,52,37
,,,
 5-9 años,2014,38,46
,,,
 5-9 años,2015,48,35
,,,
