Grupo_edad,Año, Hombre, Mujer
,,,
 Menores de 1 año,2000,"1,767","1,353"
,,,
 Menores de 1 año,2001,"1,627","1,254"
,,,
 Menores de 1 año,2002,"1,592","1,257"
,,,
 Menores de 1 año,2003,"1,609","1,190"
,,,
 Menores de 1 año,2004,"1,493","1,171"
,,,
 Menores de 1 año,2005,"1,447","1,133"
,,,
 Menores de 1 año,2006,"1,338","1,046"
,,,
 Menores de 1 año,2007,"1,246",972
,,,
 Menores de 1 año,2008,"1,263",947
,,,
 Menores de 1 año,2009,"1,178",952
,,,
 Menores de 1 año,2010,"1,155",884
,,,
 Menores de 1 año,2011,"1,128",831
,,,
 Menores de 1 año,2012,984,876
,,,
 Menores de 1 año,2013,"1,020",740
,,,
 Menores de 1 año,2014,884,665
,,,
 Menores de 1 año,2015,886,685
,,,
 Menores de 1 año,2016,784,636
,,,
 Menores de 1 año,2017,757,623
,,,
 Menores de 1 año,2018,669,551
,,,
 Menores de 1 año,2019,694,485
,,,
 Menores de 1 año,2020,618,486
,,,
 Menores de 1 año,2021,496,429
,,,
 Menores de 1 año,2022,557,460
,,,
 Menores de 1 año,2023,580,433
,,,
 1-4 años,2000,204,160
,,,
 1-4 años,2001,196,188
,,,
 1-4 años,2002,212,156
,,,
 1-4 años,2003,189,151
,,,
 1-4 años,2004,198,151
,,,
 1-4 años,2005,168,154
,,,
 1-4 años,2006,172,140
,,,
 1-4 años,2007,182,157
,,,
 1-4 años,2008,155,134
,,,
 1-4 años,2009,172,157
,,,
 1-4 años,2010,163,133
,,,
 1-4 años,2011,169,120
,,,
 1-4 años,2012,150,119
,,,
 1-4 años,2013,137,117
,,,
 1-4 años,2014,145,102
,,,
 1-4 años,2015,124,93
,,,
 1-4 años,2016,111,112
,,,
 1-4 años,2017,133,109
,,,
 1-4 años,2018,108,90
,,,
 1-4 años,2019,108,106
,,,
 1-4 años,2020,89,73
,,,
 1-4 años,2021,75,60
,,,
 1-4 años,2022,83,56
,,,
 1-4 años,2023,75,63
,,,
 5-9 años,2000,93,91
,,,
 5-9 años,2001,92,80
,,,
 5-9 años,2002,86,81
,,,
 5-9 años,2003,104,76
,,,
 5-9 años,2004,83,74
,,,
 5-9 años,2005,82,103
,,,
 5-9 años,2006,103,80
,,,
 5-9 años,2007,85,66
,,,
 5-9 años,2008,70,65
,,,
 5-9 años,2009,103,93
,,,
 5-9 años,2010,100,79
,,,
 5-9 años,2011,88,73
,,,
 5-9 años,2012,79,68
,,,
 5-9 años,2013,58,67
,,,
 5-9 años,2014,87,56
,,,
 5-9 años,2015,67,57
,,,
 5-9 años,2016,64,73
,,,
 5-9 años,2017,61,67
,,,
 5-9 años,2018,74,50
,,,
 5-9 años,2019,57,54
,,,
 5-9 años,2020,68,33
,,,
 5-9 años,2021,49,59
,,,
 5-9 años,2022,64,47
,,,
 5-9 años,2023,56,45
,,,
 10-14 años,2000,131,87
,,,
 10-14 años,2001,127,97
,,,
 10-14 años,2002,121,90
,,,
 10-14 años,2003,137,91
,,,
 10-14 años,2004,125,70
,,,
 10-14 años,2005,104,109
,,,
 10-14 años,2006,110,68
,,,
 10-14 años,2007,92,73
,,,
 10-14 años,2008,111,92
,,,
 10-14 años,2009,120,85
,,,
 10-14 años,2010,112,75
,,,
 10-14 años,2011,100,73
,,,
 10-14 años,2012,74,84
,,,
 10-14 años,2013,101,64
,,,
 10-14 años,2014,87,83
,,,
 10-14 años,2015,81,68
,,,
 10-14 años,2016,86,88
,,,
 10-14 años,2017,95,67
,,,
 10-14 años,2018,69,67
,,,
 10-14 años,2019,88,76
,,,
 10-14 años,2020,86,60
,,,
 10-14 años,2021,92,68
,,,
 10-14 años,2022,78,68
,,,
 10-14 años,2023,73,76
,,,
 15-19 años,2000,340,169
,,,
 15-19 años,2001,351,187
,,,
 15-19 años,2002,398,168
,,,
 15-19 años,2003,374,175
,,,
 15-19 años,2004,327,144
,,,
 15-19 años,2005,362,151
,,,
 15-19 años,2006,316,141
,,,
 15-19 años,2007,320,152
,,,
 15-19 años,2008,333,165
,,,
 15-19 años,2009,317,152
,,,
 15-19 años,2010,355,162
,,,
 15-19 años,2011,358,172
,,,
 15-19 años,2012,326,177
,,,
 15-19 años,2013,280,124
,,,
 15-19 años,2014,278,169
,,,
 15-19 años,2015,261,119
,,,
 15-19 años,2016,291,111
,,,
 15-19 años,2017,350,135
,,,
 15-19 años,2018,297,134
,,,
 15-19 años,2019,292,112
,,,
 15-19 años,2020,284,126
,,,
 15-19 años,2021,289,128
,,,
 15-19 años,2022,273,141
,,,
 15-19 años,2023,278,128
,,,
 20-24 años,2000,544,210
,,,
 20-24 años,2001,588,257
,,,
 20-24 años,2002,556,194
,,,
 20-24 años,2003,538,194
,,,
 20-24 años,2004,505,209
,,,
 20-24 años,2005,516,183
,,,
 20-24 años,2006,481,215
,,,
 20-24 años,2007,522,189
,,,
 20-24 años,2008,527,171
,,,
 20-24 años,2009,564,202
,,,
 20-24 años,2010,542,183
,,,
 20-24 años,2011,536,190
,,,
 20-24 años,2012,595,207
,,,
 20-24 años,2013,593,182
,,,
 20-24 años,2014,555,187
,,,
 20-24 años,2015,540,192
,,,
 20-24 años,2016,602,201
,,,
 20-24 años,2017,615,200
,,,
 20-24 años,2018,608,193
,,,
 20-24 años,2019,563,200
,,,
 20-24 años,2020,592,227
,,,
 20-24 años,2021,560,203
,,,
 20-24 años,2022,451,167
,,,
 20-24 años,2023,507,159
,,,
 25-29 años,2000,780,259
,,,
 25-29 años,2001,731,234
,,,
 25-29 años,2002,746,247
,,,
 25-29 años,2003,663,268
,,,
 25-29 años,2004,620,201
,,,
 25-29 años,2005,592,213
,,,
 25-29 años,2006,558,210
,,,
 25-29 años,2007,609,240
,,,
 25-29 años,2008,552,232
,,,
 25-29 años,2009,629,243
,,,
 25-29 años,2010,643,185
,,,
 25-29 años,2011,613,211
,,,
 25-29 años,2012,622,202
,,,
 25-29 años,2013,674,217
,,,
 25-29 años,2014,616,223
,,,
 25-29 años,2015,636,214
,,,
 25-29 años,2016,707,242
,,,
 25-29 años,2017,708,238
,,,
 25-29 años,2018,745,228
,,,
 25-29 años,2019,750,247
,,,
 25-29 años,2020,897,304
,,,
 25-29 años,2021,884,336
,,,
 25-29 años,2022,663,218
,,,
 25-29 años,2023,684,193
,,,
 30-34 años,2000,864,271
,,,
 30-34 años,2001,807,333
,,,
 30-34 años,2002,775,303
,,,
 30-34 años,2003,809,333
,,,
 30-34 años,2004,804,250
,,,
 30-34 años,2005,773,306
,,,
 30-34 años,2006,808,268
,,,
 30-34 años,2007,767,262
,,,
 30-34 años,2008,782,255
,,,
 30-34 años,2009,775,326
,,,
 30-34 años,2010,701,264
,,,
 30-34 años,2011,701,263
,,,
 30-34 años,2012,722,285
,,,
 30-34 años,2013,763,252
,,,
 30-34 años,2014,801,278
,,,
 30-34 años,2015,731,255
,,,
 30-34 años,2016,842,277
,,,
 30-34 años,2017,737,300
,,,
 30-34 años,2018,801,273
,,,
 30-34 años,2019,869,259
,,,
 30-34 años,2020,"1,260",426
,,,
 30-34 años,2021,"1,252",406
,,,
 30-34 años,2022,833,299
,,,
 30-34 años,2023,796,286
,,,
 35-39 años,2000,925,382
,,,
 35-39 años,2001,954,385
,,,
 35-39 años,2002,870,397
,,,
 35-39 años,2003,949,394
,,,
 35-39 años,2004,903,362
,,,
 35-39 años,2005,867,352
,,,
 35-39 años,2006,855,389
,,,
 35-39 años,2007,907,353
,,,
 35-39 años,2008,941,356
,,,
 35-39 años,2009,"1,010",434
,,,
 35-39 años,2010,972,438
,,,
 35-39 años,2011,961,386
,,,
 35-39 años,2012,946,398
,,,
 35-39 años,2013,937,362
,,,
 35-39 años,2014,944,404
,,,
 35-39 años,2015,941,377
,,,
 35-39 años,2016,"1,001",379
,,,
 35-39 años,2017,899,402
,,,
 35-39 años,2018,954,365
,,,
 35-39 años,2019,965,355
,,,
 35-39 años,2020,"1,672",611
,,,
 35-39 años,2021,"1,742",641
,,,
 35-39 años,2022,953,409
,,,
 35-39 años,2023,913,414
,,,
 40-44 años,2000,"1,041",546
,,,
 40-44 años,2001,"1,020",540
,,,
 40-44 años,2002,"1,049",516
,,,
 40-44 años,2003,"1,086",547
,,,
 40-44 años,2004,"1,044",526
,,,
 40-44 años,2005,"1,050",545
,,,
 40-44 años,2006,"1,081",526
,,,
 40-44 años,2007,"1,093",544
,,,
 40-44 años,2008,"1,112",540
,,,
 40-44 años,2009,"1,151",562
,,,
 40-44 años,2010,"1,092",552
,,,
 40-44 años,2011,"1,127",531
,,,
 40-44 años,2012,"1,176",551
,,,
 40-44 años,2013,"1,175",503
,,,
 40-44 años,2014,"1,279",584
,,,
 40-44 años,2015,"1,300",593
,,,
 40-44 años,2016,"1,345",593
,,,
 40-44 años,2017,"1,225",581
,,,
 40-44 años,2018,"1,266",582
,,,
 40-44 años,2019,"1,220",604
,,,
