Grupo_edad,Año, Hombre, Mujer
,,,
 Menores de 1 año,2000,294,228
,,,
 Menores de 1 año,2001,331,255
,,,
 Menores de 1 año,2002,320,228
,,,
 Menores de 1 año,2003,288,227
,,,
 Menores de 1 año,2004,244,207
,,,
 Menores de 1 año,2005,298,199
,,,
 Menores de 1 año,2006,227,195
,,,
 Menores de 1 año,2007,291,261
,,,
 Menores de 1 año,2008,237,180
,,,
 Menores de 1 año,2009,252,205
,,,
 Menores de 1 año,2010,293,255
,,,
 Menores de 1 año,2011,277,249
,,,
 Menores de 1 año,2012,427,310
,,,
 Menores de 1 año,2013,402,296
,,,
 Menores de 1 año,2014,474,343
,,,
 Menores de 1 año,2015,397,323
,,,
 Menores de 1 año,2016,420,327
,,,
 Menores de 1 año,2017,382,322
,,,
 Menores de 1 año,2018,339,293
,,,
 Menores de 1 año,2019,354,282
,,,
 Menores de 1 año,2020,286,242
,,,
 Menores de 1 año,2021,330,235
,,,
 Menores de 1 año,2022,293,245
,,,
 Menores de 1 año,2023,296,255
,,,
 1-4 años,2000,53,42
,,,
 1-4 años,2001,51,44
,,,
 1-4 años,2002,57,41
,,,
 1-4 años,2003,48,40
,,,
 1-4 años,2004,50,54
,,,
 1-4 años,2005,53,45
,,,
 1-4 años,2006,56,39
,,,
 1-4 años,2007,58,43
,,,
 1-4 años,2008,53,47
,,,
 1-4 años,2009,45,37
,,,
 1-4 años,2010,45,33
,,,
 1-4 años,2011,39,44
,,,
 1-4 años,2012,64,51
,,,
 1-4 años,2013,60,38
,,,
 1-4 años,2014,72,52
,,,
 1-4 años,2015,61,43
,,,
 1-4 años,2016,62,55
,,,
 1-4 años,2017,65,43
,,,
 1-4 años,2018,50,38
,,,
 1-4 años,2019,54,50
,,,
 1-4 años,2020,37,43
,,,
 1-4 años,2021,40,40
,,,
 1-4 años,2022,52,44
,,,
 1-4 años,2023,58,43
,,,
 5-9 años,2000,26,22
,,,
 5-9 años,2001,37,22
,,,
