Grupo_edad,Año, Hombre, Mujer
,,,
 Menores de 1 año,2000,97,70
,,,
 Menores de 1 año,2001,88,66
,,,
 Menores de 1 año,2002,70,50
,,,
 Menores de 1 año,2003,73,60
,,,
 Menores de 1 año,2004,78,61
,,,
 Menores de 1 año,2005,92,65
,,,
 Menores de 1 año,2006,77,72
,,,
 Menores de 1 año,2007,69,66
,,,
 Menores de 1 año,2008,70,66
,,,
 Menores de 1 año,2009,77,69
,,,
 Menores de 1 año,2010,68,59
,,,
 Menores de 1 año,2011,86,69
,,,
 Menores de 1 año,2012,81,51
,,,
 Menores de 1 año,2013,70,39
,,,
 Menores de 1 año,2014,78,48
,,,
 Menores de 1 año,2015,65,48
,,,
 Menores de 1 año,2016,57,64
,,,
 Menores de 1 año,2017,62,45
,,,
 Menores de 1 año,2018,66,35
,,,
 Menores de 1 año,2019,46,34
,,,
 Menores de 1 año,2020,61,37
,,,
 Menores de 1 año,2021,49,35
,,,
 Menores de 1 año,2022,49,44
,,,
 Menores de 1 año,2023,54,44
,,,
 1-4 años,2000,15,11
,,,
 1-4 años,2001,13,19
,,,
 1-4 años,2002,23,12
,,,
 1-4 años,2003,13,7
,,,
 1-4 años,2004,17,14
,,,
 1-4 años,2005,14,13
,,,
 1-4 años,2006,18,11
,,,
 1-4 años,2007,17,14
,,,
 1-4 años,2008,14,13
,,,
 1-4 años,2009,11,18
,,,
 1-4 años,2010,13,15
,,,
 1-4 años,2011,15,7
,,,
 1-4 años,2012,14,14
,,,
 1-4 años,2013,14,15
,,,
 1-4 años,2014,11,10
,,,
 1-4 años,2015,13,11
,,,
 1-4 años,2016,10,14
,,,
 1-4 años,2017,12,10
,,,
 1-4 años,2018,14,8
,,,
 1-4 años,2019,11,17
,,,
 1-4 años,2020,7,7
,,,
 1-4 años,2021,11,5
,,,
 1-4 años,2022,4,12
,,,
 1-4 años,2023,7,4
,,,
 5-9 años,2000,12,12
,,,
 5-9 años,2001,11,5
,,,
 5-9 años,2002,11,8
,,,
 5-9 años,2003,4,9
,,,
 5-9 años,2004,7,8
,,,
 5-9 años,2005,5,8
,,,
 5-9 años,2006,9,5
,,,
 5-9 años,2007,5,9
,,,
 5-9 años,2008,11,6
,,,
 5-9 años,2009,11,7
,,,
 5-9 años,2010,8,5
,,,
 5-9 años,2011,4,7
,,,
 5-9 años,2012,12,7
,,,
 5-9 años,2013,2,7
,,,
 5-9 años,2014,5,3
,,,
 5-9 años,2015,12,5
,,,
 5-9 años,2016,12,4
,,,
 5-9 años,2017,5,4
,,,
 5-9 años,2018,9,7
,,,
 5-9 años,2019,6,8
,,,
 5-9 años,2020,4,6
,,,
 5-9 años,2021,9,10
,,,
 5-9 años,2022,3,4
,,,
 5-9 años,2023,7,6
,,,
 10-14 años,2000,9,11
,,,
 10-14 años,2001,11,9
,,,
