 2. Defunciones registradas por residencia habitual del fallecido y grupos quinquenales de edad según sexo
,

Consulta de:  2. Defunciones registradas por residencia habitual del fallecido y grupos quinquenales de edad según sexo   Por: Edad, Sexo y Año de registro   Según: Dato
 , , , Defunciones registradas
 Total, Total, 2000,"437,667"
 Total, Total, 2001,"443,127"
 Total, Total, 2002,"459,687"
 Total, Total, 2003,"472,140"
 Total, Total, 2004,"473,417"
 Total, Total, 2005,"495,240"
 Total, Total, 2006,"494,471"
 Total, Total, 2007,"514,420"
 Total, Total, 2008,"539,530"
 Total, Total, 2009,"564,673"
 Total, Total, 2010,"592,018"
 Total, Total, 2011,"590,693"
 Total, Total, 2012,"602,354"
 Total, Total, 2013,"623,599"
 Total, Total, 2014,"633,641"
 Total, Total, 2015,"655,688"
 Total, Total, 2016,"685,766"
 Total, Total, 2017,"703,047"
 Total, Total, 2018,"722,611"
 Total, Total, 2019,"747,784"
 Total, Total, 2020,"1,086,743"
 Total, Total, 2021,"1,122,249"
 Total, Total, 2022,"847,716"
 Total, Total, 2023,"799,869"
 Menores de 1 año, Total, 2000,"38,621"
 Menores de 1 año, Total, 2001,"35,911"
 Menores de 1 año, Total, 2002,"36,567"
 Menores de 1 año, Total, 2003,"33,355"
 Menores de 1 año, Total, 2004,"32,764"
 Menores de 1 año, Total, 2005,"32,603"
 Menores de 1 año, Total, 2006,"30,899"
 Menores de 1 año, Total, 2007,"30,425"
 Menores de 1 año, Total, 2008,"29,537"
 Menores de 1 año, Total, 2009,"28,988"
 Menores de 1 año, Total, 2010,"28,865"
 Menores de 1 año, Total, 2011,"29,050"
 Menores de 1 año, Total, 2012,"28,956"
 Menores de 1 año, Total, 2013,"27,817"
 Menores de 1 año, Total, 2014,"26,399"
 Menores de 1 año, Total, 2015,"26,057"
 Menores de 1 año, Total, 2016,"24,730"
 Menores de 1 año, Total, 2017,"25,456"
 Menores de 1 año, Total, 2018,"23,451"
 Menores de 1 año, Total, 2019,"22,944"
 Menores de 1 año, Total, 2020,"19,352"
 Menores de 1 año, Total, 2021,"19,319"
 Menores de 1 año, Total, 2022,"19,612"
 Menores de 1 año, Total, 2023,"19,345"
 1-4 años, Total, 2000,"6,963"
 1-4 años, Total, 2001,"6,620"
 1-4 años, Total, 2002,"6,831"
 1-4 años, Total, 2003,"6,700"
 1-4 años, Total, 2004,"6,608"
 1-4 años, Total, 2005,"6,469"
 1-4 años, Total, 2006,"6,093"
 1-4 años, Total, 2007,"6,068"
 1-4 años, Total, 2008,"5,739"
 1-4 años, Total, 2009,"5,992"
 1-4 años, Total, 2010,"5,651"
 1-4 años, Total, 2011,"5,682"
 1-4 años, Total, 2012,"5,346"
 1-4 años, Total, 2013,"5,348"
 1-4 años, Total, 2014,"5,129"
 1-4 años, Total, 2015,"5,028"
 1-4 años, Total, 2016,"5,082"
 1-4 años, Total, 2017,"4,912"
 1-4 años, Total, 2018,"4,605"
 1-4 años, Total, 2019,"4,700"
 1-4 años, Total, 2020,"3,887"
 1-4 años, Total, 2021,"4,007"
