Grupo_edad,Año, Hombre, Mujer
,,,
 Menores de 1 año,2000,85,52
,,,
 Menores de 1 año,2001,74,57
,,,
 Menores de 1 año,2002,237,130
,,,
 Menores de 1 año,2003,161,106
,,,
 Menores de 1 año,2004,193,165
,,,
 Menores de 1 año,2005,210,202
,,,
 Menores de 1 año,2006,190,143
,,,
 Menores de 1 año,2007,185,170
,,,
 Menores de 1 año,2008,202,162
,,,
 Menores de 1 año,2009,226,141
,,,
 Menores de 1 año,2010,239,188
,,,
 Menores de 1 año,2011,284,232
,,,
 Menores de 1 año,2012,257,220
,,,
 Menores de 1 año,2013,273,204
,,,
 Menores de 1 año,2014,283,201
,,,
 Menores de 1 año,2015,282,213
,,,
 Menores de 1 año,2016,263,183
,,,
 Menores de 1 año,2017,253,195
,,,
 Menores de 1 año,2018,188,147
,,,
 Menores de 1 año,2019,217,156
,,,
 Menores de 1 año,2020,156,128
,,,
 Menores de 1 año,2021,219,150
,,,
 Menores de 1 año,2022,207,146
,,,
 Menores de 1 año,2023,175,149
,,,
 1-4 años,2000,24,25
,,,
 1-4 años,2001,29,18
,,,
 1-4 años,2002,31,26
,,,
 1-4 años,2003,31,14
,,,
 1-4 años,2004,33,30
,,,
 1-4 años,2005,31,30
,,,
 1-4 años,2006,44,45
,,,
 1-4 años,2007,32,36
,,,
 1-4 años,2008,43,19
,,,
 1-4 años,2009,44,32
,,,
 1-4 años,2010,47,40
,,,
 1-4 años,2011,52,48
,,,
 1-4 años,2012,36,34
,,,
 1-4 años,2013,31,41
,,,
 1-4 años,2014,44,43
,,,
 1-4 años,2015,47,40
,,,
 1-4 años,2016,41,44
,,,
 1-4 años,2017,42,32
,,,
 1-4 años,2018,36,27
,,,
 1-4 años,2019,36,29
,,,
 1-4 años,2020,39,12
,,,
 1-4 años,2021,48,36
,,,
 1-4 años,2022,32,40
,,,
 1-4 años,2023,45,37
,,,
 5-9 años,2000,17,13
,,,
 5-9 años,2001,13,14
,,,
 5-9 años,2002,20,11
,,,
 5-9 años,2003,20,15
,,,
 5-9 años,2004,14,15
,,,
 5-9 años,2005,15,13
,,,
 5-9 años,2006,16,10
,,,
 5-9 años,2007,17,16
,,,
 5-9 años,2008,23,17
,,,
 5-9 años,2009,38,18
,,,
 5-9 años,2010,12,14
,,,
 5-9 años,2011,25,16
,,,
 5-9 años,2012,17,12
,,,
 5-9 años,2013,18,11
,,,
 5-9 años,2014,16,14
,,,
 5-9 años,2015,13,14
,,,
 5-9 años,2016,14,15
,,,
 5-9 años,2017,22,8
,,,
 5-9 años,2018,12,18
,,,
 5-9 años,2019,18,16
,,,
 5-9 años,2020,18,13
,,,
 5-9 años,2021,25,10
,,,
 5-9 años,2022,19,15
,,,
 5-9 años,2023,19,19
,,,
 10-14 años,2000,13,16
,,,
 10-14 años,2001,35,15
,,,
 10-14 años,2002,24,21
,,,
 10-14 años,2003,22,18
,,,
 10-14 años,2004,27,8
,,,
 10-14 años,2005,27,18
,,,
 10-14 años,2006,27,9
,,,
 10-14 años,2007,38,26
,,,
 10-14 años,2008,37,13
,,,
 10-14 años,2009,33,25
,,,
 10-14 años,2010,23,25
,,,
 10-14 años,2011,28,17
,,,
 10-14 años,2012,36,11
,,,
 10-14 años,2013,21,19
,,,
 10-14 años,2014,20,13
,,,
 10-14 años,2015,27,17
,,,
 10-14 años,2016,41,17
,,,
 10-14 años,2017,24,19
,,,
 10-14 años,2018,26,12
,,,
 10-14 años,2019,20,15
,,,
 10-14 años,2020,14,11
,,,
 10-14 años,2021,19,19
,,,
 10-14 años,2022,19,25
,,,
 10-14 años,2023,29,10
,,,
 15-19 años,2000,76,23
,,,
 15-19 años,2001,70,33
,,,
 15-19 años,2002,90,32
,,,
 15-19 años,2003,96,29
,,,
 15-19 años,2004,67,22
,,,
 15-19 años,2005,54,18
,,,
 15-19 años,2006,71,26
,,,
 15-19 años,2007,107,27
,,,
 15-19 años,2008,112,39
,,,
 15-19 años,2009,185,43
,,,
 15-19 años,2010,178,45
,,,
 15-19 años,2011,108,30
,,,
 15-19 años,2012,116,28
,,,
 15-19 años,2013,124,34
,,,
 15-19 años,2014,83,33
,,,
 15-19 años,2015,77,33
,,,
 15-19 años,2016,78,39
,,,
 15-19 años,2017,95,27
,,,
 15-19 años,2018,87,25
,,,
 15-19 años,2019,73,33
,,,
 15-19 años,2020,86,31
,,,
 15-19 años,2021,92,25
,,,
 15-19 años,2022,104,35
