Grupo_edad,Año, Hombre, Mujer
,,,
 Menores de 1 año,2000,"1,422","1,037"
,,,
 Menores de 1 año,2001,"1,152",892
,,,
 Menores de 1 año,2002,"1,276",931
,,,
 Menores de 1 año,2003,"1,123",858
,,,
 Menores de 1 año,2004,"1,109",762
,,,
 Menores de 1 año,2005,"1,031",774
,,,
 Menores de 1 año,2006,936,754
,,,
 Menores de 1 año,2007,913,739
,,,
 Menores de 1 año,2008,890,692
,,,
 Menores de 1 año,2009,800,614
,,,
 Menores de 1 año,2010,858,656
,,,
 Menores de 1 año,2011,778,626
,,,
 Menores de 1 año,2012,778,603
,,,
 Menores de 1 año,2013,756,564
,,,
 Menores de 1 año,2014,787,582
,,,
 Menores de 1 año,2015,706,539
,,,
 Menores de 1 año,2016,724,493
,,,
 Menores de 1 año,2017,688,567
,,,
 Menores de 1 año,2018,634,581
,,,
 Menores de 1 año,2019,641,484
,,,
 Menores de 1 año,2020,548,432
,,,
 Menores de 1 año,2021,482,374
,,,
 Menores de 1 año,2022,513,426
,,,
 Menores de 1 año,2023,514,367
,,,
 1-4 años,2000,203,167
,,,
 1-4 años,2001,179,151
,,,
 1-4 años,2002,211,167
,,,
 1-4 años,2003,176,157
,,,
 1-4 años,2004,186,139
,,,
 1-4 años,2005,156,154
,,,
 1-4 años,2006,150,124
,,,
 1-4 años,2007,159,112
,,,
 1-4 años,2008,141,137
,,,
 1-4 años,2009,148,112
,,,
 1-4 años,2010,136,129
,,,
 1-4 años,2011,136,115
,,,
 1-4 años,2012,126,97
,,,
 1-4 años,2013,132,105
,,,
 1-4 años,2014,117,98
,,,
 1-4 años,2015,149,100
,,,
 1-4 años,2016,105,93
,,,
 1-4 años,2017,120,98
,,,
 1-4 años,2018,106,114
,,,
 1-4 años,2019,126,94
,,,
 1-4 años,2020,100,101
,,,
 1-4 años,2021,99,90
,,,
 1-4 años,2022,104,73
,,,
 1-4 años,2023,99,72
,,,
 5-9 años,2000,134,75
,,,
 5-9 años,2001,120,60
,,,
 5-9 años,2002,117,71
,,,
 5-9 años,2003,115,62
,,,
 5-9 años,2004,93,72
,,,
 5-9 años,2005,86,65
,,,
 5-9 años,2006,89,60
,,,
 5-9 años,2007,85,75
,,,
 5-9 años,2008,89,69
,,,
 5-9 años,2009,90,63
,,,
 5-9 años,2010,76,68
,,,
 5-9 años,2011,79,63
,,,
 5-9 años,2012,81,54
,,,
 5-9 años,2013,67,56
,,,
 5-9 años,2014,71,62
,,,
 5-9 años,2015,62,48
,,,
 5-9 años,2016,76,51
,,,
 5-9 años,2017,80,47
,,,
 5-9 años,2018,56,52
,,,
 5-9 años,2019,82,63
,,,
 5-9 años,2020,68,45
,,,
 5-9 años,2021,65,64
,,,
 5-9 años,2022,79,49
,,,
 5-9 años,2023,73,49
,,,
 10-14 años,2000,125,71
,,,
 10-14 años,2001,107,66
,,,
 10-14 años,2002,137,69
,,,
 10-14 años,2003,138,74
,,,
 10-14 años,2004,116,64
,,,
 10-14 años,2005,129,83
,,,
 10-14 años,2006,118,68
,,,
 10-14 años,2007,125,101
,,,
 10-14 años,2008,115,95
,,,
 10-14 años,2009,118,79
,,,
 10-14 años,2010,123,87
,,,
 10-14 años,2011,83,68
,,,
 10-14 años,2012,124,62
,,,
 10-14 años,2013,90,61
,,,
 10-14 años,2014,116,65
,,,
 10-14 años,2015,101,61
,,,
 10-14 años,2016,117,62
,,,
 10-14 años,2017,119,91
,,,
 10-14 años,2018,114,59
,,,
 10-14 años,2019,130,62
,,,
 10-14 años,2020,129,66
,,,
 10-14 años,2021,135,84
,,,
 10-14 años,2022,129,99
,,,
 10-14 años,2023,122,61
,,,
 15-19 años,2000,304,130
,,,
 15-19 años,2001,259,98
,,,
 15-19 años,2002,286,117
,,,
 15-19 años,2003,234,97
,,,
 15-19 años,2004,286,101
,,,
 15-19 años,2005,282,111
,,,
 15-19 años,2006,253,118
,,,
 15-19 años,2007,338,115
,,,
 15-19 años,2008,325,116
,,,
 15-19 años,2009,381,160
,,,
 15-19 años,2010,332,139
,,,
 15-19 años,2011,336,132
,,,
 15-19 años,2012,359,133
,,,
 15-19 años,2013,335,126
,,,
 15-19 años,2014,350,127
,,,
 15-19 años,2015,391,118
,,,
 15-19 años,2016,382,108
,,,
 15-19 años,2017,502,153
,,,
 15-19 años,2018,557,153
,,,
 15-19 años,2019,568,139
,,,
 15-19 años,2020,708,173
,,,
 15-19 años,2021,625,169
,,,
 15-19 años,2022,650,185
,,,
 15-19 años,2023,615,173
,,,
 20-24 años,2000,330,127
,,,
 20-24 años,2001,321,122
,,,
 20-24 años,2002,309,104
,,,
 20-24 años,2003,314,93
,,,
 20-24 años,2004,279,122
,,,
 20-24 años,2005,324,121
,,,
 20-24 años,2006,289,108
,,,
 20-24 años,2007,338,99
,,,
 20-24 años,2008,375,116
,,,
 20-24 años,2009,407,120
,,,
 20-24 años,2010,391,136
,,,
 20-24 años,2011,412,141
,,,
 20-24 años,2012,457,156
,,,
 20-24 años,2013,432,155
,,,
 20-24 años,2014,491,145
,,,
 20-24 años,2015,511,153
,,,
 20-24 años,2016,591,152
,,,
