Grupo_edad,Año, Hombre, Mujer
,,,
 Menores de 1 año,2000,372,269
,,,
 Menores de 1 año,2001,285,210
,,,
 Menores de 1 año,2002,354,245
,,,
 Menores de 1 año,2003,236,190
,,,
 Menores de 1 año,2004,380,291
,,,
 Menores de 1 año,2005,376,312
,,,
 Menores de 1 año,2006,433,334
,,,
 Menores de 1 año,2007,457,337
,,,
 Menores de 1 año,2008,381,331
,,,
 Menores de 1 año,2009,457,323
,,,
 Menores de 1 año,2010,390,301
,,,
 Menores de 1 año,2011,441,351
,,,
 Menores de 1 año,2012,457,363
,,,
 Menores de 1 año,2013,476,380
,,,
 Menores de 1 año,2014,478,304
,,,
 Menores de 1 año,2015,396,315
,,,
 Menores de 1 año,2016,390,308
,,,
 Menores de 1 año,2017,360,274
,,,
 Menores de 1 año,2018,347,280
,,,
 Menores de 1 año,2019,394,282
,,,
 Menores de 1 año,2020,220,195
,,,
 Menores de 1 año,2021,285,232
,,,
 Menores de 1 año,2022,325,230
,,,
 Menores de 1 año,2023,283,227
,,,
 1-4 años,2000,127,127
,,,
 1-4 años,2001,87,90
,,,
 1-4 años,2002,117,96
,,,
 1-4 años,2003,99,99
,,,
 1-4 años,2004,110,87
,,,
 1-4 años,2005,104,79
,,,
 1-4 años,2006,104,80
,,,
 1-4 años,2007,117,100
,,,
 1-4 años,2008,102,80
,,,
 1-4 años,2009,106,93
,,,
 1-4 años,2010,107,89
,,,
 1-4 años,2011,129,123
,,,
 1-4 años,2012,112,94
,,,
 1-4 años,2013,141,111
,,,
 1-4 años,2014,113,73
,,,
 1-4 años,2015,86,89
,,,
 1-4 años,2016,95,86
,,,
 1-4 años,2017,109,84
,,,
 1-4 años,2018,73,62
,,,
 1-4 años,2019,70,74
,,,
 1-4 años,2020,65,59
,,,
 1-4 años,2021,62,62
,,,
 1-4 años,2022,70,57
,,,
 1-4 años,2023,63,55
,,,
 5-9 años,2000,57,41
,,,
 5-9 años,2001,46,28
,,,
 5-9 años,2002,56,37
,,,
 5-9 años,2003,50,32
,,,
 5-9 años,2004,50,41
,,,
 5-9 años,2005,42,34
,,,
 5-9 años,2006,51,30
,,,
 5-9 años,2007,48,38
,,,
 5-9 años,2008,47,45
,,,
 5-9 años,2009,61,35
,,,
 5-9 años,2010,48,44
,,,
 5-9 años,2011,53,51
,,,
 5-9 años,2012,40,36
,,,
