Grupo_edad,Año, Hombre, Mujer
,,,
 Menores de 1 año,2000,433,357
,,,
 Menores de 1 año,2001,425,323
,,,
 Menores de 1 año,2002,495,337
,,,
 Menores de 1 año,2003,394,274
,,,
 Menores de 1 año,2004,343,306
,,,
 Menores de 1 año,2005,375,300
,,,
 Menores de 1 año,2006,357,291
,,,
 Menores de 1 año,2007,412,286
,,,
 Menores de 1 año,2008,375,272
,,,
 Menores de 1 año,2009,331,251
,,,
 Menores de 1 año,2010,351,251
,,,
 Menores de 1 año,2011,360,271
,,,
 Menores de 1 año,2012,361,287
,,,
 Menores de 1 año,2013,358,252
,,,
 Menores de 1 año,2014,332,255
,,,
 Menores de 1 año,2015,318,268
,,,
 Menores de 1 año,2016,277,245
,,,
 Menores de 1 año,2017,295,214
,,,
 Menores de 1 año,2018,263,215
,,,
 Menores de 1 año,2019,277,194
,,,
 Menores de 1 año,2020,189,152
,,,
 Menores de 1 año,2021,226,192
,,,
 Menores de 1 año,2022,248,196
,,,
 Menores de 1 año,2023,246,181
,,,
 1-4 años,2000,72,79
,,,
 1-4 años,2001,61,58
,,,
 1-4 años,2002,68,57
,,,
 1-4 años,2003,75,51
,,,
 1-4 años,2004,86,64
,,,
 1-4 años,2005,75,51
,,,
 1-4 años,2006,74,69
,,,
 1-4 años,2007,64,73
,,,
 1-4 años,2008,60,59
,,,
 1-4 años,2009,79,65
,,,
 1-4 años,2010,72,66
,,,
 1-4 años,2011,70,57
,,,
 1-4 años,2012,51,59
,,,
 1-4 años,2013,64,53
,,,
 1-4 años,2014,65,53
,,,
 1-4 años,2015,56,44
,,,
 1-4 años,2016,51,53
,,,
 1-4 años,2017,54,41
,,,
 1-4 años,2018,45,59
,,,
 1-4 años,2019,50,50
,,,
 1-4 años,2020,44,34
,,,
 1-4 años,2021,49,41
,,,
 1-4 años,2022,41,28
,,,
 1-4 años,2023,53,44
,,,
 5-9 años,2000,41,40
,,,
 5-9 años,2001,53,39
,,,
 5-9 años,2002,42,34
,,,
 5-9 años,2003,46,22
,,,
 5-9 años,2004,41,36
,,,
 5-9 años,2005,49,34
,,,
 5-9 años,2006,35,21
,,,
 5-9 años,2007,30,25
,,,
 5-9 años,2008,38,35
,,,
 5-9 años,2009,40,41
,,,
 5-9 años,2010,48,29
,,,
 5-9 años,2011,41,31
,,,
 5-9 años,2012,43,23
,,,
 5-9 años,2013,33,30
,,,
 5-9 años,2014,31,28
,,,
 5-9 años,2015,31,22
,,,
 5-9 años,2016,38,33
,,,
 5-9 años,2017,25,28
,,,
 5-9 años,2018,35,32
,,,
 5-9 años,2019,42,21
,,,
 5-9 años,2020,29,21
,,,
 5-9 años,2021,27,19
,,,
 5-9 años,2022,34,28
,,,
 5-9 años,2023,31,21
,,,
 10-14 años,2000,59,32
,,,
 10-14 años,2001,60,25
,,,
 10-14 años,2002,66,30
,,,
 10-14 años,2003,61,35
,,,
 10-14 años,2004,41,43
,,,
 10-14 años,2005,45,34
,,,
 10-14 años,2006,71,29
,,,
 10-14 años,2007,46,35
,,,
 10-14 años,2008,63,33
,,,
 10-14 años,2009,63,41
,,,
 10-14 años,2010,45,34
,,,
 10-14 años,2011,41,30
,,,
 10-14 años,2012,41,32
,,,
 10-14 años,2013,46,22
,,,
 10-14 años,2014,36,33
,,,
 10-14 años,2015,38,40
,,,
 10-14 años,2016,54,26
,,,
 10-14 años,2017,41,37
,,,
 10-14 años,2018,48,39
,,,
 10-14 años,2019,43,32
,,,
 10-14 años,2020,37,30
,,,
 10-14 años,2021,39,34
,,,
 10-14 años,2022,50,26
,,,
 10-14 años,2023,35,32
,,,
 15-19 años,2000,115,45
,,,
 15-19 años,2001,102,63
,,,
 15-19 años,2002,111,68
,,,
 15-19 años,2003,99,56
,,,
 15-19 años,2004,110,56
,,,
 15-19 años,2005,108,48
,,,
 15-19 años,2006,110,58
,,,
 15-19 años,2007,102,59
,,,
 15-19 años,2008,129,66
,,,
 15-19 años,2009,157,72
,,,
 15-19 años,2010,136,82
,,,
 15-19 años,2011,147,66
,,,
 15-19 años,2012,121,59
,,,
 15-19 años,2013,119,65
,,,
 15-19 años,2014,108,57
,,,
 15-19 años,2015,113,58
,,,
 15-19 años,2016,138,61
,,,
 15-19 años,2017,129,53
,,,
 15-19 años,2018,119,53
,,,
 15-19 años,2019,146,54
,,,
 15-19 años,2020,133,64
,,,
 15-19 años,2021,108,63
,,,
 15-19 años,2022,137,64
,,,
 15-19 años,2023,117,61
,,,
 20-24 años,2000,123,53
,,,
 20-24 años,2001,146,60
,,,
 20-24 años,2002,128,50
,,,
 20-24 años,2003,128,62
,,,
 20-24 años,2004,144,54
,,,
 20-24 años,2005,131,52
,,,
 20-24 años,2006,132,66
,,,
 20-24 años,2007,150,64
,,,
 20-24 años,2008,146,62
,,,
 20-24 años,2009,188,76
,,,
 20-24 años,2010,148,53
,,,
 20-24 años,2011,188,53
,,,
 20-24 años,2012,147,61
,,,
 20-24 años,2013,155,54
,,,
 20-24 años,2014,188,52
,,,
 20-24 años,2015,155,81
,,,
 20-24 años,2016,168,64
,,,
 20-24 años,2017,170,81
,,,
 20-24 años,2018,176,75
,,,
 20-24 años,2019,228,66
,,,
 20-24 años,2020,214,71
,,,
 20-24 años,2021,205,84
,,,
 20-24 años,2022,191,73
,,,
 20-24 años,2023,202,59
,,,
 25-29 años,2000,149,65
,,,
 25-29 años,2001,139,68
,,,
 25-29 años,2002,150,55
,,,
 25-29 años,2003,155,64
,,,
 25-29 años,2004,143,55
,,,
 25-29 años,2005,148,69
,,,
 25-29 años,2006,141,61
,,,
 25-29 años,2007,131,59
,,,
 25-29 años,2008,159,70
,,,
 25-29 años,2009,213,86
,,,
 25-29 años,2010,181,63
,,,
 25-29 años,2011,181,67
,,,
 25-29 años,2012,145,69
,,,
 25-29 años,2013,178,76
,,,
 25-29 años,2014,183,60
,,,
 25-29 años,2015,152,92
,,,
 25-29 años,2016,174,72
,,,
 25-29 años,2017,213,101
,,,
 25-29 años,2018,220,84
,,,
 25-29 años,2019,283,72
,,,
 25-29 años,2020,277,101
,,,
 25-29 años,2021,315,136
,,,
 25-29 años,2022,244,70
,,,
 25-29 años,2023,221,81
,,,
 30-34 años,2000,153,82
,,,
 30-34 años,2001,175,74
,,,
 30-34 años,2002,172,79
,,,
 30-34 años,2003,162,58
,,,
 30-34 años,2004,153,72
,,,
 30-34 años,2005,139,73
,,,
 30-34 años,2006,137,88
,,,
 30-34 años,2007,173,80
,,,
 30-34 años,2008,185,80
,,,
 30-34 años,2009,236,101
,,,
 30-34 años,2010,187,95
,,,
 30-34 años,2011,191,77
,,,
 30-34 años,2012,170,62
,,,
 30-34 años,2013,202,84
,,,
 30-34 años,2014,182,90
,,,
 30-34 años,2015,178,78
,,,
 30-34 años,2016,196,92
,,,
 30-34 años,2017,239,80
,,,
 30-34 años,2018,221,72
,,,
 30-34 años,2019,258,106
,,,
 30-34 años,2020,291,123
,,,
 30-34 años,2021,398,141
,,,
 30-34 años,2022,286,105
,,,
 30-34 años,2023,295,108
,,,
 35-39 años,2000,192,99
,,,
 35-39 años,2001,200,102
,,,
 35-39 años,2002,162,95
,,,
 35-39 años,2003,179,99
,,,
 35-39 años,2004,173,103
,,,
 35-39 años,2005,180,98
,,,
 35-39 años,2006,205,83
,,,
 35-39 años,2007,200,90
,,,
 35-39 años,2008,221,89
,,,
 35-39 años,2009,252,111
,,,
 35-39 años,2010,213,91
,,,
 35-39 años,2011,234,106
,,,
 35-39 años,2012,187,116
,,,
 35-39 años,2013,231,114
,,,
 35-39 años,2014,218,114
,,,
 35-39 años,2015,210,104
,,,
 35-39 años,2016,233,121
,,,
 35-39 años,2017,233,109
,,,
 35-39 años,2018,234,121
,,,
 35-39 años,2019,318,135
,,,
 35-39 años,2020,357,167
,,,
 35-39 años,2021,478,227
,,,
 35-39 años,2022,288,147
,,,
 35-39 años,2023,278,125
,,,
 40-44 años,2000,227,113
,,,
 40-44 años,2001,243,131
,,,
 40-44 años,2002,244,124
,,,
 40-44 años,2003,229,126
,,,
 40-44 años,2004,232,112
,,,
 40-44 años,2005,221,134
,,,
