Grupo_edad,Año, Hombre, Mujer
,,,
 Menores de 1 año,2000,"1,310","1,016"
,,,
 Menores de 1 año,2001,"1,294",926
,,,
 Menores de 1 año,2002,"1,191",957
,,,
 Menores de 1 año,2003,"1,092",792
,,,
 Menores de 1 año,2004,"1,075",858
,,,
 Menores de 1 año,2005,"1,013",814
,,,
 Menores de 1 año,2006,987,740
,,,
 Menores de 1 año,2007,"1,072",812
,,,
 Menores de 1 año,2008,955,824
,,,
 Menores de 1 año,2009,"1,007",802
,,,
 Menores de 1 año,2010,"1,022",768
,,,
 Menores de 1 año,2011,"1,055",863
,,,
 Menores de 1 año,2012,"1,003",742
,,,
 Menores de 1 año,2013,878,754
,,,
 Menores de 1 año,2014,929,729
,,,
 Menores de 1 año,2015,929,616
,,,
 Menores de 1 año,2016,872,652
,,,
 Menores de 1 año,2017,944,698
,,,
 Menores de 1 año,2018,860,591
,,,
 Menores de 1 año,2019,803,600
,,,
 Menores de 1 año,2020,734,579
,,,
 Menores de 1 año,2021,686,575
,,,
 Menores de 1 año,2022,667,545
,,,
 Menores de 1 año,2023,705,531
,,,
 1-4 años,2000,235,195
,,,
 1-4 años,2001,221,219
,,,
 1-4 años,2002,208,171
,,,
 1-4 años,2003,239,190
,,,
 1-4 años,2004,231,175
,,,
 1-4 años,2005,229,163
,,,
 1-4 años,2006,203,147
,,,
 1-4 años,2007,212,164
,,,
 1-4 años,2008,166,149
,,,
 1-4 años,2009,191,160
,,,
 1-4 años,2010,191,161
,,,
 1-4 años,2011,179,145
,,,
 1-4 años,2012,181,153
,,,
 1-4 años,2013,193,138
,,,
 1-4 años,2014,163,141
,,,
 1-4 años,2015,171,156
,,,
 1-4 años,2016,175,108
,,,
 1-4 años,2017,184,133
,,,
 1-4 años,2018,141,122
,,,
 1-4 años,2019,153,105
,,,
 1-4 años,2020,136,101
,,,
 1-4 años,2021,137,99
,,,
 1-4 años,2022,117,122
,,,
 1-4 años,2023,125,125
,,,
 5-9 años,2000,139,85
,,,
 5-9 años,2001,164,97
,,,
 5-9 años,2002,129,95
,,,
 5-9 años,2003,121,74
,,,
 5-9 años,2004,123,90
,,,
 5-9 años,2005,104,68
,,,
 5-9 años,2006,111,74
,,,
 5-9 años,2007,119,88
,,,
 5-9 años,2008,103,88
,,,
 5-9 años,2009,116,94
,,,
 5-9 años,2010,95,66
,,,
 5-9 años,2011,111,100
,,,
 5-9 años,2012,99,76
,,,
 5-9 años,2013,110,76
,,,
 5-9 años,2014,88,61
,,,
 5-9 años,2015,95,79
,,,
 5-9 años,2016,91,84
,,,
 5-9 años,2017,99,88
,,,
 5-9 años,2018,85,80
,,,
 5-9 años,2019,82,63
,,,
 5-9 años,2020,78,55
,,,
 5-9 años,2021,86,60
,,,
 5-9 años,2022,91,61
,,,
 5-9 años,2023,81,72
,,,
 10-14 años,2000,165,102
,,,
 10-14 años,2001,159,99
,,,
 10-14 años,2002,175,104
,,,
 10-14 años,2003,183,92
,,,
 10-14 años,2004,140,103
,,,
 10-14 años,2005,141,100
,,,
 10-14 años,2006,127,94
,,,
 10-14 años,2007,143,111
,,,
 10-14 años,2008,136,104
,,,
 10-14 años,2009,137,92
,,,
 10-14 años,2010,119,91
,,,
 10-14 años,2011,123,114
,,,
 10-14 años,2012,140,108
,,,
 10-14 años,2013,130,84
,,,
 10-14 años,2014,124,84
,,,
 10-14 años,2015,107,71
,,,
 10-14 años,2016,131,88
,,,
 10-14 años,2017,121,92
,,,
 10-14 años,2018,137,84
,,,
 10-14 años,2019,109,75
,,,
 10-14 años,2020,111,81
,,,
 10-14 años,2021,122,95
,,,
 10-14 años,2022,103,72
,,,
 10-14 años,2023,140,87
,,,
 15-19 años,2000,315,152
,,,
 15-19 años,2001,328,132
,,,
 15-19 años,2002,418,174
,,,
 15-19 años,2003,368,142
,,,
 15-19 años,2004,373,166
,,,
