Grupo_edad,Año, Hombre, Mujer
,,,
 Menores de 1 año,2000,683,472
,,,
 Menores de 1 año,2001,650,473
,,,
 Menores de 1 año,2002,676,489
,,,
 Menores de 1 año,2003,535,380
,,,
 Menores de 1 año,2004,575,386
,,,
 Menores de 1 año,2005,598,460
,,,
 Menores de 1 año,2006,580,423
,,,
 Menores de 1 año,2007,573,418
,,,
 Menores de 1 año,2008,564,434
,,,
 Menores de 1 año,2009,571,436
,,,
 Menores de 1 año,2010,550,444
,,,
 Menores de 1 año,2011,599,477
,,,
 Menores de 1 año,2012,593,478
,,,
 Menores de 1 año,2013,508,402
,,,
 Menores de 1 año,2014,399,285
,,,
 Menores de 1 año,2015,382,314
,,,
 Menores de 1 año,2016,359,298
,,,
 Menores de 1 año,2017,441,357
,,,
 Menores de 1 año,2018,451,331
,,,
 Menores de 1 año,2019,449,400
,,,
 Menores de 1 año,2020,312,267
,,,
 Menores de 1 año,2021,456,315
,,,
 Menores de 1 año,2022,429,353
,,,
 Menores de 1 año,2023,390,298
,,,
 1-4 años,2000,156,123
,,,
 1-4 años,2001,160,123
,,,
 1-4 años,2002,138,106
,,,
 1-4 años,2003,119,96
,,,
 1-4 años,2004,153,112
,,,
 1-4 años,2005,136,121
,,,
 1-4 años,2006,168,102
,,,
 1-4 años,2007,135,99
,,,
 1-4 años,2008,120,100
,,,
 1-4 años,2009,125,116
,,,
 1-4 años,2010,119,96
,,,
 1-4 años,2011,122,96
,,,
 1-4 años,2012,121,90
,,,
 1-4 años,2013,123,97
,,,
 1-4 años,2014,98,84
,,,
 1-4 años,2015,119,85
,,,
 1-4 años,2016,107,92
,,,
 1-4 años,2017,77,84
,,,
 1-4 años,2018,106,76
,,,
 1-4 años,2019,101,79
,,,
 1-4 años,2020,104,73
,,,
 1-4 años,2021,89,77
,,,
 1-4 años,2022,103,84
,,,
 1-4 años,2023,90,71
,,,
 5-9 años,2000,138,62
,,,
 5-9 años,2001,93,63
,,,
 5-9 años,2002,82,65
,,,
 5-9 años,2003,68,57
,,,
 5-9 años,2004,100,59
,,,
 5-9 años,2005,94,56
,,,
 5-9 años,2006,67,51
,,,
 5-9 años,2007,89,62
,,,
 5-9 años,2008,81,51
,,,
 5-9 años,2009,71,61
,,,
 5-9 años,2010,69,47
,,,
 5-9 años,2011,69,51
,,,
 5-9 años,2012,63,51
,,,
 5-9 años,2013,71,31
,,,
 5-9 años,2014,71,45
,,,
 5-9 años,2015,70,41
,,,
 5-9 años,2016,53,35
,,,
 5-9 años,2017,65,50
,,,
 5-9 años,2018,54,48
,,,
 5-9 años,2019,48,45
,,,
 5-9 años,2020,54,43
,,,
 5-9 años,2021,58,46
,,,
 5-9 años,2022,49,49
,,,
 5-9 años,2023,44,38
,,,
 10-14 años,2000,107,78
,,,
 10-14 años,2001,144,77
,,,
 10-14 años,2002,115,61
,,,
 10-14 años,2003,133,74
,,,
 10-14 años,2004,98,52
,,,
 10-14 años,2005,107,65
,,,
 10-14 años,2006,121,62
,,,
 10-14 años,2007,126,61
,,,
 10-14 años,2008,92,65
,,,
 10-14 años,2009,93,62
,,,
 10-14 años,2010,92,67
,,,
 10-14 años,2011,84,60
,,,
 10-14 años,2012,91,67
,,,
 10-14 años,2013,90,53
,,,
 10-14 años,2014,77,68
,,,
 10-14 años,2015,64,45
,,,
 10-14 años,2016,73,68
,,,
 10-14 años,2017,91,57
,,,
 10-14 años,2018,69,54
,,,
 10-14 años,2019,65,41
,,,
 10-14 años,2020,81,55
,,,
 10-14 años,2021,78,49
,,,
 10-14 años,2022,112,61
,,,
 10-14 años,2023,82,41
,,,
 15-19 años,2000,261,107
,,,
 15-19 años,2001,262,100
,,,
 15-19 años,2002,269,106
,,,
 15-19 años,2003,254,87
,,,
 15-19 años,2004,228,107
,,,
 15-19 años,2005,257,109
,,,
 15-19 años,2006,294,124
,,,
 15-19 años,2007,344,114
,,,
 15-19 años,2008,291,124
,,,
 15-19 años,2009,338,120
,,,
 15-19 años,2010,311,116
,,,
 15-19 años,2011,330,122
,,,
 15-19 años,2012,287,94
,,,
 15-19 años,2013,266,105
,,,
 15-19 años,2014,259,100
,,,
 15-19 años,2015,248,92
,,,
 15-19 años,2016,303,108
,,,
 15-19 años,2017,301,96
,,,
 15-19 años,2018,351,105
,,,
 15-19 años,2019,345,110
,,,
 15-19 años,2020,345,99
,,,
 15-19 años,2021,431,125
,,,
 15-19 años,2022,393,119
,,,
 15-19 años,2023,310,114
,,,
 20-24 años,2000,320,116
,,,
 20-24 años,2001,296,96
,,,
 20-24 años,2002,324,94
,,,
 20-24 años,2003,274,93
,,,
 20-24 años,2004,315,109
,,,
 20-24 años,2005,364,116
,,,
 20-24 años,2006,354,116
,,,
 20-24 años,2007,398,106
,,,
 20-24 años,2008,358,108
,,,
 20-24 años,2009,449,138
,,,
 20-24 años,2010,375,114
,,,
 20-24 años,2011,475,127
,,,
 20-24 años,2012,442,118
,,,
 20-24 años,2013,422,120
,,,
 20-24 años,2014,403,117
,,,
 20-24 años,2015,356,115
,,,
 20-24 años,2016,514,113
,,,
 20-24 años,2017,585,123
,,,
 20-24 años,2018,550,123
,,,
 20-24 años,2019,613,117
,,,
 20-24 años,2020,574,151
,,,
 20-24 años,2021,678,156
,,,
 20-24 años,2022,555,134
,,,
 20-24 años,2023,489,115
,,,
 25-29 años,2000,358,104
,,,
 25-29 años,2001,334,106
,,,
 25-29 años,2002,296,93
,,,
 25-29 años,2003,364,112
,,,
 25-29 años,2004,338,119
,,,
 25-29 años,2005,350,105
,,,
 25-29 años,2006,503,132
,,,
 25-29 años,2007,353,117
,,,
 25-29 años,2008,386,126
,,,
 25-29 años,2009,499,130
,,,
 25-29 años,2010,396,114
,,,
 25-29 años,2011,419,108
,,,
 25-29 años,2012,382,96
,,,
 25-29 años,2013,499,120
,,,
 25-29 años,2014,391,107
,,,
 25-29 años,2015,391,135
,,,
 25-29 años,2016,560,128
,,,
 25-29 años,2017,565,143
,,,
 25-29 años,2018,598,127
,,,
 25-29 años,2019,714,143
,,,
 25-29 años,2020,674,174
,,,
 25-29 años,2021,750,191
,,,
 25-29 años,2022,690,175
,,,
 25-29 años,2023,585,146
,,,
 30-34 años,2000,368,109
,,,
 30-34 años,2001,331,126
,,,
 30-34 años,2002,342,120
,,,
 30-34 años,2003,358,102
,,,
 30-34 años,2004,335,106
,,,
 30-34 años,2005,409,124
,,,
 30-34 años,2006,452,120
,,,
 30-34 años,2007,488,144
,,,
 30-34 años,2008,464,148
,,,
 30-34 años,2009,493,151
,,,
 30-34 años,2010,495,123
,,,
 30-34 años,2011,474,132
,,,
 30-34 años,2012,460,136
,,,
 30-34 años,2013,448,132
,,,
 30-34 años,2014,453,143
,,,
 30-34 años,2015,435,116
,,,
 30-34 años,2016,514,150
,,,
 30-34 años,2017,566,128
,,,
 30-34 años,2018,578,128
,,,
 30-34 años,2019,734,155
,,,
 30-34 años,2020,731,224
,,,
 30-34 años,2021,829,256
,,,
 30-34 años,2022,686,186
,,,
 30-34 años,2023,629,184
,,,
 35-39 años,2000,423,157
,,,
 35-39 años,2001,368,175
,,,
 35-39 años,2002,362,135
,,,
 35-39 años,2003,396,137
,,,
 35-39 años,2004,379,127
,,,
 35-39 años,2005,408,169
,,,
