Grupo_edad,Año, Hombre, Mujer
,,,
 Menores de 1 año,2000,270,200
,,,
 Menores de 1 año,2001,224,180
,,,
 Menores de 1 año,2002,285,215
,,,
 Menores de 1 año,2003,195,164
,,,
 Menores de 1 año,2004,211,183
,,,
 Menores de 1 año,2005,247,177
,,,
 Menores de 1 año,2006,210,188
,,,
 Menores de 1 año,2007,225,162
,,,
 Menores de 1 año,2008,223,186
,,,
 Menores de 1 año,2009,183,161
,,,
 Menores de 1 año,2010,209,177
,,,
 Menores de 1 año,2011,227,190
,,,
 Menores de 1 año,2012,211,159
,,,
 Menores de 1 año,2013,189,159
,,,
 Menores de 1 año,2014,208,142
,,,
 Menores de 1 año,2015,180,134
,,,
 Menores de 1 año,2016,174,168
,,,
 Menores de 1 año,2017,202,149
,,,
 Menores de 1 año,2018,175,118
,,,
 Menores de 1 año,2019,146,123
,,,
 Menores de 1 año,2020,140,93
,,,
 Menores de 1 año,2021,146,99
,,,
 Menores de 1 año,2022,149,106
,,,
 Menores de 1 año,2023,124,114
,,,
 1-4 años,2000,57,59
,,,
 1-4 años,2001,46,37
,,,
 1-4 años,2002,57,38
,,,
 1-4 años,2003,59,39
,,,
 1-4 años,2004,45,44
,,,
 1-4 años,2005,74,33
,,,
 1-4 años,2006,52,39
,,,
 1-4 años,2007,50,39
,,,
 1-4 años,2008,42,36
,,,
 1-4 años,2009,52,37
,,,
 1-4 años,2010,41,38
,,,
 1-4 años,2011,57,35
,,,
 1-4 años,2012,49,35
,,,
 1-4 años,2013,36,36
,,,
 1-4 años,2014,30,30
,,,
 1-4 años,2015,40,30
,,,
 1-4 años,2016,46,33
,,,
 1-4 años,2017,28,33
,,,
 1-4 años,2018,37,39
,,,
 1-4 años,2019,38,38
,,,
 1-4 años,2020,35,22
,,,
 1-4 años,2021,25,29
,,,
 1-4 años,2022,31,31
,,,
 1-4 años,2023,42,36
,,,
 5-9 años,2000,30,16
,,,
 5-9 años,2001,29,21
,,,
 5-9 años,2002,22,14
,,,
 5-9 años,2003,24,22
,,,
 5-9 años,2004,25,18
,,,
 5-9 años,2005,27,24
,,,
 5-9 años,2006,24,11
,,,
 5-9 años,2007,16,13
,,,
 5-9 años,2008,22,17
,,,
 5-9 años,2009,29,22
,,,
 5-9 años,2010,17,14
,,,
 5-9 años,2011,22,19
,,,
 5-9 años,2012,25,18
,,,
 5-9 años,2013,27,16
,,,
 5-9 años,2014,25,17
,,,
 5-9 años,2015,28,19
,,,
 5-9 años,2016,22,17
,,,
 5-9 años,2017,14,18
,,,
 5-9 años,2018,20,12
,,,
 5-9 años,2019,16,18
,,,
 5-9 años,2020,24,14
,,,
 5-9 años,2021,19,14
,,,
 5-9 años,2022,22,10
,,,
 5-9 años,2023,16,13
,,,
 10-14 años,2000,23,18
,,,
 10-14 años,2001,30,23
,,,
 10-14 años,2002,29,21
,,,
 10-14 años,2003,33,15
,,,
 10-14 años,2004,21,22
,,,
 10-14 años,2005,33,18
,,,
 10-14 años,2006,25,10
,,,
 10-14 años,2007,28,24
,,,
 10-14 años,2008,44,26
,,,
 10-14 años,2009,30,27
,,,
 10-14 años,2010,35,16
,,,
 10-14 años,2011,26,23
,,,
 10-14 años,2012,39,22
,,,
 10-14 años,2013,34,16
,,,
 10-14 años,2014,28,17
,,,
 10-14 años,2015,23,20
,,,
 10-14 años,2016,25,22
,,,
 10-14 años,2017,42,22
,,,
 10-14 años,2018,26,25
,,,
 10-14 años,2019,30,15
,,,
 10-14 años,2020,26,20
,,,
 10-14 años,2021,31,17
,,,
 10-14 años,2022,28,24
,,,
 10-14 años,2023,23,28
,,,
 15-19 años,2000,90,31
,,,
 15-19 años,2001,76,42
