,2010,2010,2010,2010,2011,2011,2011,2011,2012,2012,2012,2012,2013,2013,2013,2013,2014,2014,2014,2014,2015,2015,2015,2015,2016,2016,2016,2016,2017,2017,2017,2017,2018,2018,2018,2018,2019,2019,2019,2019,2020,2020,2020,2020,2021,2021,2021,2021,2022,2022,2022,2022,2023,2023,2023,2023
Entidad federativa,Total,Hombres,Mujeres,No especificado,Total,Hombres,Mujeres,No especificado,Total,Hombres,Mujeres,No especificado,Total,Hombres,Mujeres,No especificado,Total,Hombres,Mujeres,No especificado,Total,Hombres,Mujeres,No especificado,Total,Hombres,Mujeres,No especificado,Total,Hombres,Mujeres,No especificado,Total,Hombres,Mujeres,No especificado,Total,Hombres,Mujeres,No especificado,Total,Hombres,Mujeres,No especificado,Total,Hombres,Mujeres,No especificado,Total,Hombres,Mujeres,No especificado,Total,Hombres,Mujeres,No especificado
Total,592018.00,332027.00,259669.00,322.00,590693.00,332646.00,257468.00,579.00,602354.00,338377.00,263440.00,537.00,623599.00,347981.00,275231.00,387.00,633641.00,352037.00,281279.00,325.00,655688.00,363732.00,291637.00,319.00,685766.00,382745.00,302599.00,422.00,703047.00,394322.00,308281.00,444.00,722611.00,407736.00,314499.00,376.00,747784.00,422185.00,325126.00,473.00,1086743.00,639277.00,446709.00,757.00,1122249.00,646825.00,474689.00,735.00,847716.00,476185.00,370531.00,1000.00,799869.00,446734.00,352629.00,506.00
Aguascalientes,5177.00,2721.00,2449.00,7.00,4934.00,2679.00,2253.00,2.00,5267.00,2834.00,2430.00,3.00,5522.00,2971.00,2547.00,4.00,5567.00,3100.00,2464.00,3.00,5636.00,3067.00,2568.00,1.00,5910.00,3198.00,2711.00,1.00,6158.00,3374.00,2783.00,1.00,6226.00,3433.00,2792.00,1.00,6768.00,3732.00,3033.00,3.00,9548.00,5578.00,3968.00,2.00,9712.00,5457.00,4255.00,0.00,8081.00,4469.00,3612.00,0.00,7343.00,4095.00,3247.00,1.00
Baja California,15400.00,9561.00,5822.00,17.00,14922.00,9176.00,5736.00,10.00,14756.00,9035.00,5708.00,13.00,15947.00,9678.00,6248.00,21.00,16198.00,9814.00,6354.00,30.00,17152.00,10456.00,6677.00,19.00,18253.00,11400.00,6841.00,12.00,19073.00,11873.00,7198.00,2.00,20501.00,12888.00,7604.00,9.00,20924.00,13086.00,7837.00,1.00,32662.00,20190.00,12458.00,14.00,28596.00,17937.00,10655.00,4.00,24693.00,15286.00,9338.00,69.00,22497.00,14051.00,8436.00,10.00
Baja California Sur,2434.00,1478.00,954.00,2.00,2602.00,1523.00,1079.00,0.00,2739.00,1643.00,1096.00,0.00,2757.00,1638.00,1119.00,0.00,2826.00,1707.00,1119.00,0.00,3175.00,1926.00,1249.00,0.00,3183.00,1985.00,1197.00,1.00,3826.00,2491.00,1333.00,2.00,3447.00,2039.00,1407.00,1.00,3556.00,2120.00,1435.00,1.00,4867.00,2924.00,1943.00,0.00,5925.00,3605.00,2320.00,0.00,4302.00,2584.00,1718.00,0.00,4020.00,2380.00,1640.00,0.00
Campeche,3820.00,2231.00,1587.00,2.00,3736.00,2147.00,1587.00,2.00,3964.00,2329.00,1629.00,6.00,4139.00,2369.00,1762.00,8.00,4249.00,2401.00,1848.00,0.00,4714.00,2650.00,2060.00,4.00,4932.00,2865.00,2052.00,15.00,4631.00,2599.00,2029.00,3.00,4835.00,2776.00,2058.00,1.00,5121.00,2925.00,2195.00,1.00,7549.00,4430.00,3118.00,1.00,7509.00,4280.00,3225.00,4.00,5687.00,3183.00,2503.00,1.00,5589.00,3191.00,2397.00,1.00
Coahuila de Zaragoza,14593.00,8159.00,6432.00,2.00,14640.00,8345.00,6290.00,5.00,15200.00,8707.00,6476.00,17.00,15716.00,8839.00,6869.00,8.00,16466.00,9206.00,7240.00,20.00,16167.00,8845.00,7300.00,22.00,16605.00,9059.00,7527.00,19.00,16660.00,9119.00,7538.00,3.00,17013.00,9224.00,7784.00,5.00,17794.00,9730.00,8059.00,5.00,28190.00,16034.00,12149.00,7.00,23814.00,13362.00,10447.00,5.00,21209.00,11650.00,9553.00,6.00,19540.00,10815.00,8724.00,1.00
Colima,3223.00,1888.00,1334.00,1.00,3514.00,2051.00,1461.00,2.00,3717.00,2190.00,1525.00,2.00,3790.00,2248.00,1541.00,1.00,3790.00,2230.00,1558.00,2.00,4408.00,2599.00,1805.00,4.00,4486.00,2785.00,1694.00,7.00,4593.00,2865.00,1728.00,0.00,4533.00,2793.00,1740.00,0.00,4566.00,2774.00,1792.00,0.00,6057.00,3694.00,2363.00,0.00,7121.00,4271.00,2849.00,1.00,5683.00,3475.00,2206.00,2.00,5594.00,3355.00,2239.00,0.00
Chiapas,21721.00,12088.00,9631.00,2.00,21199.00,11702.00,9483.00,14.00,22411.00,12340.00,10048.00,23.00,23121.00,12723.00,10394.00,4.00,24568.00,13357.00,11207.00,4.00,26519.00,14571.00,11943.00,5.00,26691.00,14652.00,12037.00,2.00,26986.00,14685.00,12298.00,3.00,27263.00,14761.00,12499.00,3.00,28317.00,15374.00,12935.00,8.00,38908.00,22400.00,16503.00,5.00,39865.00,22329.00,17532.00,4.00,31706.00,17389.00,14314.00,3.00,30742.00,16723.00,14013.00,6.00
Chihuahua,25809.00,16861.00,8898.00,50.00,24121.00,15168.00,8939.00,14.00,22187.00,13401.00,8763.00,23.00,22314.00,13219.00,9064.00,31.00,22163.00,12948.00,9186.00,29.00,22416.00,13030.00,9367.00,19.00,23400.00,13705.00,9657.00,38.00,23802.00,14013.00,9781.00,8.00,23836.00,14048.00,9781.00,7.00,24964.00,14842.00,10118.00,4.00,39246.00,23657.00,15579.00,10.00,31716.00,18592.00,13110.00,14.00,28824.00,16990.00,11806.00,28.00,27341.00,15990.00,11337.00,14.00
