Grupo_edad,Año, Hombre, Mujer
,,,
 Menores de 1 año,2000,"4,072","3,174"
,,,
 Menores de 1 año,2001,"3,881","2,923"
,,,
 Menores de 1 año,2002,"3,747","2,918"
,,,
 Menores de 1 año,2003,"3,568","2,666"
,,,
 Menores de 1 año,2004,"3,554","2,720"
,,,
 Menores de 1 año,2005,"3,383","2,601"
,,,
 Menores de 1 año,2006,"3,221","2,404"
,,,
 Menores de 1 año,2007,"3,110","2,380"
,,,
 Menores de 1 año,2008,"3,004","2,199"
,,,
 Menores de 1 año,2009,"2,812","2,135"
,,,
 Menores de 1 año,2010,"2,726","2,130"
,,,
 Menores de 1 año,2011,"2,716","2,079"
,,,
 Menores de 1 año,2012,"2,624","1,976"
,,,
 Menores de 1 año,2013,"2,488","1,978"
,,,
 Menores de 1 año,2014,"2,281","1,801"
,,,
 Menores de 1 año,2015,"2,178","1,668"
,,,
 Menores de 1 año,2016,"2,074","1,577"
,,,
 Menores de 1 año,2017,"2,105","1,655"
,,,
 Menores de 1 año,2018,"1,888","1,502"
,,,
 Menores de 1 año,2019,"1,764","1,395"
,,,
 Menores de 1 año,2020,"1,571","1,202"
,,,
 Menores de 1 año,2021,"1,377","1,107"
,,,
 Menores de 1 año,2022,"1,397","1,100"
,,,
 Menores de 1 año,2023,"1,432","1,081"
,,,
 1-4 años,2000,531,398
,,,
 1-4 años,2001,502,375
,,,
 1-4 años,2002,513,424
,,,
 1-4 años,2003,512,394
,,,
 1-4 años,2004,519,407
,,,
 1-4 años,2005,485,371
,,,
 1-4 años,2006,417,349
,,,
 1-4 años,2007,490,397
,,,
 1-4 años,2008,444,350
,,,
 1-4 años,2009,438,369
,,,
 1-4 años,2010,392,299
,,,
 1-4 años,2011,401,347
,,,
 1-4 años,2012,359,265
,,,
 1-4 años,2013,345,277
,,,
 1-4 años,2014,356,304
,,,
 1-4 años,2015,339,257
,,,
 1-4 años,2016,331,253
,,,
 1-4 años,2017,316,257
,,,
 1-4 años,2018,307,282
,,,
 1-4 años,2019,335,245
,,,
 1-4 años,2020,270,204
,,,
 1-4 años,2021,234,194
,,,
 1-4 años,2022,264,232
,,,
 1-4 años,2023,266,193
,,,
 5-9 años,2000,233,156
,,,
 5-9 años,2001,212,175
,,,
 5-9 años,2002,211,163
,,,
 5-9 años,2003,214,151
,,,
 5-9 años,2004,225,155
,,,
 5-9 años,2005,214,156
,,,
 5-9 años,2006,205,163
,,,
 5-9 años,2007,206,172
,,,
 5-9 años,2008,212,146
,,,
 5-9 años,2009,228,166
,,,
 5-9 años,2010,193,176
,,,
 5-9 años,2011,198,128
,,,
 5-9 años,2012,165,157
,,,
 5-9 años,2013,178,124
,,,
 5-9 años,2014,183,146
,,,
 5-9 años,2015,165,150
,,,
 5-9 años,2016,166,136
,,,
 5-9 años,2017,164,118
,,,
 5-9 años,2018,157,140
,,,
 5-9 años,2019,164,136
,,,
 5-9 años,2020,153,94
,,,
 5-9 años,2021,156,104
,,,
 5-9 años,2022,172,132
,,,
 5-9 años,2023,178,126
,,,
 10-14 años,2000,263,183
,,,
 10-14 años,2001,274,203
,,,
 10-14 años,2002,281,193
,,,
 10-14 años,2003,291,203
,,,
 10-14 años,2004,303,201
,,,
 10-14 años,2005,266,176
,,,
 10-14 años,2006,280,211
,,,
 10-14 años,2007,238,186
,,,
 10-14 años,2008,235,185
,,,
 10-14 años,2009,256,193
,,,
 10-14 años,2010,234,201
,,,
 10-14 años,2011,247,192
,,,
 10-14 años,2012,248,192
,,,
 10-14 años,2013,255,172
,,,
 10-14 años,2014,256,182
,,,
 10-14 años,2015,228,188
,,,
 10-14 años,2016,234,189
,,,
 10-14 años,2017,277,218
,,,
 10-14 años,2018,250,184
,,,
 10-14 años,2019,242,169
,,,
 10-14 años,2020,209,186
,,,
 10-14 años,2021,228,199
,,,
 10-14 años,2022,221,176
,,,
 10-14 años,2023,223,157
,,,
 15-19 años,2000,650,273
,,,
 15-19 años,2001,698,361
,,,
 15-19 años,2002,691,313
,,,
 15-19 años,2003,659,332
,,,
 15-19 años,2004,721,339
,,,
 15-19 años,2005,677,331
,,,
 15-19 años,2006,721,317
,,,
 15-19 años,2007,727,324
,,,
 15-19 años,2008,713,355
,,,
 15-19 años,2009,736,399
,,,
 15-19 años,2010,787,362
,,,
 15-19 años,2011,857,403
,,,
 15-19 años,2012,857,355
,,,
 15-19 años,2013,795,335
,,,
 15-19 años,2014,726,335
,,,
 15-19 años,2015,701,341
,,,
 15-19 años,2016,667,307
,,,
 15-19 años,2017,717,326
,,,
 15-19 años,2018,757,301
,,,
 15-19 años,2019,731,342
,,,
 15-19 años,2020,762,354
,,,
 15-19 años,2021,801,358
,,,
 15-19 años,2022,803,366
,,,
 15-19 años,2023,774,337
,,,
 20-24 años,2000,960,361
,,,
 20-24 años,2001,937,335
,,,
 20-24 años,2002,931,369
,,,
 20-24 años,2003,887,364
,,,
 20-24 años,2004,915,388
,,,
 20-24 años,2005,916,390
,,,
 20-24 años,2006,951,367
,,,
 20-24 años,2007,897,356
,,,
 20-24 años,2008,956,340
,,,
 20-24 años,2009,"1,096",453
,,,
 20-24 años,2010,"1,116",403
,,,
 20-24 años,2011,"1,190",369
,,,
 20-24 años,2012,"1,266",402
,,,
 20-24 años,2013,"1,298",407
,,,
 20-24 años,2014,"1,234",409
,,,
 20-24 años,2015,"1,230",410
,,,
 20-24 años,2016,"1,316",438
,,,
 20-24 años,2017,"1,271",417
,,,
 20-24 años,2018,"1,328",385
,,,
 20-24 años,2019,"1,264",431
,,,
 20-24 años,2020,"1,328",485
,,,
 20-24 años,2021,"1,426",506
,,,
 20-24 años,2022,"1,350",423
,,,
 20-24 años,2023,"1,296",430
,,,
 25-29 años,2000,"1,081",405
,,,
 25-29 años,2001,"1,021",451
,,,
 25-29 años,2002,"1,040",382
,,,
 25-29 años,2003,"1,116",409
,,,
 25-29 años,2004,988,404
,,,
 25-29 años,2005,"1,026",410
,,,
 25-29 años,2006,986,377
,,,
 25-29 años,2007,"1,027",376
,,,
 25-29 años,2008,"1,081",404
,,,
 25-29 años,2009,"1,255",458
,,,
 25-29 años,2010,"1,205",382
,,,
 25-29 años,2011,"1,248",437
,,,
 25-29 años,2012,"1,331",395
,,,
 25-29 años,2013,"1,284",419
,,,
 25-29 años,2014,"1,322",423
,,,
 25-29 años,2015,"1,274",443
,,,
 25-29 años,2016,"1,314",478
,,,
 25-29 años,2017,"1,486",469
,,,
 25-29 años,2018,"1,581",464
,,,
 25-29 años,2019,"1,614",530
,,,
 25-29 años,2020,"2,068",685
,,,
 25-29 años,2021,"2,098",727
,,,
 25-29 años,2022,"1,683",543
,,,
 25-29 años,2023,"1,615",498
,,,
 30-34 años,2000,"1,110",480
,,,
 30-34 años,2001,"1,106",456
,,,
 30-34 años,2002,"1,108",488
,,,
 30-34 años,2003,"1,169",538
,,,
 30-34 años,2004,"1,079",474
,,,
 30-34 años,2005,"1,158",478
,,,
 30-34 años,2006,"1,192",424
,,,
 30-34 años,2007,"1,217",504
,,,
 30-34 años,2008,"1,248",461
,,,
 30-34 años,2009,"1,319",477
,,,
 30-34 años,2010,"1,289",443
,,,
 30-34 años,2011,"1,315",483
,,,
 30-34 años,2012,"1,411",479
,,,
 30-34 años,2013,"1,403",524
,,,
 30-34 años,2014,"1,398",501
,,,
 30-34 años,2015,"1,428",504
,,,
 30-34 años,2016,"1,439",491
,,,
 30-34 años,2017,"1,467",512
,,,
 30-34 años,2018,"1,561",548
,,,
 30-34 años,2019,"1,620",561
,,,
 30-34 años,2020,"2,391",883
,,,
 30-34 años,2021,"2,594",915
,,,
 30-34 años,2022,"1,865",632
,,,
 30-34 años,2023,"1,852",667
,,,
 35-39 años,2000,"1,298",623
,,,
 35-39 años,2001,"1,271",612
,,,
 35-39 años,2002,"1,260",581
,,,
 35-39 años,2003,"1,284",607
,,,
 35-39 años,2004,"1,232",598
,,,
 35-39 años,2005,"1,281",595
,,,
 35-39 años,2006,"1,287",597
,,,
 35-39 años,2007,"1,293",579
,,,
 35-39 años,2008,"1,345",617
,,,
 35-39 años,2009,"1,503",689
,,,
 35-39 años,2010,"1,488",643
,,,
 35-39 años,2011,"1,534",628
,,,
 35-39 años,2012,"1,586",664
,,,
 35-39 años,2013,"1,685",657
,,,
 35-39 años,2014,"1,570",625
,,,
 35-39 años,2015,"1,549",659
,,,
 35-39 años,2016,"1,652",679
,,,
 35-39 años,2017,"1,685",719
,,,
 35-39 años,2018,"1,718",735
,,,
 35-39 años,2019,"1,879",719
,,,
 35-39 años,2020,"3,072","1,154"
,,,
 35-39 años,2021,"3,407","1,332"
,,,
 35-39 años,2022,"1,933",769
,,,
 35-39 años,2023,"2,006",760
,,,
 40-44 años,2000,"1,421",741
,,,
 40-44 años,2001,"1,380",763
,,,
 40-44 años,2002,"1,470",715
,,,
 40-44 años,2003,"1,468",771
,,,
 40-44 años,2004,"1,388",785
,,,
 40-44 años,2005,"1,516",812
,,,
 40-44 años,2006,"1,434",802
,,,
 40-44 años,2007,"1,500",831
,,,
 40-44 años,2008,"1,600",854
,,,
 40-44 años,2009,"1,657",919
,,,
 40-44 años,2010,"1,632",861
,,,
 40-44 años,2011,"1,805",852
,,,
 40-44 años,2012,"1,831",878
,,,
 40-44 años,2013,"1,862",932
,,,
 40-44 años,2014,"1,942",939
,,,
 40-44 años,2015,"1,974",944
,,,
 40-44 años,2016,"2,101","1,042"
,,,
 40-44 años,2017,"2,124","1,057"
,,,
 40-44 años,2018,"2,134","1,069"
,,,
 40-44 años,2019,"2,179","1,007"
,,,
 40-44 años,2020,"4,406","1,849"
,,,
 40-44 años,2021,"4,196","1,902"
,,,
 40-44 años,2022,"2,238","1,138"
,,,
