Grupo_edad,Año, Hombre, Mujer
,,,
 Menores de 1 año,2000,98,74
,,,
 Menores de 1 año,2001,107,81
,,,
 Menores de 1 año,2002,96,72
,,,
 Menores de 1 año,2003,80,57
,,,
 Menores de 1 año,2004,107,75
,,,
 Menores de 1 año,2005,92,65
,,,
 Menores de 1 año,2006,78,66
,,,
 Menores de 1 año,2007,78,62
,,,
 Menores de 1 año,2008,111,67
,,,
 Menores de 1 año,2009,100,78
,,,
 Menores de 1 año,2010,89,78
,,,
 Menores de 1 año,2011,95,77
,,,
 Menores de 1 año,2012,118,116
,,,
 Menores de 1 año,2013,115,108
,,,
 Menores de 1 año,2014,128,102
,,,
 Menores de 1 año,2015,129,89
,,,
 Menores de 1 año,2016,119,112
,,,
 Menores de 1 año,2017,109,81
,,,
 Menores de 1 año,2018,102,79
,,,
 Menores de 1 año,2019,110,85
,,,
 Menores de 1 año,2020,76,60
,,,
 Menores de 1 año,2021,97,69
,,,
 Menores de 1 año,2022,105,84
,,,
 Menores de 1 año,2023,114,83
,,,
 1-4 años,2000,42,33
,,,
 1-4 años,2001,36,34
,,,
 1-4 años,2002,53,24
,,,
 1-4 años,2003,27,23
,,,
 1-4 años,2004,31,35
,,,
 1-4 años,2005,26,32
,,,
 1-4 años,2006,34,16
,,,
 1-4 años,2007,28,25
,,,
 1-4 años,2008,30,26
,,,
 1-4 años,2009,30,26
,,,
 1-4 años,2010,35,35
,,,
 1-4 años,2011,39,26
,,,
 1-4 años,2012,34,35
,,,
 1-4 años,2013,47,33
,,,
 1-4 años,2014,39,26
,,,
 1-4 años,2015,25,29
,,,
 1-4 años,2016,32,35
,,,
 1-4 años,2017,32,34
,,,
 1-4 años,2018,34,24
,,,
 1-4 años,2019,38,26
,,,
 1-4 años,2020,30,16
,,,
 1-4 años,2021,21,25
,,,
 1-4 años,2022,30,14
,,,
 1-4 años,2023,41,31
,,,
 5-9 años,2000,26,7
,,,
 5-9 años,2001,23,12
,,,
 5-9 años,2002,18,14
,,,
 5-9 años,2003,8,17
,,,
 5-9 años,2004,21,17
,,,
 5-9 años,2005,19,11
,,,
 5-9 años,2006,21,7
,,,
 5-9 años,2007,14,13
,,,
 5-9 años,2008,15,10
,,,
 5-9 años,2009,16,13
,,,
 5-9 años,2010,15,8
,,,
 5-9 años,2011,21,18
,,,
 5-9 años,2012,9,15
,,,
 5-9 años,2013,16,17
,,,
 5-9 años,2014,18,21
,,,
 5-9 años,2015,15,14
,,,
 5-9 años,2016,15,18
,,,
 5-9 años,2017,14,7
,,,
 5-9 años,2018,13,10
,,,
 5-9 años,2019,11,11
,,,
 5-9 años,2020,14,6
,,,
 5-9 años,2021,7,9
,,,
 5-9 años,2022,16,6
,,,
 5-9 años,2023,18,13
,,,
 10-14 años,2000,22,16
,,,
 10-14 años,2001,21,8
,,,
 10-14 años,2002,24,15
,,,
 10-14 años,2003,15,25
,,,
 10-14 años,2004,16,11
,,,
 10-14 años,2005,24,11
,,,
 10-14 años,2006,29,18
,,,
 10-14 años,2007,18,19
,,,
