Grupo_edad,Año, Hombre, Mujer
,,,
 Menores de 1 año,2000,613,447
,,,
 Menores de 1 año,2001,580,450
,,,
 Menores de 1 año,2002,569,406
,,,
 Menores de 1 año,2003,516,411
,,,
 Menores de 1 año,2004,467,390
,,,
 Menores de 1 año,2005,489,399
,,,
 Menores de 1 año,2006,489,438
,,,
 Menores de 1 año,2007,487,346
,,,
 Menores de 1 año,2008,481,373
,,,
 Menores de 1 año,2009,534,413
,,,
 Menores de 1 año,2010,485,370
,,,
 Menores de 1 año,2011,380,310
,,,
 Menores de 1 año,2012,455,371
,,,
 Menores de 1 año,2013,494,366
,,,
 Menores de 1 año,2014,520,398
,,,
 Menores de 1 año,2015,471,443
,,,
 Menores de 1 año,2016,497,413
,,,
 Menores de 1 año,2017,518,421
,,,
 Menores de 1 año,2018,552,430
,,,
 Menores de 1 año,2019,497,419
,,,
 Menores de 1 año,2020,416,323
,,,
 Menores de 1 año,2021,443,329
,,,
 Menores de 1 año,2022,456,341
,,,
 Menores de 1 año,2023,455,353
,,,
 1-4 años,2000,73,76
,,,
 1-4 años,2001,85,66
,,,
 1-4 años,2002,69,61
,,,
 1-4 años,2003,78,78
,,,
 1-4 años,2004,68,63
,,,
 1-4 años,2005,76,63
,,,
 1-4 años,2006,63,65
,,,
 1-4 años,2007,78,65
,,,
 1-4 años,2008,62,72
,,,
 1-4 años,2009,99,47
,,,
 1-4 años,2010,87,74
,,,
 1-4 años,2011,75,69
,,,
 1-4 años,2012,61,69
,,,
 1-4 años,2013,81,58
,,,
 1-4 años,2014,74,76
,,,
 1-4 años,2015,56,63
,,,
 1-4 años,2016,63,53
,,,
 1-4 años,2017,69,62
,,,
 1-4 años,2018,66,55
,,,
 1-4 años,2019,78,68
,,,
 1-4 años,2020,59,49
,,,
 1-4 años,2021,61,50
,,,
 1-4 años,2022,80,63
,,,
 1-4 años,2023,81,48
,,,
 5-9 años,2000,60,42
,,,
 5-9 años,2001,44,45
,,,
 5-9 años,2002,46,39
,,,
 5-9 años,2003,37,36
,,,
 5-9 años,2004,45,40
,,,
 5-9 años,2005,43,39
,,,
 5-9 años,2006,50,31
,,,
 5-9 años,2007,67,35
,,,
 5-9 años,2008,58,39
,,,
 5-9 años,2009,54,45
,,,
 5-9 años,2010,35,30
,,,
 5-9 años,2011,46,36
,,,
 5-9 años,2012,45,33
,,,
 5-9 años,2013,51,45
,,,
 5-9 años,2014,40,26
,,,
 5-9 años,2015,33,36
,,,
 5-9 años,2016,45,33
,,,
 5-9 años,2017,45,49
,,,
 5-9 años,2018,36,31
,,,
 5-9 años,2019,42,37
,,,
 5-9 años,2020,56,39
,,,
 5-9 años,2021,36,36
,,,
 5-9 años,2022,62,44
,,,
 5-9 años,2023,53,42
,,,
 10-14 años,2000,48,39
,,,
 10-14 años,2001,56,31
,,,
 10-14 años,2002,53,39
,,,
 10-14 años,2003,59,47
,,,
 10-14 años,2004,56,35
,,,
 10-14 años,2005,51,44
,,,
 10-14 años,2006,53,46
,,,
 10-14 años,2007,53,34
,,,
 10-14 años,2008,61,47
,,,
 10-14 años,2009,52,42
,,,
 10-14 años,2010,53,37
,,,
 10-14 años,2011,62,32
,,,
 10-14 años,2012,51,38
,,,
 10-14 años,2013,60,43
,,,
 10-14 años,2014,64,51
,,,
 10-14 años,2015,55,41
,,,
 10-14 años,2016,48,38
,,,
 10-14 años,2017,43,35
,,,
 10-14 años,2018,61,43
,,,
 10-14 años,2019,54,46
,,,
 10-14 años,2020,47,35
,,,
 10-14 años,2021,64,50
,,,
 10-14 años,2022,71,59
,,,
 10-14 años,2023,68,57
,,,
 15-19 años,2000,149,66
,,,
 15-19 años,2001,157,51
,,,
 15-19 años,2002,124,48
,,,
 15-19 años,2003,131,62
,,,
 15-19 años,2004,123,47
,,,
 15-19 años,2005,136,61
,,,
 15-19 años,2006,137,66
,,,
 15-19 años,2007,158,63
,,,
 15-19 años,2008,146,73
,,,
 15-19 años,2009,148,82
,,,
 15-19 años,2010,232,87
,,,
 15-19 años,2011,354,85
,,,
 15-19 años,2012,311,80
,,,
 15-19 años,2013,228,64
,,,
 15-19 años,2014,181,56
,,,
 15-19 años,2015,187,89
,,,
 15-19 años,2016,183,76
,,,
 15-19 años,2017,182,80
,,,
 15-19 años,2018,204,62
,,,
 15-19 años,2019,178,76
,,,
 15-19 años,2020,184,99
,,,
 15-19 años,2021,218,86
,,,
 15-19 años,2022,204,102
,,,
 15-19 años,2023,229,92
,,,
 20-24 años,2000,209,73
,,,
 20-24 años,2001,207,66
,,,
 20-24 años,2002,201,74
,,,
 20-24 años,2003,193,73
,,,
 20-24 años,2004,185,81
,,,
 20-24 años,2005,214,74
,,,
 20-24 años,2006,199,69
,,,
 20-24 años,2007,218,76
,,,
 20-24 años,2008,238,77
,,,
 20-24 años,2009,271,83
,,,
 20-24 años,2010,356,90
,,,
 20-24 años,2011,529,122
,,,
 20-24 años,2012,433,99
,,,
 20-24 años,2013,341,107
,,,
 20-24 años,2014,263,98
,,,
 20-24 años,2015,258,88
,,,
 20-24 años,2016,302,110
,,,
 20-24 años,2017,292,88
,,,
 20-24 años,2018,286,83
,,,
