Grupo_edad,Año, Hombre, Mujer
,,,
 Menores de 1 año,2000,806,597
,,,
 Menores de 1 año,2001,665,534
,,,
 Menores de 1 año,2002,776,577
,,,
 Menores de 1 año,2003,642,511
,,,
 Menores de 1 año,2004,678,485
,,,
 Menores de 1 año,2005,593,486
,,,
 Menores de 1 año,2006,565,419
,,,
 Menores de 1 año,2007,583,436
,,,
 Menores de 1 año,2008,542,435
,,,
 Menores de 1 año,2009,529,392
,,,
 Menores de 1 año,2010,507,415
,,,
 Menores de 1 año,2011,478,431
,,,
 Menores de 1 año,2012,513,429
,,,
 Menores de 1 año,2013,469,391
,,,
 Menores de 1 año,2014,473,366
,,,
 Menores de 1 año,2015,436,342
,,,
 Menores de 1 año,2016,409,321
,,,
 Menores de 1 año,2017,419,373
,,,
 Menores de 1 año,2018,391,311
,,,
 Menores de 1 año,2019,379,313
,,,
 Menores de 1 año,2020,331,250
,,,
 Menores de 1 año,2021,349,277
,,,
 Menores de 1 año,2022,346,278
,,,
 Menores de 1 año,2023,332,288
,,,
 1-4 años,2000,250,220
,,,
 1-4 años,2001,233,175
,,,
 1-4 años,2002,239,227
,,,
 1-4 años,2003,215,190
,,,
 1-4 años,2004,215,173
,,,
 1-4 años,2005,200,177
,,,
 1-4 años,2006,178,142
,,,
 1-4 años,2007,135,144
,,,
 1-4 años,2008,179,140
,,,
 1-4 años,2009,152,132
,,,
 1-4 años,2010,136,132
,,,
 1-4 años,2011,146,127
,,,
 1-4 años,2012,139,115
,,,
 1-4 años,2013,145,118
,,,
 1-4 años,2014,125,97
,,,
 1-4 años,2015,103,117
,,,
 1-4 años,2016,112,114
,,,
 1-4 años,2017,113,82
,,,
 1-4 años,2018,93,79
,,,
 1-4 años,2019,100,103
,,,
 1-4 años,2020,107,76
,,,
 1-4 años,2021,92,67
,,,
 1-4 años,2022,80,98
,,,
 1-4 años,2023,104,88
,,,
 5-9 años,2000,92,63
,,,
 5-9 años,2001,119,83
,,,
 5-9 años,2002,112,69
,,,
 5-9 años,2003,91,66
,,,
 5-9 años,2004,88,66
,,,
 5-9 años,2005,97,71
,,,
 5-9 años,2006,89,40
,,,
 5-9 años,2007,63,56
,,,
 5-9 años,2008,76,47
,,,
 5-9 años,2009,76,72
,,,
 5-9 años,2010,66,57
,,,
 5-9 años,2011,69,63
,,,
 5-9 años,2012,72,60
,,,
 5-9 años,2013,69,45
,,,
 5-9 años,2014,71,46
,,,
 5-9 años,2015,49,54
,,,
 5-9 años,2016,60,53
,,,
 5-9 años,2017,50,47
,,,
 5-9 años,2018,42,42
,,,
 5-9 años,2019,50,42
,,,
 5-9 años,2020,55,45
,,,
 5-9 años,2021,54,40
,,,
 5-9 años,2022,56,41
,,,
 5-9 años,2023,42,50
,,,
 10-14 años,2000,113,67
,,,
 10-14 años,2001,123,73
,,,
 10-14 años,2002,129,76
,,,
 10-14 años,2003,106,77
,,,
 10-14 años,2004,92,81
,,,
 10-14 años,2005,108,84
,,,
 10-14 años,2006,101,69
,,,
 10-14 años,2007,72,77
,,,
 10-14 años,2008,90,77
