Grupo_edad,Año, Hombre, Mujer
,,,
 Menores de 1 año,2000,"2,040","1,669"
,,,
 Menores de 1 año,2001,"1,930","1,439"
,,,
 Menores de 1 año,2002,"2,037","1,452"
,,,
 Menores de 1 año,2003,"1,734","1,336"
,,,
 Menores de 1 año,2004,"1,675","1,222"
,,,
 Menores de 1 año,2005,"1,636","1,285"
,,,
 Menores de 1 año,2006,"1,506","1,186"
,,,
 Menores de 1 año,2007,"1,487","1,140"
,,,
 Menores de 1 año,2008,"1,337","1,025"
,,,
 Menores de 1 año,2009,"1,339","1,000"
,,,
 Menores de 1 año,2010,"1,293","1,009"
,,,
 Menores de 1 año,2011,"1,197","1,020"
,,,
 Menores de 1 año,2012,"1,188",913
,,,
 Menores de 1 año,2013,"1,114",848
,,,
 Menores de 1 año,2014,"1,016",788
,,,
 Menores de 1 año,2015,957,810
,,,
 Menores de 1 año,2016,959,803
,,,
 Menores de 1 año,2017,"1,049",818
,,,
 Menores de 1 año,2018,913,735
,,,
 Menores de 1 año,2019,929,689
,,,
 Menores de 1 año,2020,832,637
,,,
 Menores de 1 año,2021,713,548
,,,
 Menores de 1 año,2022,762,616
,,,
 Menores de 1 año,2023,775,599
,,,
 1-4 años,2000,301,311
,,,
 1-4 años,2001,287,236
,,,
 1-4 años,2002,324,315
,,,
 1-4 años,2003,328,253
,,,
 1-4 años,2004,297,259
,,,
 1-4 años,2005,302,258
,,,
 1-4 años,2006,250,218
,,,
 1-4 años,2007,247,193
,,,
 1-4 años,2008,255,185
,,,
 1-4 años,2009,226,179
,,,
 1-4 años,2010,207,190
,,,
 1-4 años,2011,236,186
,,,
 1-4 años,2012,210,174
,,,
 1-4 años,2013,199,170
,,,
 1-4 años,2014,181,144
,,,
 1-4 años,2015,215,146
,,,
 1-4 años,2016,199,164
,,,
 1-4 años,2017,191,169
,,,
 1-4 años,2018,162,131
,,,
 1-4 años,2019,163,155
,,,
 1-4 años,2020,131,119
,,,
 1-4 años,2021,153,142
,,,
 1-4 años,2022,174,124
,,,
 1-4 años,2023,143,146
,,,
 5-9 años,2000,129,102
,,,
 5-9 años,2001,131,102
,,,
 5-9 años,2002,136,100
,,,
 5-9 años,2003,115,104
,,,
 5-9 años,2004,133,78
,,,
 5-9 años,2005,122,108
,,,
 5-9 años,2006,110,86
,,,
 5-9 años,2007,84,115
,,,
 5-9 años,2008,90,76
,,,
 5-9 años,2009,87,116
,,,
 5-9 años,2010,104,80
,,,
 5-9 años,2011,98,73
,,,
 5-9 años,2012,100,80
,,,
 5-9 años,2013,86,67
,,,
 5-9 años,2014,91,73
,,,
 5-9 años,2015,85,72
,,,
 5-9 años,2016,88,73
,,,
 5-9 años,2017,89,84
,,,
 5-9 años,2018,76,71
,,,
 5-9 años,2019,82,61
,,,
 5-9 años,2020,87,69
,,,
 5-9 años,2021,95,64
,,,
 5-9 años,2022,80,52
,,,
 5-9 años,2023,98,65
,,,
 10-14 años,2000,140,108
,,,
 10-14 años,2001,156,94
,,,
 10-14 años,2002,145,109
,,,
 10-14 años,2003,164,98
,,,
 10-14 años,2004,111,71
,,,
 10-14 años,2005,140,105
