Grupo_edad,Año, Hombre, Mujer
,,,
 Menores de 1 año,2000,373,303
,,,
 Menores de 1 año,2001,348,296
,,,
 Menores de 1 año,2002,355,293
,,,
 Menores de 1 año,2003,331,252
,,,
 Menores de 1 año,2004,301,230
,,,
 Menores de 1 año,2005,290,244
,,,
 Menores de 1 año,2006,264,202
,,,
 Menores de 1 año,2007,298,245
,,,
 Menores de 1 año,2008,281,210
,,,
 Menores de 1 año,2009,269,205
,,,
 Menores de 1 año,2010,267,223
,,,
 Menores de 1 año,2011,267,192
,,,
 Menores de 1 año,2012,283,208
,,,
 Menores de 1 año,2013,284,191
,,,
 Menores de 1 año,2014,230,194
,,,
 Menores de 1 año,2015,270,173
,,,
 Menores de 1 año,2016,247,177
,,,
 Menores de 1 año,2017,212,182
,,,
 Menores de 1 año,2018,225,165
,,,
 Menores de 1 año,2019,207,171
,,,
 Menores de 1 año,2020,184,148
,,,
 Menores de 1 año,2021,192,149
,,,
 Menores de 1 año,2022,187,161
,,,
 Menores de 1 año,2023,188,144
,,,
 1-4 años,2000,57,46
,,,
 1-4 años,2001,45,45
,,,
 1-4 años,2002,47,46
,,,
 1-4 años,2003,55,49
,,,
 1-4 años,2004,55,38
,,,
 1-4 años,2005,48,38
,,,
 1-4 años,2006,48,53
,,,
 1-4 años,2007,56,34
,,,
 1-4 años,2008,38,31
,,,
 1-4 años,2009,64,30
,,,
 1-4 años,2010,43,42
,,,
 1-4 años,2011,43,38
,,,
 1-4 años,2012,39,37
,,,
 1-4 años,2013,54,32
,,,
 1-4 años,2014,41,36
,,,
 1-4 años,2015,27,30
,,,
 1-4 años,2016,40,35
,,,
 1-4 años,2017,41,35
,,,
 1-4 años,2018,49,31
,,,
 1-4 años,2019,44,29
,,,
 1-4 años,2020,27,26
,,,
 1-4 años,2021,35,33
,,,
 1-4 años,2022,46,42
,,,
 1-4 años,2023,35,27
,,,
 5-9 años,2000,20,26
,,,
 5-9 años,2001,35,24
,,,
 5-9 años,2002,34,26
,,,
 5-9 años,2003,31,18
,,,
 5-9 años,2004,31,18
,,,
 5-9 años,2005,27,29
,,,
 5-9 años,2006,25,16
,,,
 5-9 años,2007,29,14
,,,
 5-9 años,2008,24,20
