Grupo_edad,Año, Hombre, Mujer
,,,
 Menores de 1 año,2000,177,160
,,,
 Menores de 1 año,2001,197,132
,,,
 Menores de 1 año,2002,197,148
,,,
 Menores de 1 año,2003,158,137
,,,
 Menores de 1 año,2004,166,110
,,,
 Menores de 1 año,2005,180,161
,,,
 Menores de 1 año,2006,189,145
,,,
 Menores de 1 año,2007,185,119
,,,
 Menores de 1 año,2008,205,170
,,,
 Menores de 1 año,2009,168,149
,,,
 Menores de 1 año,2010,180,134
,,,
 Menores de 1 año,2011,200,130
,,,
 Menores de 1 año,2012,196,127
,,,
 Menores de 1 año,2013,179,139
,,,
 Menores de 1 año,2014,165,118
,,,
 Menores de 1 año,2015,196,139
,,,
 Menores de 1 año,2016,187,148
,,,
 Menores de 1 año,2017,175,128
,,,
 Menores de 1 año,2018,157,156
,,,
 Menores de 1 año,2019,167,132
,,,
 Menores de 1 año,2020,152,105
,,,
 Menores de 1 año,2021,130,119
,,,
 Menores de 1 año,2022,130,106
,,,
 Menores de 1 año,2023,163,124
,,,
 1-4 años,2000,25,19
,,,
 1-4 años,2001,30,20
,,,
 1-4 años,2002,26,24
,,,
 1-4 años,2003,40,29
,,,
 1-4 años,2004,29,24
,,,
 1-4 años,2005,34,29
,,,
 1-4 años,2006,23,44
,,,
 1-4 años,2007,26,27
,,,
 1-4 años,2008,34,22
,,,
 1-4 años,2009,36,25
,,,
 1-4 años,2010,41,23
,,,
 1-4 años,2011,33,28
,,,
 1-4 años,2012,27,29
,,,
 1-4 años,2013,27,31
,,,
 1-4 años,2014,33,21
,,,
 1-4 años,2015,37,26
,,,
 1-4 años,2016,31,17
,,,
 1-4 años,2017,30,28
,,,
 1-4 años,2018,31,29
,,,
 1-4 años,2019,38,31
,,,
 1-4 años,2020,30,26
,,,
 1-4 años,2021,33,29
,,,
 1-4 años,2022,32,23
,,,
 1-4 años,2023,33,25
,,,
 5-9 años,2000,16,12
,,,
 5-9 años,2001,16,10
,,,
 5-9 años,2002,11,12
,,,
 5-9 años,2003,7,16
,,,
 5-9 años,2004,22,13
,,,
 5-9 años,2005,17,17
,,,
 5-9 años,2006,18,14
,,,
 5-9 años,2007,17,13
,,,
 5-9 años,2008,19,5
,,,
 5-9 años,2009,12,18
,,,
 5-9 años,2010,24,7
,,,
 5-9 años,2011,17,19
,,,
 5-9 años,2012,16,12
,,,
 5-9 años,2013,19,19
,,,
 5-9 años,2014,13,12
,,,
 5-9 años,2015,10,11
,,,
 5-9 años,2016,23,15
,,,
 5-9 años,2017,16,16
,,,
 5-9 años,2018,14,9
,,,
 5-9 años,2019,15,19
,,,
 5-9 años,2020,9,15
,,,
 5-9 años,2021,15,13
,,,
 5-9 años,2022,14,9
