Grupo_edad,Año, Hombre, Mujer
,,,
 Menores de 1 año,2000,480,381
,,,
 Menores de 1 año,2001,449,331
,,,
 Menores de 1 año,2002,470,356
,,,
 Menores de 1 año,2003,398,281
,,,
 Menores de 1 año,2004,364,285
,,,
 Menores de 1 año,2005,389,291
,,,
 Menores de 1 año,2006,339,247
,,,
 Menores de 1 año,2007,301,242
,,,
 Menores de 1 año,2008,297,240
,,,
 Menores de 1 año,2009,288,246
,,,
 Menores de 1 año,2010,280,234
,,,
 Menores de 1 año,2011,304,242
,,,
 Menores de 1 año,2012,277,210
,,,
 Menores de 1 año,2013,259,226
,,,
 Menores de 1 año,2014,261,235
,,,
 Menores de 1 año,2015,252,244
,,,
 Menores de 1 año,2016,271,221
,,,
 Menores de 1 año,2017,259,221
,,,
 Menores de 1 año,2018,241,207
,,,
 Menores de 1 año,2019,260,196
,,,
 Menores de 1 año,2020,216,169
,,,
 Menores de 1 año,2021,247,170
,,,
 Menores de 1 año,2022,274,177
,,,
 Menores de 1 año,2023,248,208
,,,
 1-4 años,2000,83,80
,,,
 1-4 años,2001,85,88
,,,
 1-4 años,2002,105,93
,,,
 1-4 años,2003,79,70
,,,
 1-4 años,2004,93,67
,,,
 1-4 años,2005,87,73
,,,
 1-4 años,2006,75,74
,,,
 1-4 años,2007,74,74
,,,
 1-4 años,2008,100,60
,,,
 1-4 años,2009,54,58
,,,
 1-4 años,2010,66,63
,,,
 1-4 años,2011,65,46
,,,
 1-4 años,2012,59,34
,,,
 1-4 años,2013,60,46
,,,
 1-4 años,2014,58,56
,,,
 1-4 años,2015,48,44
,,,
 1-4 años,2016,50,38
,,,
 1-4 años,2017,38,49
,,,
 1-4 años,2018,59,38
,,,
 1-4 años,2019,55,50
,,,
 1-4 años,2020,42,24
,,,
 1-4 años,2021,49,39
,,,
 1-4 años,2022,59,51
,,,
 1-4 años,2023,48,50
,,,
 5-9 años,2000,48,40
,,,
 5-9 años,2001,48,29
,,,
 5-9 años,2002,59,36
,,,
 5-9 años,2003,51,42
,,,
 5-9 años,2004,41,36
,,,
 5-9 años,2005,37,39
,,,
 5-9 años,2006,49,33
,,,
 5-9 años,2007,45,31
,,,
 5-9 años,2008,36,32
,,,
 5-9 años,2009,37,33
,,,
 5-9 años,2010,29,26
,,,
 5-9 años,2011,30,17
,,,
 5-9 años,2012,29,26
,,,
 5-9 años,2013,31,17
,,,
 5-9 años,2014,35,28
,,,
 5-9 años,2015,20,18
,,,
 5-9 años,2016,31,15
,,,
 5-9 años,2017,29,23
,,,
 5-9 años,2018,38,28
,,,
 5-9 años,2019,28,20
,,,
 5-9 años,2020,32,20
,,,
 5-9 años,2021,23,21
,,,
 5-9 años,2022,30,24
,,,
 5-9 años,2023,22,26
,,,
 10-14 años,2000,69,34
,,,
 10-14 años,2001,54,35
,,,
 10-14 años,2002,62,35
,,,
 10-14 años,2003,40,33
,,,
 10-14 años,2004,56,38
,,,
 10-14 años,2005,56,30
,,,
 10-14 años,2006,64,53
,,,
 10-14 años,2007,71,37
,,,
 10-14 años,2008,61,31
,,,
 10-14 años,2009,57,38
,,,
 10-14 años,2010,50,36
,,,
 10-14 años,2011,47,33
,,,
 10-14 años,2012,53,32
,,,
 10-14 años,2013,40,32
,,,
 10-14 años,2014,46,26
,,,
 10-14 años,2015,44,36
,,,
 10-14 años,2016,59,29
,,,
 10-14 años,2017,47,32
,,,
 10-14 años,2018,38,28
,,,
 10-14 años,2019,45,37
,,,
 10-14 años,2020,46,28
,,,
 10-14 años,2021,50,42
,,,
 10-14 años,2022,52,31
,,,
 10-14 años,2023,44,34
,,,
 15-19 años,2000,132,53
,,,
 15-19 años,2001,145,53
,,,
 15-19 años,2002,139,57
,,,
 15-19 años,2003,121,48
,,,
 15-19 años,2004,108,34
,,,
 15-19 años,2005,136,47
,,,
 15-19 años,2006,126,50
,,,
 15-19 años,2007,112,50
,,,
 15-19 años,2008,137,51
,,,
 15-19 años,2009,130,60
,,,
 15-19 años,2010,149,62
,,,
 15-19 años,2011,147,72
,,,
 15-19 años,2012,184,46
,,,
 15-19 años,2013,148,56
,,,
 15-19 años,2014,136,62
,,,
 15-19 años,2015,137,52
,,,
 15-19 años,2016,145,68
,,,
 15-19 años,2017,188,58
,,,
 15-19 años,2018,183,52
,,,
 15-19 años,2019,146,61
,,,
 15-19 años,2020,185,68
,,,
 15-19 años,2021,202,58
,,,
 15-19 años,2022,190,52
,,,
 15-19 años,2023,181,57
,,,
 20-24 años,2000,180,46
,,,
 20-24 años,2001,138,48
,,,
 20-24 años,2002,145,56
,,,
 20-24 años,2003,130,59
,,,
 20-24 años,2004,143,61
,,,
 20-24 años,2005,153,57
,,,
 20-24 años,2006,151,45
,,,
 20-24 años,2007,158,52
,,,
 20-24 años,2008,182,41
,,,
 20-24 años,2009,169,68
,,,
 20-24 años,2010,203,65
,,,
 20-24 años,2011,166,59
,,,
 20-24 años,2012,201,70
,,,
 20-24 años,2013,217,57
,,,
 20-24 años,2014,179,65
,,,
 20-24 años,2015,199,63
,,,
 20-24 años,2016,200,52
,,,
 20-24 años,2017,252,68
,,,
 20-24 años,2018,252,60
,,,
 20-24 años,2019,239,60
,,,
 20-24 años,2020,281,74
,,,
 20-24 años,2021,263,86
,,,
 20-24 años,2022,247,82
,,,
 20-24 años,2023,233,63
,,,
 25-29 años,2000,154,61
,,,
 25-29 años,2001,149,56
,,,
 25-29 años,2002,140,53
,,,
 25-29 años,2003,149,60
,,,
 25-29 años,2004,143,50
,,,
 25-29 años,2005,157,57
,,,
 25-29 años,2006,136,60
,,,
 25-29 años,2007,138,76
,,,
 25-29 años,2008,142,51
,,,
 25-29 años,2009,195,65
,,,
 25-29 años,2010,204,50
,,,
 25-29 años,2011,158,67
,,,
 25-29 años,2012,205,53
,,,
 25-29 años,2013,203,52
,,,
 25-29 años,2014,168,69
,,,
 25-29 años,2015,158,61
,,,
 25-29 años,2016,179,71
,,,
 25-29 años,2017,230,76
,,,
 25-29 años,2018,282,75
,,,
 25-29 años,2019,255,73
,,,
 25-29 años,2020,329,105
,,,
 25-29 años,2021,374,131
,,,
 25-29 años,2022,298,92
,,,
 25-29 años,2023,313,82
,,,
 30-34 años,2000,137,66
,,,
 30-34 años,2001,141,72
,,,
 30-34 años,2002,128,66
,,,
 30-34 años,2003,153,75
,,,
 30-34 años,2004,167,81
,,,
 30-34 años,2005,153,76
,,,
 30-34 años,2006,154,63
,,,
 30-34 años,2007,143,63
,,,
 30-34 años,2008,202,79
,,,
 30-34 años,2009,172,49
,,,
 30-34 años,2010,193,64
,,,
 30-34 años,2011,180,56
,,,
 30-34 años,2012,202,80
,,,
 30-34 años,2013,182,76
,,,
 30-34 años,2014,180,92
,,,
 30-34 años,2015,159,82
,,,
 30-34 años,2016,209,54
,,,
 30-34 años,2017,216,83
,,,
 30-34 años,2018,237,90
,,,
 30-34 años,2019,235,62
,,,
 30-34 años,2020,345,126
,,,
 30-34 años,2021,372,145
,,,
 30-34 años,2022,317,97
,,,
 30-34 años,2023,262,93
,,,
 35-39 años,2000,154,96
,,,
 35-39 años,2001,165,73
,,,
 35-39 años,2002,160,88
,,,
 35-39 años,2003,148,83
,,,
 35-39 años,2004,167,76
,,,
 35-39 años,2005,166,85
,,,
 35-39 años,2006,160,87
,,,
 35-39 años,2007,173,86
,,,
 35-39 años,2008,215,73
,,,
 35-39 años,2009,228,105
,,,
 35-39 años,2010,216,92
,,,
 35-39 años,2011,236,115
,,,
 35-39 años,2012,242,112
,,,
 35-39 años,2013,209,88
,,,
 35-39 años,2014,247,100
,,,
 35-39 años,2015,223,87
,,,
 35-39 años,2016,230,84
,,,
 35-39 años,2017,261,106
,,,
 35-39 años,2018,247,111
,,,
 35-39 años,2019,269,104
,,,
 35-39 años,2020,383,142
,,,
 35-39 años,2021,441,199
,,,
 35-39 años,2022,357,136
,,,
 35-39 años,2023,292,112
,,,
 40-44 años,2000,208,87
,,,
 40-44 años,2001,192,114
,,,
 40-44 años,2002,211,85
,,,
 40-44 años,2003,198,119
,,,
 40-44 años,2004,201,111
,,,
 40-44 años,2005,212,108
,,,
 40-44 años,2006,234,115
,,,
 40-44 años,2007,221,118
,,,
 40-44 años,2008,213,102
,,,
 40-44 años,2009,239,122
,,,
 40-44 años,2010,245,137
,,,
 40-44 años,2011,256,124
,,,
 40-44 años,2012,237,120
,,,
 40-44 años,2013,272,121
,,,
 40-44 años,2014,285,150
,,,
 40-44 años,2015,273,116
,,,
 40-44 años,2016,277,181
,,,
 40-44 años,2017,337,167
,,,
 40-44 años,2018,307,150
,,,
 40-44 años,2019,324,178
,,,
 40-44 años,2020,490,251
,,,
 40-44 años,2021,530,250
,,,
 40-44 años,2022,368,184
,,,
 40-44 años,2023,370,153
,,,
 45-49 años,2000,195,106
,,,
 45-49 años,2001,212,135
,,,
 45-49 años,2002,223,156
,,,
 45-49 años,2003,233,145
,,,
 45-49 años,2004,246,138
,,,
 45-49 años,2005,232,139
,,,
 45-49 años,2006,275,138
,,,
 45-49 años,2007,233,143
,,,
 45-49 años,2008,264,190
,,,
 45-49 años,2009,272,189
,,,
 45-49 años,2010,285,189
,,,
 45-49 años,2011,294,156
,,,
 45-49 años,2012,282,175
,,,
 45-49 años,2013,310,190
,,,
 45-49 años,2014,316,214
,,,
 45-49 años,2015,291,203
,,,
 45-49 años,2016,314,203
,,,
 45-49 años,2017,388,217
,,,
 45-49 años,2018,383,224
,,,
 45-49 años,2019,395,226
,,,
 45-49 años,2020,703,406
,,,
 45-49 años,2021,747,413
,,,
 45-49 años,2022,501,274
,,,
 45-49 años,2023,459,261
,,,
 50-54 años,2000,237,160
,,,
 50-54 años,2001,280,156
,,,
 50-54 años,2002,260,217
,,,
 50-54 años,2003,264,193
,,,
 50-54 años,2004,270,186
,,,
 50-54 años,2005,295,194
,,,
