Grupo_edad,Año, Hombre, Mujer
,,,
 Menores de 1 año,2000,145,144
,,,
 Menores de 1 año,2001,132,121
,,,
 Menores de 1 año,2002,225,146
,,,
 Menores de 1 año,2003,177,116
,,,
 Menores de 1 año,2004,193,139
,,,
 Menores de 1 año,2005,218,182
,,,
 Menores de 1 año,2006,264,187
,,,
 Menores de 1 año,2007,256,184
,,,
 Menores de 1 año,2008,235,176
,,,
 Menores de 1 año,2009,286,217
,,,
 Menores de 1 año,2010,189,180
,,,
 Menores de 1 año,2011,255,190
,,,
 Menores de 1 año,2012,246,207
,,,
 Menores de 1 año,2013,261,252
,,,
 Menores de 1 año,2014,267,192
,,,
 Menores de 1 año,2015,299,233
,,,
 Menores de 1 año,2016,263,178
,,,
 Menores de 1 año,2017,258,198
,,,
 Menores de 1 año,2018,320,178
,,,
 Menores de 1 año,2019,227,209
,,,
 Menores de 1 año,2020,170,112
,,,
 Menores de 1 año,2021,221,160
,,,
 Menores de 1 año,2022,240,155
,,,
 Menores de 1 año,2023,239,163
,,,
 1-4 años,2000,62,50
,,,
 1-4 años,2001,57,52
,,,
 1-4 años,2002,64,43
,,,
 1-4 años,2003,65,55
,,,
 1-4 años,2004,62,46
,,,
 1-4 años,2005,79,57
,,,
 1-4 años,2006,65,49
,,,
 1-4 años,2007,61,54
,,,
 1-4 años,2008,69,52
,,,
 1-4 años,2009,83,64
,,,
 1-4 años,2010,74,47
,,,
 1-4 años,2011,73,58
,,,
 1-4 años,2012,56,51
,,,
 1-4 años,2013,58,45
,,,
 1-4 años,2014,62,47
,,,
 1-4 años,2015,64,46
,,,
 1-4 años,2016,52,44
,,,
 1-4 años,2017,50,42
,,,
 1-4 años,2018,44,40
,,,
 1-4 años,2019,50,33
,,,
 1-4 años,2020,57,20
,,,
 1-4 años,2021,37,40
,,,
 1-4 años,2022,37,37
,,,
 1-4 años,2023,42,46
,,,
 5-9 años,2000,41,19
,,,
 5-9 años,2001,52,25
,,,
 5-9 años,2002,44,20
,,,
 5-9 años,2003,47,23
,,,
 5-9 años,2004,36,24
,,,
 5-9 años,2005,36,20
,,,
 5-9 años,2006,32,17
,,,
 5-9 años,2007,38,31
,,,
 5-9 años,2008,34,22
,,,
 5-9 años,2009,31,25
,,,
 5-9 años,2010,49,24
,,,
 5-9 años,2011,39,21
,,,
 5-9 años,2012,31,28
,,,
 5-9 años,2013,35,20
,,,
 5-9 años,2014,34,19
,,,
 5-9 años,2015,25,30
,,,
 5-9 años,2016,26,25
,,,
 5-9 años,2017,30,24
,,,
 5-9 años,2018,31,21
,,,
 5-9 años,2019,27,19
,,,
 5-9 años,2020,22,15
,,,
 5-9 años,2021,22,19
,,,
 5-9 años,2022,24,15
,,,
 5-9 años,2023,27,26
,,,
 10-14 años,2000,64,23
,,,
 10-14 años,2001,46,23
,,,
