Grupo_edad,Año, Hombre, Mujer
,,,
 Menores de 1 año,2000,487,378
,,,
 Menores de 1 año,2001,418,325
,,,
 Menores de 1 año,2002,411,308
,,,
 Menores de 1 año,2003,457,309
,,,
 Menores de 1 año,2004,395,312
,,,
 Menores de 1 año,2005,409,331
,,,
 Menores de 1 año,2006,374,290
,,,
 Menores de 1 año,2007,346,238
,,,
 Menores de 1 año,2008,371,254
,,,
 Menores de 1 año,2009,314,273
,,,
 Menores de 1 año,2010,341,277
,,,
 Menores de 1 año,2011,310,285
,,,
 Menores de 1 año,2012,359,316
,,,
 Menores de 1 año,2013,344,213
,,,
 Menores de 1 año,2014,283,235
,,,
 Menores de 1 año,2015,274,256
,,,
 Menores de 1 año,2016,303,242
,,,
 Menores de 1 año,2017,263,210
,,,
 Menores de 1 año,2018,278,228
,,,
 Menores de 1 año,2019,291,211
,,,
 Menores de 1 año,2020,194,155
,,,
 Menores de 1 año,2021,225,151
,,,
 Menores de 1 año,2022,215,169
,,,
 Menores de 1 año,2023,216,166
,,,
 1-4 años,2000,90,71
,,,
 1-4 años,2001,82,55
,,,
 1-4 años,2002,66,67
,,,
 1-4 años,2003,71,60
,,,
 1-4 años,2004,77,69
,,,
 1-4 años,2005,71,58
,,,
 1-4 años,2006,81,60
,,,
 1-4 años,2007,71,58
,,,
 1-4 años,2008,57,71
,,,
 1-4 años,2009,109,84
,,,
 1-4 años,2010,75,66
,,,
 1-4 años,2011,86,37
,,,
 1-4 años,2012,63,52
,,,
 1-4 años,2013,75,43
,,,
 1-4 años,2014,73,41
,,,
 1-4 años,2015,69,48
,,,
 1-4 años,2016,64,53
,,,
 1-4 años,2017,38,51
,,,
 1-4 años,2018,45,37
,,,
 1-4 años,2019,60,39
,,,
 1-4 años,2020,46,37
,,,
 1-4 años,2021,48,30
,,,
 1-4 años,2022,46,31
,,,
 1-4 años,2023,51,39
,,,
 5-9 años,2000,29,31
,,,
 5-9 años,2001,35,27
,,,
 5-9 años,2002,48,33
,,,
 5-9 años,2003,34,34
,,,
 5-9 años,2004,32,30
,,,
 5-9 años,2005,56,35
,,,
 5-9 años,2006,33,37
,,,
 5-9 años,2007,42,22
,,,
 5-9 años,2008,38,25
,,,
 5-9 años,2009,42,43
,,,
 5-9 años,2010,43,31
,,,
 5-9 años,2011,48,33
,,,
 5-9 años,2012,47,43
,,,
 5-9 años,2013,49,21
,,,
 5-9 años,2014,52,25
,,,
 5-9 años,2015,35,24
,,,
 5-9 años,2016,44,22
,,,
 5-9 años,2017,28,21
,,,
 5-9 años,2018,30,22
,,,
 5-9 años,2019,35,25
,,,
 5-9 años,2020,18,22
,,,
 5-9 años,2021,27,28
,,,
 5-9 años,2022,34,22
,,,
 5-9 años,2023,30,28
,,,
 10-14 años,2000,39,35
,,,
 10-14 años,2001,39,32
,,,
 10-14 años,2002,45,28
,,,
 10-14 años,2003,44,34
,,,
 10-14 años,2004,51,23
,,,
 10-14 años,2005,45,30
,,,
 10-14 años,2006,32,43
,,,
 10-14 años,2007,47,31
,,,
 10-14 años,2008,60,30
,,,
 10-14 años,2009,59,30
,,,
 10-14 años,2010,36,44
,,,
 10-14 años,2011,52,31
,,,
 10-14 años,2012,48,33
,,,
 10-14 años,2013,51,31
,,,
 10-14 años,2014,49,43
,,,
 10-14 años,2015,46,31
,,,
 10-14 años,2016,29,26
,,,
 10-14 años,2017,45,18
,,,
 10-14 años,2018,45,32
,,,
 10-14 años,2019,44,31
,,,
 10-14 años,2020,36,26
,,,
 10-14 años,2021,39,29
,,,
 10-14 años,2022,51,30
,,,
 10-14 años,2023,39,30
,,,
 15-19 años,2000,103,44
,,,
 15-19 años,2001,93,63
,,,
 15-19 años,2002,123,51
,,,
 15-19 años,2003,90,47
,,,
 15-19 años,2004,95,39
,,,
 15-19 años,2005,120,63
,,,
 15-19 años,2006,123,61
,,,
 15-19 años,2007,130,52
,,,
 15-19 años,2008,137,52
,,,
 15-19 años,2009,153,62
,,,
 15-19 años,2010,164,61
,,,
 15-19 años,2011,154,60
