Grupo_edad,Año, Hombre, Mujer
,,,
 Menores de 1 año,2000,492,320
,,,
 Menores de 1 año,2001,435,342
,,,
 Menores de 1 año,2002,379,306
,,,
 Menores de 1 año,2003,409,297
,,,
 Menores de 1 año,2004,383,285
,,,
 Menores de 1 año,2005,402,310
,,,
 Menores de 1 año,2006,353,304
,,,
 Menores de 1 año,2007,322,247
,,,
 Menores de 1 año,2008,313,205
,,,
 Menores de 1 año,2009,365,291
,,,
 Menores de 1 año,2010,391,295
,,,
 Menores de 1 año,2011,418,313
,,,
 Menores de 1 año,2012,394,303
,,,
 Menores de 1 año,2013,386,295
,,,
 Menores de 1 año,2014,389,324
,,,
 Menores de 1 año,2015,438,304
,,,
 Menores de 1 año,2016,378,276
,,,
 Menores de 1 año,2017,379,271
,,,
 Menores de 1 año,2018,359,271
,,,
 Menores de 1 año,2019,316,238
,,,
 Menores de 1 año,2020,264,224
,,,
 Menores de 1 año,2021,279,181
,,,
 Menores de 1 año,2022,198,185
,,,
 Menores de 1 año,2023,237,161
,,,
 1-4 años,2000,59,81
,,,
 1-4 años,2001,81,52
,,,
 1-4 años,2002,86,38
,,,
 1-4 años,2003,81,61
,,,
 1-4 años,2004,66,63
,,,
 1-4 años,2005,66,66
,,,
 1-4 años,2006,79,58
,,,
 1-4 años,2007,70,54
,,,
 1-4 años,2008,62,58
,,,
 1-4 años,2009,67,42
,,,
 1-4 años,2010,65,57
,,,
 1-4 años,2011,71,51
,,,
 1-4 años,2012,76,56
,,,
 1-4 años,2013,74,58
,,,
 1-4 años,2014,52,55
,,,
 1-4 años,2015,55,42
,,,
 1-4 años,2016,55,62
,,,
 1-4 años,2017,54,49
,,,
 1-4 años,2018,60,49
,,,
 1-4 años,2019,55,43
,,,
 1-4 años,2020,41,29
,,,
 1-4 años,2021,52,41
,,,
 1-4 años,2022,52,38
,,,
 1-4 años,2023,50,35
,,,
 5-9 años,2000,50,34
,,,
 5-9 años,2001,46,31
,,,
 5-9 años,2002,47,42
,,,
 5-9 años,2003,59,31
,,,
 5-9 años,2004,35,38
,,,
 5-9 años,2005,37,33
,,,
 5-9 años,2006,44,27
,,,
 5-9 años,2007,33,28
,,,
 5-9 años,2008,47,22
,,,
 5-9 años,2009,31,25
,,,
 5-9 años,2010,38,31
,,,
 5-9 años,2011,35,26
,,,
 5-9 años,2012,52,23
,,,
 5-9 años,2013,34,38
,,,
 5-9 años,2014,43,36
,,,
 5-9 años,2015,35,33
,,,
 5-9 años,2016,38,27
,,,
 5-9 años,2017,39,28
,,,
 5-9 años,2018,34,22
,,,
 5-9 años,2019,35,25
,,,
 5-9 años,2020,20,10
,,,
 5-9 años,2021,31,20
,,,
 5-9 años,2022,34,30
,,,
 5-9 años,2023,40,27
,,,
 10-14 años,2000,68,35
,,,
 10-14 años,2001,45,30
,,,
 10-14 años,2002,67,33
,,,
 10-14 años,2003,63,39
,,,
 10-14 años,2004,45,36
,,,
 10-14 años,2005,57,43
,,,
 10-14 años,2006,57,38
,,,
 10-14 años,2007,55,34
,,,
 10-14 años,2008,53,28
,,,
 10-14 años,2009,64,40
,,,
 10-14 años,2010,82,37
,,,
 10-14 años,2011,43,36
,,,
 10-14 años,2012,45,29
,,,
 10-14 años,2013,50,39
,,,
 10-14 años,2014,60,45
,,,
 10-14 años,2015,63,38
,,,
 10-14 años,2016,54,34
,,,
 10-14 años,2017,43,26
,,,
 10-14 años,2018,46,31
,,,
 10-14 años,2019,56,45
,,,
 10-14 años,2020,38,23
,,,
 10-14 años,2021,31,33
,,,
 10-14 años,2022,43,41
,,,
 10-14 años,2023,63,36
,,,
 15-19 años,2000,123,49
,,,
 15-19 años,2001,118,44
,,,
 15-19 años,2002,118,42
,,,
 15-19 años,2003,122,43
,,,
 15-19 años,2004,117,61
,,,
 15-19 años,2005,130,48
,,,
 15-19 años,2006,161,63
,,,
 15-19 años,2007,135,46
,,,
 15-19 años,2008,172,53
,,,
 15-19 años,2009,172,56
,,,
 15-19 años,2010,150,49
,,,
 15-19 años,2011,148,56
,,,
 15-19 años,2012,142,53
,,,
 15-19 años,2013,155,52
,,,
 15-19 años,2014,158,53
,,,
 15-19 años,2015,142,51
,,,
 15-19 años,2016,147,63
,,,
 15-19 años,2017,171,38
,,,
 15-19 años,2018,122,45
,,,
 15-19 años,2019,154,57
,,,
 15-19 años,2020,130,62
,,,
 15-19 años,2021,138,47
,,,
 15-19 años,2022,144,60
,,,
 15-19 años,2023,152,64
,,,
 20-24 años,2000,190,49
,,,
 20-24 años,2001,196,61
,,,
 20-24 años,2002,206,48
,,,
 20-24 años,2003,182,66
,,,
 20-24 años,2004,160,67
,,,
 20-24 años,2005,176,65
,,,
 20-24 años,2006,186,78
,,,
 20-24 años,2007,196,57
,,,
 20-24 años,2008,233,86
,,,
 20-24 años,2009,221,72
,,,
 20-24 años,2010,238,66
,,,
 20-24 años,2011,236,64
,,,
 20-24 años,2012,251,55
,,,
 20-24 años,2013,230,63
,,,
 20-24 años,2014,206,57
,,,
 20-24 años,2015,266,68
,,,
 20-24 años,2016,247,69
,,,
 20-24 años,2017,204,57
,,,
 20-24 años,2018,249,61
,,,
 20-24 años,2019,227,63
,,,
 20-24 años,2020,227,76
,,,
 20-24 años,2021,253,66
,,,
 20-24 años,2022,221,54
,,,
 20-24 años,2023,218,54
,,,
 25-29 años,2000,199,69
,,,
 25-29 años,2001,184,68
,,,
 25-29 años,2002,190,75
,,,
 25-29 años,2003,219,55
,,,
 25-29 años,2004,225,66
,,,
 25-29 años,2005,199,66
,,,
 25-29 años,2006,218,62
,,,
 25-29 años,2007,241,79
,,,
 25-29 años,2008,237,88
,,,
 25-29 años,2009,234,90
,,,
 25-29 años,2010,244,88
,,,
 25-29 años,2011,257,81
,,,
 25-29 años,2012,246,69
,,,
 25-29 años,2013,254,71
,,,
 25-29 años,2014,231,74
,,,
 25-29 años,2015,275,79
,,,
 25-29 años,2016,278,78
,,,
 25-29 años,2017,263,67
,,,
 25-29 años,2018,312,76
,,,
 25-29 años,2019,329,93
,,,
 25-29 años,2020,325,107
,,,
 25-29 años,2021,315,83
,,,
 25-29 años,2022,254,72
,,,
 25-29 años,2023,252,60
,,,
 30-34 años,2000,184,50
,,,
 30-34 años,2001,174,54
,,,
 30-34 años,2002,198,67
,,,
 30-34 años,2003,228,74
,,,
 30-34 años,2004,195,68
,,,
 30-34 años,2005,203,67
,,,
 30-34 años,2006,219,78
,,,
 30-34 años,2007,239,76
,,,
 30-34 años,2008,243,87
,,,
 30-34 años,2009,260,89
,,,
 30-34 años,2010,264,95
,,,
 30-34 años,2011,256,75
,,,
 30-34 años,2012,225,84
,,,
 30-34 años,2013,274,103
,,,
 30-34 años,2014,264,80
,,,
 30-34 años,2015,293,104
,,,
 30-34 años,2016,310,95
,,,
 30-34 años,2017,287,108
,,,
 30-34 años,2018,305,99
,,,
 30-34 años,2019,317,116
,,,
 30-34 años,2020,368,138
,,,
 30-34 años,2021,358,129
,,,
 30-34 años,2022,278,98
,,,
 30-34 años,2023,273,120
,,,
 35-39 años,2000,224,75
,,,
 35-39 años,2001,188,80
,,,
 35-39 años,2002,185,74
,,,
 35-39 años,2003,224,86
,,,
 35-39 años,2004,213,68
,,,
 35-39 años,2005,208,89
,,,
 35-39 años,2006,185,87
,,,
 35-39 años,2007,239,77
,,,
 35-39 años,2008,252,110
,,,
 35-39 años,2009,244,89
,,,
 35-39 años,2010,275,106
,,,
 35-39 años,2011,239,105
,,,
 35-39 años,2012,257,113
,,,
 35-39 años,2013,278,122
,,,
 35-39 años,2014,268,116
,,,
 35-39 años,2015,264,125
,,,
 35-39 años,2016,295,115
,,,
 35-39 años,2017,280,116
,,,
 35-39 años,2018,311,129
,,,
 35-39 años,2019,324,136
,,,
 35-39 años,2020,428,202
,,,
 35-39 años,2021,373,196
,,,
 35-39 años,2022,254,138
,,,
 35-39 años,2023,289,125
,,,
 40-44 años,2000,158,86
,,,
 40-44 años,2001,201,89
,,,
 40-44 años,2002,203,100
,,,
 40-44 años,2003,210,88
,,,
 40-44 años,2004,236,106
,,,
 40-44 años,2005,267,114
,,,
 40-44 años,2006,253,118
,,,
 40-44 años,2007,247,108
,,,
 40-44 años,2008,246,125
,,,
 40-44 años,2009,267,142
,,,
 40-44 años,2010,294,134
,,,
 40-44 años,2011,285,123
,,,
 40-44 años,2012,286,118
,,,
 40-44 años,2013,300,132
,,,
 40-44 años,2014,297,151
,,,
 40-44 años,2015,309,151
,,,
 40-44 años,2016,335,171
,,,
 40-44 años,2017,343,164
,,,
 40-44 años,2018,324,178
,,,
 40-44 años,2019,358,179
,,,
 40-44 años,2020,504,289
,,,
 40-44 años,2021,440,262
,,,
 40-44 años,2022,378,199
,,,
 40-44 años,2023,331,160
,,,
 45-49 años,2000,208,118
,,,
 45-49 años,2001,190,125
,,,
 45-49 años,2002,231,143
,,,
 45-49 años,2003,234,127
,,,
 45-49 años,2004,225,113
,,,
 45-49 años,2005,249,147
,,,
 45-49 años,2006,268,132
,,,
 45-49 años,2007,268,156
,,,
 45-49 años,2008,331,156
,,,
 45-49 años,2009,317,180
,,,
 45-49 años,2010,339,170
,,,
 45-49 años,2011,302,175
,,,
 45-49 años,2012,319,174
,,,
 45-49 años,2013,332,225
,,,
 45-49 años,2014,336,199
,,,
 45-49 años,2015,366,193
,,,
 45-49 años,2016,393,224
,,,
 45-49 años,2017,353,213
,,,
 45-49 años,2018,369,246
,,,
 45-49 años,2019,424,274
,,,
 45-49 años,2020,689,411
,,,
 45-49 años,2021,574,366
,,,
 45-49 años,2022,424,248
,,,
 45-49 años,2023,390,251
,,,
 50-54 años,2000,198,148
,,,
 50-54 años,2001,223,151
,,,
 50-54 años,2002,237,148
,,,
 50-54 años,2003,253,165
,,,
 50-54 años,2004,263,157
,,,
 50-54 años,2005,259,178
,,,
 50-54 años,2006,264,185
,,,
 50-54 años,2007,318,207
,,,
 50-54 años,2008,319,206
,,,
 50-54 años,2009,372,205
,,,
 50-54 años,2010,409,244
,,,
 50-54 años,2011,391,240
,,,
 50-54 años,2012,374,238
,,,
 50-54 años,2013,394,273
,,,
 50-54 años,2014,436,259
,,,
 50-54 años,2015,459,315
,,,
 50-54 años,2016,465,299
,,,
 50-54 años,2017,430,315
,,,
 50-54 años,2018,456,316
,,,
