Grupo_edad,Año, Hombre, Mujer
,,,
 Menores de 1 año,2000,395,322
,,,
 Menores de 1 año,2001,342,257
,,,
 Menores de 1 año,2002,300,255
,,,
 Menores de 1 año,2003,365,262
,,,
 Menores de 1 año,2004,408,311
,,,
 Menores de 1 año,2005,383,304
,,,
 Menores de 1 año,2006,482,342
,,,
 Menores de 1 año,2007,448,297
,,,
 Menores de 1 año,2008,458,323
,,,
 Menores de 1 año,2009,462,347
,,,
 Menores de 1 año,2010,431,357
,,,
 Menores de 1 año,2011,426,320
,,,
 Menores de 1 año,2012,439,314
,,,
 Menores de 1 año,2013,446,353
,,,
 Menores de 1 año,2014,413,333
,,,
 Menores de 1 año,2015,424,314
,,,
 Menores de 1 año,2016,387,295
,,,
 Menores de 1 año,2017,392,289
,,,
 Menores de 1 año,2018,373,279
,,,
 Menores de 1 año,2019,373,275
,,,
 Menores de 1 año,2020,286,249
,,,
 Menores de 1 año,2021,306,263
,,,
 Menores de 1 año,2022,301,249
,,,
 Menores de 1 año,2023,331,275
,,,
 1-4 años,2000,73,55
,,,
 1-4 años,2001,57,53
,,,
 1-4 años,2002,70,62
,,,
 1-4 años,2003,63,42
,,,
 1-4 años,2004,64,50
,,,
 1-4 años,2005,53,48
,,,
 1-4 años,2006,75,62
,,,
 1-4 años,2007,56,50
,,,
 1-4 años,2008,75,64
,,,
 1-4 años,2009,68,54
,,,
 1-4 años,2010,61,47
,,,
 1-4 años,2011,77,48
,,,
 1-4 años,2012,69,64
,,,
 1-4 años,2013,68,47
,,,
 1-4 años,2014,71,55
,,,
 1-4 años,2015,59,38
,,,
 1-4 años,2016,70,48
,,,
 1-4 años,2017,50,37
,,,
 1-4 años,2018,52,48
,,,
 1-4 años,2019,52,54
,,,
 1-4 años,2020,38,23
,,,
 1-4 años,2021,52,36
,,,
 1-4 años,2022,47,37
,,,
 1-4 años,2023,37,45
,,,
 5-9 años,2000,40,28
,,,
 5-9 años,2001,40,35
,,,
 5-9 años,2002,35,32
,,,
 5-9 años,2003,38,25
,,,
 5-9 años,2004,29,24
,,,
 5-9 años,2005,38,30
,,,
 5-9 años,2006,38,28
,,,
 5-9 años,2007,31,36
,,,
 5-9 años,2008,33,24
,,,
 5-9 años,2009,28,30
,,,
 5-9 años,2010,33,24
,,,
 5-9 años,2011,27,19
,,,
 5-9 años,2012,36,27
,,,
 5-9 años,2013,48,28
,,,
 5-9 años,2014,34,20
,,,
 5-9 años,2015,29,21
,,,
 5-9 años,2016,36,31
,,,
 5-9 años,2017,39,33
,,,
