Grupo_edad,Año, Hombre, Mujer
,,,
 Menores de 1 año,2000,337,253
,,,
 Menores de 1 año,2001,328,243
,,,
 Menores de 1 año,2002,325,242
,,,
 Menores de 1 año,2003,273,219
,,,
 Menores de 1 año,2004,299,213
,,,
 Menores de 1 año,2005,302,251
,,,
 Menores de 1 año,2006,273,205
,,,
 Menores de 1 año,2007,264,198
,,,
 Menores de 1 año,2008,195,166
,,,
 Menores de 1 año,2009,187,170
,,,
 Menores de 1 año,2010,238,183
,,,
 Menores de 1 año,2011,196,160
,,,
 Menores de 1 año,2012,237,164
,,,
 Menores de 1 año,2013,194,162
,,,
 Menores de 1 año,2014,183,134
,,,
 Menores de 1 año,2015,174,160
,,,
 Menores de 1 año,2016,179,141
,,,
 Menores de 1 año,2017,170,130
,,,
 Menores de 1 año,2018,169,129
,,,
 Menores de 1 año,2019,149,118
,,,
 Menores de 1 año,2020,139,114
,,,
 Menores de 1 año,2021,136,92
,,,
 Menores de 1 año,2022,124,118
,,,
 Menores de 1 año,2023,124,88
,,,
 1-4 años,2000,45,38
,,,
 1-4 años,2001,59,25
,,,
 1-4 años,2002,34,30
,,,
 1-4 años,2003,45,48
,,,
 1-4 años,2004,45,38
,,,
 1-4 años,2005,48,26
,,,
 1-4 años,2006,43,27
,,,
 1-4 años,2007,42,43
,,,
 1-4 años,2008,39,28
,,,
 1-4 años,2009,39,20
,,,
 1-4 años,2010,28,28
,,,
 1-4 años,2011,39,24
,,,
 1-4 años,2012,29,33
,,,
 1-4 años,2013,27,24
,,,
 1-4 años,2014,26,15
,,,
 1-4 años,2015,30,24
,,,
 1-4 años,2016,27,25
,,,
 1-4 años,2017,25,25
,,,
 1-4 años,2018,26,23
,,,
 1-4 años,2019,16,17
,,,
 1-4 años,2020,23,17
,,,
 1-4 años,2021,15,14
,,,
 1-4 años,2022,31,22
,,,
 1-4 años,2023,20,13
,,,
 5-9 años,2000,20,19
,,,
 5-9 años,2001,18,14
,,,
 5-9 años,2002,25,16
,,,
 5-9 años,2003,22,13
,,,
 5-9 años,2004,22,20
,,,
 5-9 años,2005,23,18
,,,
 5-9 años,2006,13,27
,,,
 5-9 años,2007,20,13
,,,
 5-9 años,2008,17,12
,,,
 5-9 años,2009,19,14
,,,
 5-9 años,2010,20,13
,,,
 5-9 años,2011,15,15
,,,
 5-9 años,2012,19,13
,,,
 5-9 años,2013,19,16
,,,
 5-9 años,2014,15,16
,,,
 5-9 años,2015,19,13
,,,
 5-9 años,2016,15,11
,,,
 5-9 años,2017,22,14
,,,
 5-9 años,2018,11,12
,,,
 5-9 años,2019,11,18
,,,
 5-9 años,2020,14,6
,,,
 5-9 años,2021,11,4
,,,
 5-9 años,2022,18,11
,,,
 5-9 años,2023,16,14
,,,
 10-14 años,2000,29,15
,,,
 10-14 años,2001,29,19
,,,
 10-14 años,2002,30,14
,,,
 10-14 años,2003,27,22
,,,
 10-14 años,2004,25,11
,,,
 10-14 años,2005,20,8
,,,
 10-14 años,2006,23,22
,,,
 10-14 años,2007,28,16
,,,
 10-14 años,2008,26,17
,,,
 10-14 años,2009,26,12
,,,
 10-14 años,2010,26,23
,,,
 10-14 años,2011,20,19
,,,
 10-14 años,2012,21,10
,,,
 10-14 años,2013,27,15
,,,
 10-14 años,2014,26,15
,,,
 10-14 años,2015,21,12
,,,
 10-14 años,2016,22,17
,,,
 10-14 años,2017,20,18
,,,
 10-14 años,2018,17,7
,,,
 10-14 años,2019,17,17
,,,
 10-14 años,2020,10,15
,,,
 10-14 años,2021,22,21
,,,
 10-14 años,2022,33,12
,,,
 10-14 años,2023,15,11
,,,
 15-19 años,2000,53,19
,,,
 15-19 años,2001,54,24
,,,
 15-19 años,2002,51,26
,,,
 15-19 años,2003,44,28
,,,
 15-19 años,2004,50,24
,,,
 15-19 años,2005,46,44
,,,
 15-19 años,2006,65,24
,,,
 15-19 años,2007,49,25
,,,
 15-19 años,2008,48,24
,,,
 15-19 años,2009,57,28
,,,
 15-19 años,2010,62,45
,,,
 15-19 años,2011,58,31
,,,
 15-19 años,2012,50,27
,,,
 15-19 años,2013,56,22
,,,
 15-19 años,2014,49,29
,,,
 15-19 años,2015,49,24
,,,
 15-19 años,2016,59,28
,,,
 15-19 años,2017,49,28
,,,
 15-19 años,2018,60,31
,,,
 15-19 años,2019,60,31
,,,
 15-19 años,2020,56,32
,,,
 15-19 años,2021,52,25
,,,
 15-19 años,2022,68,32
,,,
 15-19 años,2023,64,21
,,,
 20-24 años,2000,66,19
,,,
 20-24 años,2001,76,23
,,,
 20-24 años,2002,78,32
,,,
 20-24 años,2003,66,36
,,,
 20-24 años,2004,57,30
,,,
 20-24 años,2005,56,23
,,,
 20-24 años,2006,75,36
,,,
 20-24 años,2007,73,24
,,,
 20-24 años,2008,54,26
,,,
 20-24 años,2009,91,31
,,,
 20-24 años,2010,64,20
,,,
 20-24 años,2011,96,30
,,,
 20-24 años,2012,73,36
,,,
 20-24 años,2013,99,34
,,,
 20-24 años,2014,72,31
,,,
 20-24 años,2015,95,37
,,,
 20-24 años,2016,90,47
,,,
 20-24 años,2017,115,50
,,,
 20-24 años,2018,110,33
,,,
 20-24 años,2019,89,31
,,,
 20-24 años,2020,97,47
,,,
 20-24 años,2021,126,41
,,,
 20-24 años,2022,97,38
,,,
 20-24 años,2023,103,43
,,,
 25-29 años,2000,58,28
,,,
 25-29 años,2001,69,21
,,,
 25-29 años,2002,87,27
,,,
 25-29 años,2003,49,30
,,,
 25-29 años,2004,64,25
,,,
 25-29 años,2005,39,30
,,,
 25-29 años,2006,73,25
,,,
 25-29 años,2007,66,26
,,,
 25-29 años,2008,85,26
,,,
 25-29 años,2009,83,37
,,,
 25-29 años,2010,79,30
,,,
 25-29 años,2011,80,30
,,,
 25-29 años,2012,86,31
,,,
 25-29 años,2013,89,19
,,,
 25-29 años,2014,65,26
,,,
 25-29 años,2015,82,24
,,,
 25-29 años,2016,100,46
,,,
 25-29 años,2017,91,37
,,,
 25-29 años,2018,123,44
,,,
 25-29 años,2019,125,48
,,,
 25-29 años,2020,149,66
,,,
 25-29 años,2021,174,82
,,,
 25-29 años,2022,137,47
,,,
 25-29 años,2023,117,50
,,,
 30-34 años,2000,65,24
,,,
 30-34 años,2001,62,29
,,,
 30-34 años,2002,75,38
,,,
 30-34 años,2003,56,34
,,,
 30-34 años,2004,73,28
,,,
 30-34 años,2005,56,31
,,,
 30-34 años,2006,83,36
,,,
 30-34 años,2007,65,23
,,,
 30-34 años,2008,96,44
,,,
 30-34 años,2009,79,28
,,,
 30-34 años,2010,75,26
,,,
 30-34 años,2011,82,28
,,,
 30-34 años,2012,63,42
,,,
 30-34 años,2013,83,42
,,,
 30-34 años,2014,88,34
,,,
 30-34 años,2015,76,41
,,,
 30-34 años,2016,101,39
,,,
 30-34 años,2017,100,33
,,,
 30-34 años,2018,88,39
,,,
 30-34 años,2019,107,46
,,,
 30-34 años,2020,163,67
,,,
 30-34 años,2021,181,77
,,,
 30-34 años,2022,137,63
,,,
 30-34 años,2023,141,63
,,,
 35-39 años,2000,77,46
,,,
 35-39 años,2001,87,44
,,,
 35-39 años,2002,82,33
,,,
 35-39 años,2003,88,35
,,,
 35-39 años,2004,77,41
,,,
 35-39 años,2005,81,43
,,,
 35-39 años,2006,89,46
,,,
 35-39 años,2007,63,42
,,,
 35-39 años,2008,76,51
,,,
 35-39 años,2009,82,47
,,,
 35-39 años,2010,94,40
,,,
 35-39 años,2011,90,52
,,,
 35-39 años,2012,81,50
,,,
 35-39 años,2013,97,54
,,,
 35-39 años,2014,104,62
,,,
 35-39 años,2015,89,54
,,,
 35-39 años,2016,99,60
,,,
 35-39 años,2017,107,58
,,,
 35-39 años,2018,123,55
,,,
 35-39 años,2019,149,44
,,,
 35-39 años,2020,205,85
,,,
 35-39 años,2021,208,107
,,,
 35-39 años,2022,141,73
,,,
 35-39 años,2023,123,64
