Grupo_edad,Año, Hombre, Mujer
,,,
 Menores de 1 año,2000,"1,312","1,011"
,,,
 Menores de 1 año,2001,"1,148",954
,,,
 Menores de 1 año,2002,"1,250",945
,,,
 Menores de 1 año,2003,"1,214",859
,,,
 Menores de 1 año,2004,"1,072",906
,,,
 Menores de 1 año,2005,"1,124",874
,,,
 Menores de 1 año,2006,"1,035",865
,,,
 Menores de 1 año,2007,988,843
,,,
 Menores de 1 año,2008,"1,100",865
,,,
 Menores de 1 año,2009,"1,065",873
,,,
 Menores de 1 año,2010,"1,082",842
,,,
 Menores de 1 año,2011,"1,113",889
,,,
 Menores de 1 año,2012,"1,115",853
,,,
 Menores de 1 año,2013,"1,101",880
,,,
 Menores de 1 año,2014,991,748
,,,
 Menores de 1 año,2015,997,779
,,,
 Menores de 1 año,2016,869,693
,,,
 Menores de 1 año,2017,869,701
,,,
 Menores de 1 año,2018,771,626
,,,
 Menores de 1 año,2019,732,644
,,,
 Menores de 1 año,2020,706,548
,,,
 Menores de 1 año,2021,627,537
,,,
 Menores de 1 año,2022,669,539
,,,
 Menores de 1 año,2023,631,524
,,,
 1-4 años,2000,269,225
,,,
 1-4 años,2001,284,216
,,,
 1-4 años,2002,282,213
,,,
 1-4 años,2003,270,233
,,,
 1-4 años,2004,234,250
,,,
 1-4 años,2005,239,259
,,,
 1-4 años,2006,239,205
,,,
 1-4 años,2007,209,180
,,,
 1-4 años,2008,219,160
,,,
 1-4 años,2009,238,190
,,,
 1-4 años,2010,224,177
,,,
 1-4 años,2011,196,153
,,,
 1-4 años,2012,160,173
,,,
 1-4 años,2013,204,158
,,,
 1-4 años,2014,162,147
,,,
 1-4 años,2015,162,133
,,,
 1-4 años,2016,190,162
,,,
 1-4 años,2017,153,159
,,,
 1-4 años,2018,161,132
,,,
 1-4 años,2019,152,135
,,,
 1-4 años,2020,120,106
,,,
 1-4 años,2021,117,110
,,,
 1-4 años,2022,107,108
,,,
 1-4 años,2023,129,111
,,,
 5-9 años,2000,142,118
,,,
 5-9 años,2001,150,104
,,,
 5-9 años,2002,139,98
,,,
 5-9 años,2003,138,88
,,,
 5-9 años,2004,122,100
,,,
 5-9 años,2005,109,101
,,,
 5-9 años,2006,139,116
,,,
 5-9 años,2007,106,93
,,,
 5-9 años,2008,110,74
,,,
 5-9 años,2009,118,114
,,,
 5-9 años,2010,106,85
,,,
 5-9 años,2011,121,89
,,,
 5-9 años,2012,111,91
,,,
 5-9 años,2013,92,71
,,,
 5-9 años,2014,99,85
,,,
 5-9 años,2015,98,63
,,,
 5-9 años,2016,73,54
,,,
 5-9 años,2017,102,85
,,,
 5-9 años,2018,80,82
,,,
 5-9 años,2019,106,86
,,,
 5-9 años,2020,85,65
,,,
 5-9 años,2021,69,61
,,,
 5-9 años,2022,59,65
,,,
 5-9 años,2023,78,77
,,,
 10-14 años,2000,156,107
,,,
 10-14 años,2001,161,122
,,,
 10-14 años,2002,158,120
,,,
 10-14 años,2003,174,123
,,,
 10-14 años,2004,165,115
,,,
 10-14 años,2005,149,104
,,,
 10-14 años,2006,153,106
,,,
 10-14 años,2007,161,98
,,,
 10-14 años,2008,167,109
,,,
 10-14 años,2009,157,133
,,,
 10-14 años,2010,143,101
,,,
 10-14 años,2011,160,108
,,,
 10-14 años,2012,144,100
,,,
 10-14 años,2013,157,88
,,,
 10-14 años,2014,137,102
,,,
 10-14 años,2015,124,87
,,,
 10-14 años,2016,130,84
,,,
 10-14 años,2017,126,110
,,,
 10-14 años,2018,97,83
,,,
 10-14 años,2019,122,84
,,,
 10-14 años,2020,115,93
,,,
 10-14 años,2021,116,87
,,,
 10-14 años,2022,103,91
,,,
 10-14 años,2023,106,91
,,,
 15-19 años,2000,344,173
,,,
 15-19 años,2001,315,183
,,,
 15-19 años,2002,323,159
,,,
 15-19 años,2003,291,167
,,,
 15-19 años,2004,293,154
,,,
 15-19 años,2005,334,165
,,,
 15-19 años,2006,296,174
,,,
 15-19 años,2007,323,196
,,,
 15-19 años,2008,355,171
,,,
 15-19 años,2009,425,190
,,,
 15-19 años,2010,389,190
,,,
 15-19 años,2011,467,209
,,,
 15-19 años,2012,441,225
,,,
 15-19 años,2013,397,171
,,,
 15-19 años,2014,410,172
,,,
 15-19 años,2015,387,133
,,,
 15-19 años,2016,395,156
,,,
 15-19 años,2017,422,153
,,,
 15-19 años,2018,377,141
,,,
 15-19 años,2019,356,144
,,,
 15-19 años,2020,312,162
,,,
 15-19 años,2021,344,146
,,,
 15-19 años,2022,298,140
,,,
 15-19 años,2023,335,156
,,,
 20-24 años,2000,447,189
,,,
 20-24 años,2001,447,181
,,,
 20-24 años,2002,473,215
,,,
 20-24 años,2003,460,170
,,,
 20-24 años,2004,449,192
,,,
 20-24 años,2005,465,195
,,,
 20-24 años,2006,386,173
,,,
 20-24 años,2007,489,187
,,,
 20-24 años,2008,482,207
,,,
 20-24 años,2009,605,233
,,,
 20-24 años,2010,518,221
,,,
 20-24 años,2011,633,219
,,,
 20-24 años,2012,698,235
,,,
 20-24 años,2013,634,197
,,,
 20-24 años,2014,621,221
,,,
 20-24 años,2015,696,194
,,,
 20-24 años,2016,748,192
,,,
 20-24 años,2017,710,214
,,,
 20-24 años,2018,622,181
,,,
 20-24 años,2019,640,175
,,,
 20-24 años,2020,606,215
,,,
 20-24 años,2021,578,194
,,,
 20-24 años,2022,485,172
,,,
 20-24 años,2023,497,190
,,,
 25-29 años,2000,571,206
,,,
 25-29 años,2001,567,231
,,,
 25-29 años,2002,553,218
,,,
 25-29 años,2003,561,202
,,,
 25-29 años,2004,528,233
,,,
 25-29 años,2005,529,200
,,,
 25-29 años,2006,541,209
,,,
 25-29 años,2007,583,219
,,,
 25-29 años,2008,613,229
,,,
 25-29 años,2009,635,261
,,,
 25-29 años,2010,613,254
,,,
 25-29 años,2011,717,218
,,,
 25-29 años,2012,669,239
,,,
 25-29 años,2013,671,204
,,,
 25-29 años,2014,695,240
,,,
 25-29 años,2015,682,239
,,,
 25-29 años,2016,831,232
,,,
 25-29 años,2017,850,219
,,,
 25-29 años,2018,740,214
,,,
 25-29 años,2019,834,239
,,,
 25-29 años,2020,857,272
,,,
 25-29 años,2021,821,331
,,,
 25-29 años,2022,668,227
,,,
 25-29 años,2023,672,198
,,,
 30-34 años,2000,625,265
,,,
 30-34 años,2001,616,263
,,,
 30-34 años,2002,637,258
,,,
 30-34 años,2003,675,267
,,,
 30-34 años,2004,671,264
,,,
