Grupo_edad,Año, Hombre, Mujer
,,,
 Menores de 1 año,2000,308,244
,,,
 Menores de 1 año,2001,296,263
,,,
 Menores de 1 año,2002,284,223
,,,
 Menores de 1 año,2003,270,213
,,,
 Menores de 1 año,2004,262,216
,,,
 Menores de 1 año,2005,244,171
,,,
 Menores de 1 año,2006,243,200
,,,
 Menores de 1 año,2007,221,186
,,,
 Menores de 1 año,2008,251,207
,,,
 Menores de 1 año,2009,233,179
,,,
 Menores de 1 año,2010,218,199
,,,
 Menores de 1 año,2011,224,175
,,,
 Menores de 1 año,2012,247,210
,,,
 Menores de 1 año,2013,211,183
,,,
 Menores de 1 año,2014,223,144
,,,
 Menores de 1 año,2015,256,198
,,,
 Menores de 1 año,2016,190,159
,,,
 Menores de 1 año,2017,236,172
,,,
 Menores de 1 año,2018,200,172
,,,
 Menores de 1 año,2019,173,147
,,,
 Menores de 1 año,2020,196,141
,,,
 Menores de 1 año,2021,151,126
,,,
 Menores de 1 año,2022,155,140
,,,
 Menores de 1 año,2023,165,122
,,,
 1-4 años,2000,48,51
,,,
 1-4 años,2001,62,55
,,,
 1-4 años,2002,56,36
,,,
 1-4 años,2003,46,50
,,,
 1-4 años,2004,39,47
,,,
 1-4 años,2005,64,50
,,,
 1-4 años,2006,58,41
,,,
 1-4 años,2007,56,41
,,,
 1-4 años,2008,38,44
,,,
 1-4 años,2009,36,40
,,,
 1-4 años,2010,38,29
,,,
 1-4 años,2011,45,49
,,,
 1-4 años,2012,36,36
,,,
 1-4 años,2013,38,37
,,,
 1-4 años,2014,34,32
,,,
 1-4 años,2015,42,31
,,,
 1-4 años,2016,43,39
,,,
 1-4 años,2017,43,37
,,,
 1-4 años,2018,32,31
,,,
 1-4 años,2019,36,32
,,,
 1-4 años,2020,29,24
,,,
 1-4 años,2021,43,34
,,,
 1-4 años,2022,33,25
,,,
 1-4 años,2023,42,36
,,,
 5-9 años,2000,32,25
,,,
 5-9 años,2001,33,23
,,,
 5-9 años,2002,28,23
,,,
 5-9 años,2003,25,17
,,,
 5-9 años,2004,29,21
,,,
 5-9 años,2005,33,23
,,,
 5-9 años,2006,18,23
,,,
 5-9 años,2007,20,22
,,,
 5-9 años,2008,25,22
,,,
 5-9 años,2009,31,24
,,,
 5-9 años,2010,21,23
,,,
 5-9 años,2011,23,18
,,,
 5-9 años,2012,23,15
,,,
 5-9 años,2013,22,24
,,,
 5-9 años,2014,21,15
,,,
 5-9 años,2015,24,17
,,,
 5-9 años,2016,14,19
,,,
 5-9 años,2017,13,21
,,,
 5-9 años,2018,21,9
,,,
 5-9 años,2019,15,20
,,,
 5-9 años,2020,21,12
,,,
 5-9 años,2021,15,9
,,,
 5-9 años,2022,23,12
,,,
 5-9 años,2023,25,30
,,,
 10-14 años,2000,31,25
,,,
 10-14 años,2001,33,18
,,,
 10-14 años,2002,31,27
,,,
 10-14 años,2003,24,27
,,,
 10-14 años,2004,30,20
,,,
 10-14 años,2005,34,18
,,,
 10-14 años,2006,30,19
,,,
 10-14 años,2007,36,16
,,,
 10-14 años,2008,29,32
,,,
 10-14 años,2009,23,19
,,,
 10-14 años,2010,24,21
,,,
 10-14 años,2011,24,26
,,,
 10-14 años,2012,21,20
,,,
 10-14 años,2013,27,18
,,,
 10-14 años,2014,28,22
,,,
 10-14 años,2015,27,20
,,,
 10-14 años,2016,30,23
,,,
 10-14 años,2017,16,13
,,,
 10-14 años,2018,22,25
,,,
 10-14 años,2019,25,19
,,,
 10-14 años,2020,23,14
,,,
 10-14 años,2021,25,23
,,,
 10-14 años,2022,23,22
,,,
 10-14 años,2023,43,35
,,,
 15-19 años,2000,59,31
,,,
 15-19 años,2001,56,32
,,,
 15-19 años,2002,62,26
,,,
 15-19 años,2003,80,33
,,,
 15-19 años,2004,52,30
,,,
 15-19 años,2005,68,25
,,,
 15-19 años,2006,94,26
,,,
 15-19 años,2007,93,34
,,,
 15-19 años,2008,67,35
,,,
 15-19 años,2009,82,37
,,,
 15-19 años,2010,60,36
,,,
 15-19 años,2011,66,29
,,,
 15-19 años,2012,71,39
,,,
 15-19 años,2013,56,50
,,,
 15-19 años,2014,76,30
,,,
 15-19 años,2015,58,40
,,,
 15-19 años,2016,61,24
,,,
 15-19 años,2017,55,30
,,,
 15-19 años,2018,74,40
,,,
 15-19 años,2019,58,34
,,,
 15-19 años,2020,59,33
,,,
 15-19 años,2021,69,39
,,,
 15-19 años,2022,77,32
,,,
 15-19 años,2023,88,41
,,,
 20-24 años,2000,86,30
,,,
 20-24 años,2001,72,33
,,,
 20-24 años,2002,95,39
,,,
 20-24 años,2003,99,39
,,,
 20-24 años,2004,85,32
,,,
 20-24 años,2005,71,38
,,,
 20-24 años,2006,97,38
,,,
 20-24 años,2007,109,48
,,,
 20-24 años,2008,94,49
,,,
 20-24 años,2009,137,37
,,,
 20-24 años,2010,124,41
,,,
 20-24 años,2011,100,26
,,,
 20-24 años,2012,102,39
,,,
 20-24 años,2013,83,33
,,,
 20-24 años,2014,97,42
,,,
 20-24 años,2015,118,39
,,,
 20-24 años,2016,133,51
,,,
 20-24 años,2017,115,42
,,,
 20-24 años,2018,118,53
,,,
 20-24 años,2019,122,45
,,,
 20-24 años,2020,105,42
,,,
 20-24 años,2021,153,55
,,,
 20-24 años,2022,138,51
,,,
 20-24 años,2023,136,61
,,,
 25-29 años,2000,100,41
,,,
 25-29 años,2001,113,27
,,,
 25-29 años,2002,142,39
,,,
 25-29 años,2003,119,51
,,,
 25-29 años,2004,102,34
,,,
 25-29 años,2005,121,38
,,,
 25-29 años,2006,105,27
,,,
 25-29 años,2007,125,37
,,,
 25-29 años,2008,136,48
,,,
 25-29 años,2009,126,55
,,,
 25-29 años,2010,98,34
,,,
 25-29 años,2011,115,52
,,,
 25-29 años,2012,115,42
,,,
 25-29 años,2013,121,52
,,,
 25-29 años,2014,108,57
,,,
 25-29 años,2015,111,46
,,,
 25-29 años,2016,149,44
,,,
 25-29 años,2017,125,51
,,,
 25-29 años,2018,141,53
,,,
 25-29 años,2019,160,48
,,,
 25-29 años,2020,157,63
,,,
 25-29 años,2021,214,73
,,,
 25-29 años,2022,178,58
,,,
 25-29 años,2023,194,47
,,,
 30-34 años,2000,119,61
,,,
 30-34 años,2001,121,37
,,,
 30-34 años,2002,121,54
,,,
 30-34 años,2003,143,38
,,,
 30-34 años,2004,122,29
,,,
 30-34 años,2005,120,50
,,,
 30-34 años,2006,135,45
,,,
 30-34 años,2007,155,64
,,,
 30-34 años,2008,137,53
,,,
 30-34 años,2009,155,58
,,,
 30-34 años,2010,140,56
,,,
 30-34 años,2011,143,61
,,,
 30-34 años,2012,160,73
,,,
 30-34 años,2013,157,58
,,,
 30-34 años,2014,136,65
,,,
 30-34 años,2015,149,53
,,,
 30-34 años,2016,162,72
,,,
 30-34 años,2017,149,56
,,,
 30-34 años,2018,168,93
,,,
 30-34 años,2019,196,77
,,,
 30-34 años,2020,191,76
,,,
 30-34 años,2021,247,106
,,,
 30-34 años,2022,228,86
,,,
 30-34 años,2023,221,69
,,,
 35-39 años,2000,126,62
,,,
 35-39 años,2001,132,57
,,,
 35-39 años,2002,142,65
,,,
 35-39 años,2003,156,64
,,,
 35-39 años,2004,140,59
,,,
 35-39 años,2005,155,52
,,,
 35-39 años,2006,154,49
,,,
 35-39 años,2007,149,66
,,,
 35-39 años,2008,167,76
,,,
 35-39 años,2009,167,67
,,,
 35-39 años,2010,175,83
,,,
 35-39 años,2011,198,70
,,,
 35-39 años,2012,199,70
,,,
 35-39 años,2013,209,75
,,,
 35-39 años,2014,175,81
,,,
 35-39 años,2015,207,97
,,,
 35-39 años,2016,212,83
,,,
 35-39 años,2017,185,74
,,,
 35-39 años,2018,229,94
,,,
 35-39 años,2019,249,91
,,,
 35-39 años,2020,242,125
,,,
 35-39 años,2021,340,156
,,,
 35-39 años,2022,228,93
,,,
 35-39 años,2023,269,116
,,,
 40-44 años,2000,162,82
,,,
 40-44 años,2001,149,69
,,,
 40-44 años,2002,178,88
,,,
 40-44 años,2003,176,75
,,,
 40-44 años,2004,178,76
,,,
 40-44 años,2005,172,65
,,,
 40-44 años,2006,191,79
,,,
 40-44 años,2007,210,100
,,,
 40-44 años,2008,182,104
,,,
 40-44 años,2009,216,86
,,,
 40-44 años,2010,208,91
,,,
 40-44 años,2011,207,96
,,,
 40-44 años,2012,220,83
,,,
 40-44 años,2013,220,101
,,,
 40-44 años,2014,232,102
,,,
 40-44 años,2015,244,134
,,,
 40-44 años,2016,293,122
,,,
 40-44 años,2017,256,143
,,,
 40-44 años,2018,279,137
,,,
 40-44 años,2019,269,136
,,,
 40-44 años,2020,350,179
,,,
 40-44 años,2021,416,196
,,,
 40-44 años,2022,332,152
,,,
 40-44 años,2023,305,150
,,,
 45-49 años,2000,186,105
,,,
 45-49 años,2001,165,109
,,,
 45-49 años,2002,216,118
,,,
 45-49 años,2003,201,124
,,,
 45-49 años,2004,208,112
,,,
 45-49 años,2005,216,134
,,,
 45-49 años,2006,215,129
,,,
 45-49 años,2007,238,112
,,,
 45-49 años,2008,263,135
,,,
 45-49 años,2009,258,134
,,,
 45-49 años,2010,245,135
,,,
 45-49 años,2011,243,130
,,,
 45-49 años,2012,288,144
,,,
 45-49 años,2013,296,168
,,,
 45-49 años,2014,278,147
,,,
 45-49 años,2015,289,187
,,,
 45-49 años,2016,342,175
,,,
 45-49 años,2017,331,172
,,,
 45-49 años,2018,315,193
,,,
 45-49 años,2019,356,207
,,,
 45-49 años,2020,469,269
,,,
 45-49 años,2021,586,335
,,,
 45-49 años,2022,384,238
,,,
 45-49 años,2023,438,205
,,,
 50-54 años,2000,197,153
,,,
 50-54 años,2001,203,159
,,,
 50-54 años,2002,255,156
,,,
 50-54 años,2003,223,162
,,,
 50-54 años,2004,224,152
,,,
 50-54 años,2005,255,137
,,,
 50-54 años,2006,285,188
,,,
 50-54 años,2007,270,169
,,,
 50-54 años,2008,271,185
,,,
 50-54 años,2009,271,184
,,,
 50-54 años,2010,293,190
,,,
 50-54 años,2011,309,207
,,,
 50-54 años,2012,328,195
,,,
 50-54 años,2013,332,207
,,,
 50-54 años,2014,374,201
,,,
 50-54 años,2015,367,272
,,,
 50-54 años,2016,402,271
,,,
 50-54 años,2017,376,218
,,,
 50-54 años,2018,399,272
,,,
 50-54 años,2019,387,241
,,,
 50-54 años,2020,565,348
,,,
 50-54 años,2021,614,381
,,,
 50-54 años,2022,433,277
,,,
 50-54 años,2023,488,304
,,,
 55-59 años,2000,243,177
,,,
 55-59 años,2001,260,192
,,,
 55-59 años,2002,234,229
,,,
 55-59 años,2003,263,190
,,,
 55-59 años,2004,242,232
