Grupo_edad,Año, Hombre, Mujer
,,,
 Menores de 1 año,2000,271,190
,,,
 Menores de 1 año,2001,244,190
,,,
 Menores de 1 año,2002,259,239
,,,
 Menores de 1 año,2003,251,193
,,,
 Menores de 1 año,2004,279,168
,,,
 Menores de 1 año,2005,227,182
,,,
 Menores de 1 año,2006,238,163
,,,
 Menores de 1 año,2007,238,162
,,,
 Menores de 1 año,2008,204,151
,,,
 Menores de 1 año,2009,189,162
,,,
 Menores de 1 año,2010,232,167
,,,
 Menores de 1 año,2011,171,130
,,,
 Menores de 1 año,2012,199,150
,,,
 Menores de 1 año,2013,202,145
,,,
 Menores de 1 año,2014,189,159
,,,
 Menores de 1 año,2015,178,182
,,,
 Menores de 1 año,2016,163,141
,,,
 Menores de 1 año,2017,169,133
,,,
 Menores de 1 año,2018,171,119
,,,
 Menores de 1 año,2019,157,117
,,,
 Menores de 1 año,2020,130,113
,,,
 Menores de 1 año,2021,151,90
,,,
 Menores de 1 año,2022,122,91
,,,
 Menores de 1 año,2023,116,103
,,,
 1-4 años,2000,63,26
,,,
 1-4 años,2001,48,47
,,,
 1-4 años,2002,54,46
,,,
 1-4 años,2003,42,40
,,,
 1-4 años,2004,58,31
,,,
 1-4 años,2005,46,39
,,,
 1-4 años,2006,48,30
,,,
 1-4 años,2007,44,36
,,,
 1-4 años,2008,40,42
,,,
 1-4 años,2009,42,32
,,,
 1-4 años,2010,44,35
,,,
 1-4 años,2011,40,38
,,,
 1-4 años,2012,35,31
,,,
 1-4 años,2013,38,37
,,,
 1-4 años,2014,47,25
,,,
 1-4 años,2015,29,23
,,,
 1-4 años,2016,43,27
,,,
 1-4 años,2017,35,27
,,,
 1-4 años,2018,38,26
,,,
 1-4 años,2019,50,29
,,,
 1-4 años,2020,37,19
,,,
 1-4 años,2021,34,29
,,,
 1-4 años,2022,47,34
,,,
 1-4 años,2023,32,28
,,,
 5-9 años,2000,46,25
,,,
 5-9 años,2001,28,22
,,,
 5-9 años,2002,26,17
